Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14557.6886, 146582.8015)","(-14581.5738, 146575.0521)",58.512,20.7,282656.09,109908.51,423984.13,211992.07,109908.51
"(-13915.2053, 146042.5716)","(-13866.2215, 145988.6062)",49.769,18.1,240422.02,93486.14,360633.04,180316.52,93486.14
"(-13915.2053, 146042.5716)","(-13985.3918, 146045.0249)",44.781,18.1,216325.53,84116.41,324488.29,162244.15,84116.41
"(-14823.7102, 145540.6148)","(-14904.2892, 145577.0358)",88.428,13.3,427172.82,166102.66,640759.22,320379.61,166102.66
"(-14823.7102, 145540.6148)","(-14755.7599, 145485.8706)",87.259,13.3,421527.98,163907.71,632291.97,316145.98,163907.71
"(-14175.4321, 146400.3018)","(-14252.5577, 146429.076)",45.88,18.2,221637.06,86181.76,332455.59,166227.79,86181.76
"(-13771.3795, 146374.6099)","(-13718.0216, 146401.6767)",69.905,17.1,337692.99,131309.16,506539.48,253269.74,131309.16
"(-15110.2836, 146413.3751)","(-15102.3461, 146402.2625)",50.908,26.6,382546.02,136623.58,573819.03,286909.51,136623.58
"(-15110.2836, 146413.3751)","(-15097.5836, 146478.4627)",18.1,26.6,136014.59,48576.64,204021.89,102010.94,48576.64
"(-14551.5554, 147262.4947)","(-14545.5898, 147303.9676)",85.091,16.4,411052.66,159834.47,616579.0,308289.5,159834.47
"(-14551.5554, 147262.4947)","(-14560.5523, 147226.3463)",104.797,16.4,506249.76,196851.08,759374.64,379687.32,196851.08
"(-15132.7402, 145902.1461)","(-15110.5151, 145961.4129)",43.352,26.6,325769.64,116346.3,488654.46,244327.23,116346.3
"(-15132.7402, 145902.1461)","(-15158.2172, 145848.5293)",85.705,26.6,644028.72,230010.26,966043.08,483021.54,230010.26
"(-13499.0988, 146920.5399)","(-13515.0662, 146852.0819)",70.424,22.1,340203.45,132285.33,510305.18,255152.59,132285.33
"(-13499.0988, 146920.5399)","(-13449.7354, 146986.3471)",47.506,22.1,229487.96,89234.52,344231.95,172115.97,89234.52
"(-14794.2013, 146332.7875)","(-14850.4857, 146304.1778)",50.037,23.4,241714.75,93988.8,362572.12,181286.06,93988.8
"(-14794.2013, 146332.7875)","(-14794.3834, 146333.0311)",60.55,23.2,292503.91,113737.76,438755.86,219377.93,113737.76
"(-14794.2013, 146332.7875)","(-14761.684, 146289.2719)",46.029,23.2,222353.71,86460.43,333530.57,166765.29,86460.43
"(-15170.661, 146057.9993)","(-15245.5376, 145986.6579)",52.011,17.0,251250.38,97696.66,376875.57,188437.79,97696.66
"(-15170.661, 146057.9993)","(-15147.5469, 146095.1645)",61.25,17.0,295885.48,115052.65,443828.22,221914.11,115052.65
"(-15034.5134, 145994.5652)","(-14999.2972, 146002.1267)",51.662,28.8,388211.68,138647.03,582317.51,291158.76,138647.03
"(-14740.9343, 145920.4471)","(-14733.7894, 145884.5466)",30.225,21.5,146011.64,56775.43,219017.46,109508.73,56775.43
"(-14740.9343, 145920.4471)","(-14776.8408, 145931.3267)",24.023,21.5,116050.86,45125.43,174076.29,87038.15,45125.43
"(-15181.9952, 146723.2353)","(-15182.4194, 146723.4373)",11.887,18.2,57424.78,22329.15,86137.16,43068.58,22329.15
"(-15181.9952, 146723.2353)","(-15181.5196, 146723.0088)",26.961,18.2,130241.55,50643.36,195362.32,97681.16,50643.36
"(-13399.1605, 146660.2333)","(-13415.429, 146681.1816)",56.925,21.4,274992.25,106928.49,412488.37,206244.19,106928.49
"(-14944.8124, 145597.5397)","(-14980.3086, 145615.5002)",39.781,10.2,192174.24,74725.38,288261.35,144130.68,74725.38
