59.97 * C_node3node24_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
424.0 * C_node3node24_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
357.0 * C_node3node24_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
253.08 * C_node3node24_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
179.41 * C_node3node24_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
127.19 * C_node3node24_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
90.17 * C_node3node24_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
5272.0 * C_node3node19_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
4438.88 * C_node3node19_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
3146.81 * C_node3node19_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
2230.83 * C_node3node19_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1581.48 * C_node3node19_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1121.14 * C_node3node19_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
7909.0 * C_node3node19_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
6659.17 * C_node3node19_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
4720.81 * C_node3node19_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
3346.67 * C_node3node19_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2372.52 * C_node3node19_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1681.92 * C_node3node19_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1006.0 * C_node3node31_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
847.03 * C_node3node31_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
600.47 * C_node3node31_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
425.69 * C_node3node31_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
