UG,Vremovido(ton)
434,432.052245
435,101.91636000000001
437,190.24085250000002
438,1509.3583200000003
439,2095.32447
441,137.16398250000003
442,916.0871175
447,767.5683525000001
449,139.26343500000002
450,105.7617675
454,145.84171500000002
457,370.65492
459,143.388765
460,152.85051
461,273.1745925
462,170.73409500000002
464,116.215965
465,220.8522375
466,318.59379
467,264.9868425
468,249.57369000000003
469,57.487657500000005
472,244.005075
473,28.087357500000003
476,383.79703500000005
478,65.73845250000001
481,2737.0491300000003
482,457.4725425000001
484,51.71161500000001
487,248.30320500000002
491,672.8100975000001
493,882.4611825000001
494,312.0397425
495,59.096992500000006
496,101.84433750000001
497,1174.8055725000002
499,57.04344
500,240.1931475
501,1304.15643
502,452.6859825
503,394.00128
504,203.660055
505,464.9167125
511,429.375465
514,247.65662250000003
519,182.5424775
520,485.77482
521,329.15828250000004
523,1871.4229200000002
524,108.33655500000002
526,1927.4627025000002
527,457.0567425
528,225.29542500000002
529,94.45281750000001
531,695.382975
532,496.1041425
536,308.41749000000004
538,610.2259875000001
539,596.4736725
541,88.68750750000001
542,52.676257500000006
547,985.2349950000001
550,64.80999
551,162.4471875
552,1093.3336125
553,410.71900500000004
555,1665.9523125
556,192.94335
557,116.7129
560,146.9995425
561,39.421620000000004
562,83.03620500000001
563,146.228625
565,31.188442500000004
566,353.27812500000005
569,1028.0601675
576,415.48227750000007
577,640.8329175000001
578,160.1785125
586,407.62149750000003
587,298.4178375
588,601.1935425
589,741.6551025
590,201.05844
591,762.6473325000001
593,473.60187
594,520.75386
595,273.63899250000003
596,384.58995749999997
597,232.56747000000001
598,221.294565
599,89.3575125
600,261.45119250000005
601,25.587630000000004
602,230.72202000000001
603,307.69335
604,203.870655
609,2557.50696
612,454.88452500000005
613,72.66294
614,219.34057500000003
615,483.4781325000001
616,414.65837250000004
618,77.58504
619,480.37272750000005
620,691.8443550000001
621,1719.9247050000001
622,710.9220825000001
624,349.0391925
625,565.4189475000001
626,1023.6139425
631,459.77098500000005
632,617.23161
