UG,Vremovido(ton)
718,549.3663675
719,349.43339249999997
719,77.06406
720,275.63502
721,88.27434000000001
722,135.2319975
723,797.57487
724,266.08648500000004
725,910.1756700000001
726,519.39834
729,116.12997
730,347.695605
731,242.460405
732,453.80208
733,392.85053999999997
734,29.19936
736,200.17337999999998
737,231.09138000000002
738,1591.8076125
740,502.66416
741,890.51082
742,311.392485
743,704.99133
744,730.697355
745,1590.77925
749,108.24528000000001
750,1159.1268599999999
751,609.731415
753,409.32912
755,1549.3398525
756,354.27462
757,918.0482625000001
758,2037.123675
759,997.8609375000001
760,625.9647600000001
760,592.72596
761,2710.00344
762,291.99156
763,1560.7134
764,2650.3642125
765,2052.27324
766,587.75328
766,916.4680199999999
767,716.1975450000001
769,775.51014
770,615.066075
774,511.58614500000004
775,51.07686
778,1062.6192225000002
779,1046.57778
780,288.846
780,66.21066
781,102.37392
782,182.2089
783,151.9641675
807,482.54603999999995
809,1162.45233
810,466.2889875
811,533.94498
812,1636.03044
813,171.1665
813,47.89674
815,264.20993999999996
816,290.54970000000003
816,98.26026
817,548.9939025
818,788.2298325000002
819,327.33659250000005
820,414.99074250000007
822,76.83192
823,869.3472825000001
824,539.7574725000001
824,141.68609999999998
825,251.954145
825,203.0736
826,433.3520250000001
827,1496.9525625
828,530.765055
830,993.0383325
831,431.28342000000004
832,244.39731750000004
833,507.3272999999999
834,651.1467825
834,18.37797
835,234.61717500000003
836,379.84889250000003
836,153.61122
837,990.2053575000001
839,581.2065225
840,430.643385
841,579.1076775
842,725.2885800000001
843,787.5209475
844,395.27892
845,339.37859999999995
846,414.864045
847,633.2549625
848,1491.8737275
849,229.90566
850,188.95266
851,469.358685
852,1009.26837
853,437.82309000000004
854,2007.9551025000003
855,220.61787750000002
856,1070.0091225
857,837.0939600000002
858,1188.0351
859,170.39525999999998
860,423.9305775
861,423.72504000000004
862,588.6479250000001
862,234.83934
863,349.26781500000004
863,122.94006
865,2802.3433650000006
867,362.49727500000006
869,392.75874
870,164.24328
871,618.221295
872,280.70847000000003
873,449.361135
874,284.29589250000004
875,1334.31759
876,327.63744
877,435.97548
878,346.97895750000004
879,568.334205
880,387.10683
881,428.9647275
882,252.1958625
