UG,Vremovido(ton)
629,392.78718
630,567.23532
631,546.571395
633,22.12842
634,1231.1721900000002
636,246.51612
637,40.77269999999999
638,171.68733
639,25.05582
640,382.65198
641,582.40338
643,404.60994
645,1.447602
652,2111.03364
656,8.39568
659,4210.8992100000005
660,7.1771400000000005
662,193.597248
665,13.665288
667,91.7687475
669,113.36699999999999
671,1.0150139999999999
672,409.45169250000004
673,334.47971250000006
674,364.9335
678,236.12742
680,0.66651
681,596.6352
683,608.44986
687,250.52358
690,1140.219315
692,64.42877999999999
699,159.31374
703,5.314062
704,168.815322
705,83.244642
706,6.5856959999999996
707,165.832758
708,149.33864400000002
709,39.455676000000004
710,73.786518
711,590.789025
712,565.0685550000001
713,557.0793225
716,12.04242
718,18.36834
722,166.58048250000002
723,0.635232
724,308.46096
725,1080.5496525
728,53.2731
730,493.68312000000003
731,171.62037
732,163.78245
733,87.88689000000001
734,10.50933
736,126.20454
737,376.49671800000004
740,189.25959
742,347.59233
743,554.0264325
745,1270.3160475
749,75.20532
750,794.0475600000001
755,940.2193125000001
756,226.89498
757,123.79091999999999
758,2310.0335325
759,176.77355999999997
760,773.4477375000001
761,107.68224000000001
762,835.9707600000002
765,325.29942
766,504.20568
773,264.97086
774,369.189834
775,116.764128
778,1336.125915
779,212.30106
782,767.5422975
783,92.95026
784,249.88469999999998
785,1587.76854
810,613.71864
816,0.7474740000000001
819,0.729222
821,3880.9010999999996
823,1251.6205725
825,174.63528
833,279.11208
834,18.37797
835,8.6814
837,1427.6037375
838,2351.6180999999997
840,475.3985175
841,629.8425000000001
842,922.0423725000002
843,869.3649000000001
844,478.99080000000004
845,1721.51325
849,1.79829
852,597.157938
854,2310.1025175
856,1734.0218775
857,897.2717625000001
859,119.56134
862,91.2555
863,47.58971999999999
877,74.23536
878,445.0794075
882,325.63964250000004
883,271.70694000000003
884,530.70147
885,667.0475550000001
886,1277.4807675000002
887,594.03024
888,776.97225
889,1018.2148875
889,5.2776
890,595.6895925
891,1510.69212
892,760.3116975
893,297.58734
895,410.37180600000005
895,47.195699999999995
896,467.73072
897,56.64024
898,1032.2570475
900,0.353574
902,97.098924
903,0.424008
904,25.3521
907,26.22048
908,27.141840000000002
920,69.41262
922,313.866852
925,85.426536
928,81.57354000000001
935,405.84753
937,1146.4590825000002
938,1328.43996
941,937.0204875000001
942,17.478708
943,671.1046425000001
944,1014.9897375
946,1490.5738125000003
946,43.96926
947,3463.8396525000003
949,5.992116
950,248.10570000000004
954,25.062804
955,7.569120000000001
957,47.31726
958,226.12020750000002
959,172.3545
960,14.78352
962,512.8801875
964,175.10784
966,1.494246
967,682.2869625
968,237.54858000000002
977,92.26203750000002
988,5908.6924875
1000,1006.8604260000001
1008,26.236314
1009,599.98995
1010,724.7481750000001
1011,2011.0167675
1014,261.7495425
1020,381.8296125
1023,752.2434225000001
1028,930.2237100000001
1029,1424.4319125
1030,253.32738
1067,1064.72934
1068,208.1384775
1070,39.06354
1071,950.079915
1072,546.1668675000001
1073,46.562039999999996
1074,649.71531
1075,465.8646825
1076,71.51213999999999
1078,1284.17616
1091,369.70519500000006
1092,180.22740000000002
1093,70.90866
1094,121.50551999999999
1097,85.20564
1100,912.1710375
1136,791.27685
1157,572.981682
1160,1803.001815
1162,2405.600235
1165,346.95815999999996
1170,422.14411200000006
1173,1899.416115
1180,1983.1694400000001
1181,2538.8245125000003
1182,838.5396075
1183,5074.18857
1185,2093.4146250000003
1187,135.2466
1188,1423.4169150000002
1190,1057.216185
1191,520.9460399999999
1192,473.56103250000007
1192,93.8094
1193,343.41003
1194,151.60875600000003
1199,856.2722625000001
1200,1470.2353200000002
1201,2088.262755
1202,1678.3161525
1207,327.49158
1216,1.776372
1219,255.30036
1227,323.643138
1229,615.856635
1232,2768.1043950000003
1233,1032.07554
1234,4716.411975
1237,3361.8584925000005
1238,57.255795000000006
1239,1706.9989950000001
1241,932.8881375
1242,976.766715
1245,340.767258
1246,90.85271999999999
1247,4.505124
1248,18.7341
1249,258.6708
1250,120.88865999999999
1252,203.98523999999998
1253,1997.4184875
1255,952.552305
1258,685.40499
1261,1.038804
1265,1332.1066275
1266,682.543125
1270,329.35548
1278,116.72512800000001
1282,2665.2922425
1283,1256.2073325000001
1284,420.84508500000004
1285,1748.415105
1286,1643.0075775000003
1287,73.32666
1289,603.426375
1291,1551.572955
1297,187.55646000000002
1299,14.303640000000001
1306,11.521146
1311,0.8843639999999999
1314,93.0771675
1321,75.204012
1326,32.80062
1328,29.447999999999997
1335,1188.77556
1337,7.78356
1340,5.282784
1348,0.926796
1351,13.170300000000001
1353,44.84328
1354,80.08865999999999
1357,1098.7137675
1362,92.479062
1378,36.931284
1381,0.434226
1383,0.9668100000000001
1385,6.2089799999999995
1385,53.987778000000006
1386,0.451464
1387,0.6511440000000001
1399,554.7672
1412,83.906238
1413,36.329904
1415,21.7299
1416,40.046214
1420,198.61065000000002
1423,92.4401025
1423,21.02088
1424,109.7776125
1427,187.21995750000002
1437,60.74291250000001
1441,328.976778
1442,101.06358
1447,68.354364
1450,229.4310825
1452,295.2709875
1453,1130.2459875
1454,380.30357250000003
1458,289.39875750000004
1466,115.04241
1469,249.20507250000003
1470,204.8118075
1474,385.99496999999997
1481,820.875465
1484,93.119286
1487,43.943172000000004
1490,309.104235
1494,259.285185
1495,129.96517500000002
1496,735.9548625
1499,148.62048750000002
1500,99.784305
1502,192.21023250000002
1502,91.38623999999999
1504,35.769084
1505,26.722566000000004
1508,79.81182
1515,168.681825
1519,50.231475
1523,113.76294750000001
1528,204.09185250000002
1530,28.16892
1534,1045.5336225
1537,433.06458000000003
1585,28.00554
1585,243.51155400000002
1593,200.66231249999998
1594,60.32562750000001
1595,446.2811775
1596,114.12711000000002
1597,136.7257725
1598,155.56110750000002
1599,199.58373
1604,119.15552250000002
1620,316.85580000000004
1622,51.66801
1623,24.63426
