variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node3node13_wide_t4,0.0,1.0,B,C,wide,node3node13,4,392.37
C_node3node13_wide_t5,0.0,1.0,B,C,wide,node3node13,5,278.16
C_node3node12_timber_t0,0.0,0.0,B,C,timber,node3node12,0,3283.0
C_node3node12_timber_t1,0.0,1.0,B,C,timber,node3node12,1,2764.2
C_node3node12_timber_t2,0.0,1.0,B,C,timber,node3node12,2,1959.59
C_node3node12_timber_t3,0.0,1.0,B,C,timber,node3node12,3,1389.19
C_node3node12_timber_t4,0.0,1.0,B,C,timber,node3node12,4,984.82
C_node3node12_timber_t5,0.0,1.0,B,C,timber,node3node12,5,698.16
C_node3node12_wide_t0,0.0,0.0,B,C,wide,node3node12,0,4923.0
C_node3node12_wide_t1,0.0,1.0,B,C,wide,node3node12,1,4145.03
C_node3node12_wide_t2,0.0,1.0,B,C,wide,node3node12,2,2938.49
C_node3node12_wide_t3,0.0,1.0,B,C,wide,node3node12,3,2083.15
C_node3node12_wide_t4,0.0,1.0,B,C,wide,node3node12,4,1476.79
C_node3node12_wide_t5,0.0,1.0,B,C,wide,node3node12,5,1046.92
C_node3node14_timber_t0,0.0,0.0,B,C,timber,node3node14,0,1384.0
C_node3node14_timber_t1,0.0,1.0,B,C,timber,node3node14,1,1165.29
C_node3node14_timber_t2,0.0,1.0,B,C,timber,node3node14,2,826.1
C_node3node14_timber_t3,0.0,1.0,B,C,timber,node3node14,3,585.64
C_node3node14_timber_t4,0.0,1.0,B,C,timber,node3node14,4,415.17
C_node3node14_timber_t5,0.0,1.0,B,C,timber,node3node14,5,294.32
C_node3node14_wide_t0,0.0,0.0,B,C,wide,node3node14,0,2077.0
C_node3node14_wide_t1,0.0,1.0,B,C,wide,node3node14,1,1748.78
C_node3node14_wide_t2,0.0,1.0,B,C,wide,node3node14,2,1239.74
C_node3node14_wide_t3,0.0,1.0,B,C,wide,node3node14,3,878.88
C_node3node14_wide_t4,0.0,1.0,B,C,wide,node3node14,4,623.05
C_node3node14_wide_t5,0.0,1.0,B,C,wide,node3node14,5,441.69
C_node3node27_timber_t0,0.0,0.0,B,C,timber,node3node27,0,0.0
C_node3node27_timber_t1,0.0,1.0,B,C,timber,node3node27,1,0.0
C_node3node27_timber_t2,0.0,1.0,B,C,timber,node3node27,2,0.0
C_node3node27_timber_t3,0.0,1.0,B,C,timber,node3node27,3,0.0
C_node3node27_timber_t4,0.0,1.0,B,C,timber,node3node27,4,0.0
C_node3node27_timber_t5,0.0,1.0,B,C,timber,node3node27,5,0.0
C_node3node27_wide_t0,0.0,0.0,B,C,wide,node3node27,0,0.0
C_node3node27_wide_t1,0.0,1.0,B,C,wide,node3node27,1,0.0
C_node3node27_wide_t2,0.0,1.0,B,C,wide,node3node27,2,0.0
C_node3node27_wide_t3,0.0,1.0,B,C,wide,node3node27,3,0.0
C_node3node27_wide_t4,0.0,1.0,B,C,wide,node3node27,4,0.0
C_node3node27_wide_t5,0.0,1.0,B,C,wide,node3node27,5,0.0
C_node4node16_timber_t0,0.0,0.0,B,C,timber,node4node16,0,3182.0
C_node4node16_timber_t1,0.0,1.0,B,C,timber,node4node16,1,2679.16
C_node4node16_timber_t2,0.0,1.0,B,C,timber,node4node16,2,1899.31
C_node4node16_timber_t3,0.0,1.0,B,C,timber,node4node16,3,1346.45
C_node4node16_timber_t4,0.0,1.0,B,C,timber,node4node16,4,954.53
C_node4node16_timber_t5,0.0,1.0,B,C,timber,node4node16,5,676.68
C_node4node16_wide_t0,0.0,0.0,B,C,wide,node4node16,0,4773.0
C_node4node16_wide_t1,0.0,1.0,B,C,wide,node4node16,1,4018.74
C_node4node16_wide_t2,0.0,1.0,B,C,wide,node4node16,2,2848.96
C_node4node16_wide_t3,0.0,1.0,B,C,wide,node4node16,3,2019.68
C_node4node16_wide_t4,0.0,1.0,B,C,wide,node4node16,4,1431.79
C_node4node16_wide_t5,0.0,1.0,B,C,wide,node4node16,5,1015.02
C_node4node5_timber_t0,0.0,0.0,B,C,timber,node4node5,0,5139.0
C_node4node5_timber_t1,0.0,1.0,B,C,timber,node4node5,1,4326.9
C_node4node5_timber_t2,0.0,1.0,B,C,timber,node4node5,2,3067.42
C_node4node5_timber_t3,0.0,1.0,B,C,timber,node4node5,3,2174.55
C_node4node5_timber_t4,0.0,1.0,B,C,timber,node4node5,4,1541.58
C_node4node5_timber_t5,0.0,1.0,B,C,timber,node4node5,5,1092.86
C_node4node5_wide_t0,0.0,0.0,B,C,wide,node4node5,0,7707.0
C_node4node5_wide_t1,0.0,1.0,B,C,wide,node4node5,1,6489.09
C_node4node5_wide_t2,0.0,1.0,B,C,wide,node4node5,2,4600.24
C_node4node5_wide_t3,0.0,1.0,B,C,wide,node4node5,3,3261.19
C_node4node5_wide_t4,0.0,1.0,B,C,wide,node4node5,4,2311.92
C_node4node5_wide_t5,0.0,1.0,B,C,wide,node4node5,5,1638.96
C_node4node29_timber_t0,0.0,0.0,B,C,timber,node4node29,0,0.0
C_node4node29_timber_t1,0.0,1.0,B,C,timber,node4node29,1,0.0
C_node4node29_timber_t2,0.0,1.0,B,C,timber,node4node29,2,0.0
C_node4node29_timber_t3,0.0,1.0,B,C,timber,node4node29,3,0.0
C_node4node29_timber_t4,0.0,1.0,B,C,timber,node4node29,4,0.0
C_node4node29_timber_t5,0.0,1.0,B,C,timber,node4node29,5,0.0
C_node4node29_wide_t0,0.0,0.0,B,C,wide,node4node29,0,0.0
C_node4node29_wide_t1,0.0,1.0,B,C,wide,node4node29,1,0.0
C_node4node29_wide_t2,0.0,1.0,B,C,wide,node4node29,2,0.0
C_node4node29_wide_t3,0.0,1.0,B,C,wide,node4node29,3,0.0
C_node4node29_wide_t4,0.0,1.0,B,C,wide,node4node29,4,0.0
C_node4node29_wide_t5,0.0,1.0,B,C,wide,node4node29,5,0.0
C_node5node16_timber_t0,0.0,0.0,B,C,timber,node5node16,0,1224.0
C_node5node16_timber_t1,0.0,1.0,B,C,timber,node5node16,1,1030.58
C_node5node16_timber_t2,0.0,1.0,B,C,timber,node5node16,2,730.59
C_node5node16_timber_t3,0.0,1.0,B,C,timber,node5node16,3,517.93
C_node5node16_timber_t4,0.0,1.0,B,C,timber,node5node16,4,367.17
C_node5node16_timber_t5,0.0,1.0,B,C,timber,node5node16,5,260.29
C_node5node16_wide_t0,0.0,0.0,B,C,wide,node5node16,0,1836.0
C_node5node16_wide_t1,0.0,1.0,B,C,wide,node5node16,1,1545.86
C_node5node16_wide_t2,0.0,1.0,B,C,wide,node5node16,2,1095.89
C_node5node16_wide_t3,0.0,1.0,B,C,wide,node5node16,3,776.9
C_node5node16_wide_t4,0.0,1.0,B,C,wide,node5node16,4,550.76
C_node5node16_wide_t5,0.0,1.0,B,C,wide,node5node16,5,390.44
C_node5node24_timber_t0,0.0,0.0,B,C,timber,node5node24,0,627.0
C_node5node24_timber_t1,0.0,1.0,B,C,timber,node5node24,1,527.92
C_node5node24_timber_t2,0.0,1.0,B,C,timber,node5node24,2,374.25
C_node5node24_timber_t3,0.0,1.0,B,C,timber,node5node24,3,265.31
C_node5node24_timber_t4,0.0,1.0,B,C,timber,node5node24,4,188.09
C_node5node24_timber_t5,0.0,1.0,B,C,timber,node5node24,5,133.34
C_node5node24_wide_t0,0.0,0.0,B,C,wide,node5node24,0,941.0
C_node5node24_wide_t1,0.0,1.0,B,C,wide,node5node24,1,792.3
C_node5node24_wide_t2,0.0,1.0,B,C,wide,node5node24,2,561.67
C_node5node24_wide_t3,0.0,1.0,B,C,wide,node5node24,3,398.18
C_node5node24_wide_t4,0.0,1.0,B,C,wide,node5node24,4,282.28
C_node5node24_wide_t5,0.0,1.0,B,C,wide,node5node24,5,200.11
C_node5node29_timber_t0,0.0,0.0,B,C,timber,node5node29,0,0.0
C_node5node29_timber_t1,0.0,1.0,B,C,timber,node5node29,1,0.0
C_node5node29_timber_t2,0.0,1.0,B,C,timber,node5node29,2,0.0
C_node5node29_timber_t3,0.0,1.0,B,C,timber,node5node29,3,0.0
C_node5node29_timber_t4,0.0,1.0,B,C,timber,node5node29,4,0.0
C_node5node29_timber_t5,0.0,1.0,B,C,timber,node5node29,5,0.0
C_node5node29_wide_t0,0.0,0.0,B,C,wide,node5node29,0,0.0
C_node5node29_wide_t1,0.0,1.0,B,C,wide,node5node29,1,0.0
C_node5node29_wide_t2,0.0,1.0,B,C,wide,node5node29,2,0.0
C_node5node29_wide_t3,0.0,1.0,B,C,wide,node5node29,3,0.0
C_node5node29_wide_t4,0.0,1.0,B,C,wide,node5node29,4,0.0
