variable,coefficient,type,prefix,width,edge,period
C_node3node74_wide_t0,0.0,B,C,wide,,0
C_node3node74_wide_t1,0.0,B,C,wide,,1
C_node3node74_wide_t2,0.0,B,C,wide,,2
C_node3node74_wide_t3,0.0,B,C,wide,,3
C_node3node74_wide_t4,0.0,B,C,wide,,4
C_node3node74_wide_t5,0.0,B,C,wide,,5
C_node4node22_timber_t0,111.0,B,C,timber,,0
C_node4node22_timber_t1,93.46,B,C,timber,,1
C_node4node22_timber_t2,66.25,B,C,timber,,2
C_node4node22_timber_t3,46.97,B,C,timber,,3
C_node4node22_timber_t4,33.3,B,C,timber,,4
C_node4node22_timber_t5,23.61,B,C,timber,,5
C_node4node22_wide_t0,167.0,B,C,wide,,0
C_node4node22_wide_t1,140.61,B,C,wide,,1
C_node4node22_wide_t2,99.68,B,C,wide,,2
C_node4node22_wide_t3,70.67,B,C,wide,,3
C_node4node22_wide_t4,50.1,B,C,wide,,4
C_node4node22_wide_t5,35.51,B,C,wide,,5
C_node4node61_timber_t0,6533.0,B,C,timber,,0
C_node4node61_timber_t1,5500.61,B,C,timber,,1
C_node4node61_timber_t2,3899.49,B,C,timber,,2
C_node4node61_timber_t3,2764.42,B,C,timber,,3
C_node4node61_timber_t4,1959.75,B,C,timber,,4
C_node4node61_timber_t5,1389.3,B,C,timber,,5
C_node4node61_wide_t0,9796.0,B,C,wide,,0
C_node4node61_wide_t1,8247.97,B,C,wide,,1
C_node4node61_wide_t2,5847.14,B,C,wide,,2
C_node4node61_wide_t3,4145.15,B,C,wide,,3
C_node4node61_wide_t4,2938.57,B,C,wide,,4
C_node4node61_wide_t5,2083.21,B,C,wide,,5
C_node4node52_timber_t0,1769.0,B,C,timber,,0
C_node4node52_timber_t1,1489.45,B,C,timber,,1
C_node4node52_timber_t2,1055.9,B,C,timber,,2
C_node4node52_timber_t3,748.55,B,C,timber,,3
C_node4node52_timber_t4,530.66,B,C,timber,,4
C_node4node52_timber_t5,376.19,B,C,timber,,5
C_node4node52_wide_t0,2653.0,B,C,wide,,0
C_node4node52_wide_t1,2233.75,B,C,wide,,1
C_node4node52_wide_t2,1583.55,B,C,wide,,2
C_node4node52_wide_t3,1122.61,B,C,wide,,3
C_node4node52_wide_t4,795.84,B,C,wide,,4
C_node4node52_wide_t5,564.18,B,C,wide,,5
C_node4node80_timber_t0,0.0,B,C,timber,,0
C_node4node80_timber_t1,0.0,B,C,timber,,1
C_node4node80_timber_t2,0.0,B,C,timber,,2
C_node4node80_timber_t3,0.0,B,C,timber,,3
C_node4node80_timber_t4,0.0,B,C,timber,,4
C_node4node80_timber_t5,0.0,B,C,timber,,5
C_node4node80_wide_t0,0.0,B,C,wide,,0
C_node4node80_wide_t1,0.0,B,C,wide,,1
C_node4node80_wide_t2,0.0,B,C,wide,,2
C_node4node80_wide_t3,0.0,B,C,wide,,3
C_node4node80_wide_t4,0.0,B,C,wide,,4
C_node4node80_wide_t5,0.0,B,C,wide,,5
C_node4node90_timber_t0,0.0,B,C,timber,,0
C_node4node90_timber_t1,0.0,B,C,timber,,1
C_node4node90_timber_t2,0.0,B,C,timber,,2
C_node4node90_timber_t3,0.0,B,C,timber,,3
C_node4node90_timber_t4,0.0,B,C,timber,,4
C_node4node90_timber_t5,0.0,B,C,timber,,5
C_node4node90_wide_t0,0.0,B,C,wide,,0
C_node4node90_wide_t1,0.0,B,C,wide,,1
C_node4node90_wide_t2,0.0,B,C,wide,,2
C_node4node90_wide_t3,0.0,B,C,wide,,3
C_node4node90_wide_t4,0.0,B,C,wide,,4
C_node4node90_wide_t5,0.0,B,C,wide,,5
C_node5node39_timber_t0,2409.0,B,C,timber,,0
C_node5node39_timber_t1,2028.31,B,C,timber,,1
C_node5node39_timber_t2,1437.91,B,C,timber,,2
C_node5node39_timber_t3,1019.36,B,C,timber,,3
