C_timber_node4node78_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node78_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node78_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node78_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node78_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node78_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node78_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node78_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node78_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node78_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node78_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node78_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node19_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node19_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node19_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node19_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node19_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node19_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node19_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node19_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node19_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node19_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node19_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node19_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node20_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node20_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node20_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node20_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node20_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node20_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node20_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node20_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node20_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node20_t3: lb=0.0, ub=1.0, type=B, cost=N/A
