"Node1(x,y)","Node2(x,y)"
"(-9576.8598, 147292.6615)","(-9554.6409, 147334.7822)"
"(-9554.6409, 147334.7822)","(-9503.5787, 147323.2603)"
"(-9503.5787, 147323.2603)","(-9491.4124, 147260.1796)"
"(-9491.4124, 147260.1796)","(-9487.1887, 147231.0742)"
"(-9134.3133, 146873.8584)","(-9182.1486, 146893.124)"
"(-9182.1486, 146893.124)","(-9218.7396, 146935.524)"
"(-9218.7396, 146935.524)","(-9304.1643, 146902.636)"
"(-9304.1643, 146902.636)","(-9335.6828, 146864.0838)"
"(-9335.6828, 146864.0838)","(-9374.8257, 146806.2177)"
"(-9374.8257, 146806.2177)","(-9429.3889, 146761.7757)"
"(-9429.3889, 146761.7757)","(-9450.1248, 146754.7937)"
"(-9450.1248, 146754.7937)","(-9447.3435, 146809.9061)"
"(-9447.3435, 146809.9061)","(-9489.677, 146803.5561)"
"(-9489.677, 146803.5561)","(-9525.6603, 146803.5561)"
"(-9525.6603, 146803.5561)","(-9579.1929, 146817.2026)"
"(-9579.1929, 146817.2026)","(-9579.3402, 146817.5471)"
"(-9579.3402, 146817.5471)","(-9586.7763, 146834.933)"
"(-9586.7763, 146834.933)","(-9549.2111, 146894.3333)"
"(-9549.2111, 146894.3333)","(-9515.0727, 146958.0888)"
"(-9515.0727, 146958.0888)","(-9471.7842, 147005.0874)"
"(-9471.7842, 147005.0874)","(-9426.346, 147024.2017)"
"(-9426.346, 147024.2017)","(-9366.7098, 147032.6549)"
"(-9366.7098, 147032.6549)","(-9309.0075, 147034.8327)"
"(-9309.0075, 147034.8327)","(-9239.0245, 147027.1827)"
"(-9239.0245, 147027.1827)","(-9150.5862, 147012.7298)"
"(-9150.5862, 147012.7298)","(-9131.0716, 146952.6868)"
"(-9131.0716, 146952.6868)","(-9134.3133, 146873.8584)"
"(-9134.3133, 146873.8584)","(-9152.013, 146782.5714)"
"(-9152.013, 146782.5714)","(-9192.0259, 146685.8042)"
"(-9192.0259, 146685.8042)","(-9233.8999, 146665.4749)"
"(-9233.8999, 146665.4749)","(-9310.3161, 146682.3782)"
"(-9310.3161, 146682.3782)","(-9390.4138, 146660.5114)"
"(-9390.4138, 146660.5114)","(-9453.3741, 146661.1941)"
"(-9453.3741, 146661.1941)","(-9453.6802, 146661.4459)"
"(-9453.6802, 146661.4459)","(-9453.5193, 146661.5381)"
"(-9453.5193, 146661.5381)","(-9533.0056, 146726.8866)"
"(-9533.0056, 146726.8866)","(-9450.1248, 146754.7937)"
"(-9450.1248, 146754.7937)","(-9429.3889, 146761.7757)"
"(-9429.3889, 146761.7757)","(-9374.8257, 146806.2177)"
"(-9374.8257, 146806.2177)","(-9335.6828, 146864.0838)"
"(-9335.6828, 146864.0838)","(-9304.1643, 146902.636)"
"(-9304.1643, 146902.636)","(-9218.7396, 146935.524)"
"(-9218.7396, 146935.524)","(-9182.1486, 146893.124)"
"(-9182.1486, 146893.124)","(-9134.3133, 146873.8584)"
"(-9152.2154, 146435.2031)","(-9195.5502, 146442.8082)"
"(-9195.5502, 146442.8082)","(-9251.4631, 146463.3364)"
"(-9251.4631, 146463.3364)","(-9294.374, 146479.6382)"
"(-9294.374, 146479.6382)","(-9317.422, 146455.0791)"
"(-9317.422, 146455.0791)","(-9378.8055, 146476.2458)"
"(-9378.8055, 146476.2458)","(-9447.6062, 146529.705)"
"(-9447.6062, 146529.705)","(-9494.0776, 146530.5607)"
"(-9494.0776, 146530.5607)","(-9521.9253, 146534.6732)"
"(-9521.9253, 146534.6732)","(-9561.2404, 146540.4794)"
"(-9561.2404, 146540.4794)","(-9624.1866, 146525.4633)"
"(-9624.1866, 146525.4633)","(-9572.3465, 146585.9877)"
"(-9572.3465, 146585.9877)","(-9503.9626, 146632.2133)"
"(-9503.9626, 146632.2133)","(-9453.3741, 146661.1941)"
"(-9453.3741, 146661.1941)","(-9390.4138, 146660.5114)"
"(-9390.4138, 146660.5114)","(-9310.3161, 146682.3782)"
"(-9310.3161, 146682.3782)","(-9233.8999, 146665.4749)"
"(-9233.8999, 146665.4749)","(-9192.0259, 146685.8042)"
"(-9192.0259, 146685.8042)","(-9152.013, 146782.5714)"
"(-9152.013, 146782.5714)","(-9135.4699, 146665.1692)"
"(-9135.4699, 146665.1692)","(-9136.9459, 146570.778)"
"(-9136.9459, 146570.778)","(-9152.2154, 146435.2031)"
"(-9731.177, 146413.2935)","(-9774.9511, 146537.6326)"
"(-9774.9511, 146537.6326)","(-9730.1729, 146558.796)"
"(-9730.1729, 146558.796)","(-9673.0227, 146554.5626)"
"(-9673.0227, 146554.5626)","(-9624.1866, 146525.4633)"
"(-9624.1866, 146525.4633)","(-9561.2404, 146540.4794)"
"(-9561.2404, 146540.4794)","(-9521.9253, 146534.6732)"
"(-9521.9253, 146534.6732)","(-9494.0776, 146530.5607)"
"(-9494.0776, 146530.5607)","(-9447.6062, 146529.705)"
"(-9447.6062, 146529.705)","(-9378.8055, 146476.2458)"
"(-9378.8055, 146476.2458)","(-9317.422, 146455.0791)"
"(-9317.422, 146455.0791)","(-9294.374, 146479.6382)"
"(-9294.374, 146479.6382)","(-9251.4631, 146463.3364)"
"(-9251.4631, 146463.3364)","(-9195.5502, 146442.8082)"
"(-9195.5502, 146442.8082)","(-9152.2154, 146435.2031)"
"(-9152.2154, 146435.2031)","(-9153.3271, 146377.6619)"
"(-9153.3271, 146377.6619)","(-9146.3156, 146308.0101)"
"(-9146.3156, 146308.0101)","(-9135.7323, 146216.9933)"
"(-9135.7323, 146216.9933)","(-9143.2683, 146150.3938)"
"(-9143.2683, 146150.3938)","(-9157.5418, 146075.9608)"
"(-9157.5418, 146075.9608)","(-9224.227, 146023.5071)"
"(-9224.227, 146023.5071)","(-9272.7257, 146019.3383)"
"(-9272.7257, 146019.3383)","(-9323.0722, 146040.1343)"
"(-9323.0722, 146040.1343)","(-9380.6932, 146002.8966)"
"(-9380.6932, 146002.8966)","(-9447.2364, 145997.2343)"
"(-9447.2364, 145997.2343)","(-9539.4417, 146003.7597)"
"(-9539.4417, 146003.7597)","(-9603.8232, 146006.0163)"
"(-9603.8232, 146006.0163)","(-9631.7631, 146004.0651)"
"(-9631.7631, 146004.0651)","(-9667.1701, 146001.5925)"
"(-9667.1701, 146001.5925)","(-9732.7321, 146001.592)"
"(-9732.7321, 146001.592)","(-9744.7438, 146061.2335)"
"(-9744.7438, 146061.2335)","(-9739.2142, 146141.5788)"
"(-9739.2142, 146141.5788)","(-9735.0099, 146201.7516)"
"(-9735.0099, 146201.7516)","(-9726.0765, 146234.9188)"
"(-9726.0765, 146234.9188)","(-9718.067, 146264.6559)"
"(-9718.067, 146264.6559)","(-9717.7801, 146316.5505)"
"(-9717.7801, 146316.5505)","(-9717.4605, 146374.3329)"
"(-9717.4605, 146374.3329)","(-9731.177, 146413.2935)"
"(-9100.3123, 145706.3806)","(-9180.0326, 145705.3928)"
"(-9180.0326, 145705.3928)","(-9245.9424, 145711.566)"
"(-9245.9424, 145711.566)","(-9275.3743, 145696.5563)"
"(-9275.3743, 145696.5563)","(-9265.4419, 145914.5846)"
"(-9265.4419, 145914.5846)","(-9232.1043, 145925.6971)"
"(-9232.1043, 145925.6971)","(-9219.4043, 145970.1472)"
"(-9219.4043, 145970.1472)","(-9224.227, 146023.5071)"
"(-9224.227, 146023.5071)","(-9157.5418, 146075.9608)"
"(-9157.5418, 146075.9608)","(-9081.2915, 146090.7974)"
"(-9081.2915, 146090.7974)","(-8946.3538, 146022.5348)"
"(-8946.3538, 146022.5348)","(-8913.0162, 145949.5096)"
"(-8913.0162, 145949.5096)","(-8922.5412, 145911.4096)"
"(-8922.5412, 145911.4096)","(-8965.4038, 145890.7721)"
"(-8965.4038, 145890.7721)","(-8981.2788, 145844.7344)"
"(-8981.2788, 145844.7344)","(-8965.4038, 145795.5219)"
"(-8965.4038, 145795.5219)","(-8997.1538, 145735.1967)"
"(-8997.1538, 145735.1967)","(-9100.3123, 145706.3806)"
"(-8027.6085, 151682.1742)","(-8031.3446, 151672.5067)"
"(-8031.3446, 151672.5067)","(-8040.0758, 151655.0442)"
"(-8040.0758, 151655.0442)","(-8052.7759, 151647.1066)"
"(-8052.7759, 151647.1066)","(-8052.2617, 151632.4626)"
"(-8052.2617, 151632.4626)","(-8052.1305, 151628.7286)"
"(-8052.1305, 151628.7286)","(-8054.0458, 151624.6211)"
"(-8054.0458, 151624.6211)","(-8055.2188, 151620.2435)"
"(-8055.2188, 151620.2435)","(-8065.9431, 151625.48)"
"(-8065.9431, 151625.48)","(-8113.0371, 151642.0263)"
"(-8113.0371, 151642.0263)","(-8166.5629, 151663.6562)"
"(-8166.5629, 151663.6562)","(-8125.5669, 151698.7484)"
"(-8125.5669, 151698.7484)","(-8075.296, 151739.7589)"
"(-8075.296, 151739.7589)","(-8099.1086, 151772.8318)"
"(-8099.1086, 151772.8318)","(-8144.0878, 151832.3632)"
"(-8144.0878, 151832.3632)","(-8181.1296, 151779.4464)"
"(-8181.1296, 151779.4464)","(-8226.1088, 151742.4046)"
"(-8226.1088, 151742.4046)","(-8284.3456, 151703.3938)"
"(-8284.3456, 151703.3938)","(-8294.2835, 151744.5188)"
"(-8294.2835, 151744.5188)","(-8289.1113, 151790.5957)"
"(-8289.1113, 151790.5957)","(-8259.4185, 151837.5757)"
"(-8259.4185, 151837.5757)","(-8194.0299, 151897.3138)"
"(-8194.0299, 151897.3138)","(-8125.8492, 151943.4399)"
"(-8125.8492, 151943.4399)","(-8102.783, 152017.4399)"
"(-8102.783, 152017.4399)","(-8046.725, 152020.4122)"
"(-8046.725, 152020.4122)","(-8045.6321, 152017.4711)"
"(-8045.6321, 152017.4711)","(-8045.3602, 152007.6802)"
"(-8045.3602, 152007.6802)","(-8044.8384, 151988.896)"
"(-8044.8384, 151988.896)","(-8040.0759, 151961.1148)"
"(-8040.0759, 151961.1148)","(-8036.9009, 151952.8597)"
"(-8036.9009, 151952.8597)","(-8044.0447, 151933.016)"
"(-8044.0447, 151933.016)","(-8043.2509, 151897.2971)"
"(-8043.2509, 151897.2971)","(-8024.9946, 151869.5158)"
"(-8024.9946, 151869.5158)","(-8012.2946, 151855.2283)"
"(-8012.2946, 151855.2283)","(-8017.8508, 151838.5595)"
"(-8017.8508, 151838.5595)","(-8018.6446, 151813.1595)"
"(-8018.6446, 151813.1595)","(-8011.5008, 151805.222)"
"(-8011.5008, 151805.222)","(-8008.7521, 151789.1318)"
"(-8008.7521, 151789.1318)","(-8003.5633, 151759.1843)"
"(-8003.5633, 151759.1843)","(-8008.7128, 151729.7484)"
"(-8008.7128, 151729.7484)","(-8012.7357, 151720.036)"
"(-8012.7357, 151720.036)","(-8014.8416, 151714.952)"
"(-8014.8416, 151714.952)","(-8018.2053, 151706.5058)"
"(-8018.2053, 151706.5058)","(-8020.2098, 151701.3189)"
