"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-12137.10618, 148084.98631)","(-12077.01318, 148042.24901)",0.0737403923253109,13.123,False,False
"(-14358.09268, 150860.88291)","(-14404.33508, 150859.20181)",0.04627294733394501,23.3964,False,False
"(-14358.09268, 150860.88291)","(-14352.58978, 150811.82361)",0.04936696086351032,23.3964,False,False
"(-14010.99918, 148210.28281)","(-14082.90658, 148243.02061)",0.07900909899245896,22.443,False,False
"(-14010.99918, 148210.28281)","(-13967.30428, 148206.00791)",0.043903519859120575,22.443,False,False
"(-12256.08508, 148491.74001)","(-12325.77468, 148454.40741)",0.07905923963028945,13.123,False,False
"(-12256.08508, 148491.74001)","(-12251.76378, 148492.13511)",0.004339324567257884,13.123,False,False
"(-12505.90618, 150952.01041)","(-12574.02218, 150958.16571)",0.0683935462897645,28.0081,True,False
"(-12505.90618, 150952.01041)","(-12466.50368, 150966.41501)",0.041952943965951534,28.0081,False,False
"(-14515.24518, 147167.58171)","(-14469.51228, 147196.71231)",0.05422259675421448,23.1806,False,False
"(-14515.24518, 147167.58171)","(-14575.02828, 147166.47881)",0.059793272481275535,23.1806,False,False
"(-15041.30558, 148857.81811)","(-15042.77458, 148858.10781)",0.001497293254507594,32.1137,False,False
"(-15041.30558, 148857.81811)","(-15040.98928, 148857.95961)",0.00034650821058045155,32.1137,False,False
"(-11030.10968, 146502.23731)","(-11068.26618, 146538.67251)",0.05275833859486665,23.5624,False,False
"(-11030.10968, 146502.23731)","(-10979.42848, 146476.33291)",0.05691767715569459,23.5624,False,False
"(-12438.34998, 149911.92941)","(-12509.39408, 149920.94601)",0.07161398760277163,25.3424,False,False
"(-12438.34998, 149911.92941)","(-12396.51688, 149879.55011)",0.05290016374360453,22.7883,False,False
"(-12438.34998, 149911.92941)","(-12393.46398, 149949.97711)",0.05884199581327691,22.7883,False,False
"(-12625.04358, 149499.60501)","(-12637.99638, 149546.71141)",0.04885476382911957,19.1903,False,False
"(-12625.04358, 149499.60501)","(-12669.96928, 149454.59311)",0.06359551605342222,19.1903,False,False
"(-14023.58238, 147392.33661)","(-14002.41568, 147409.27001)",0.0271066269471193,22.353,False,False
"(-14023.58238, 147392.33661)","(-13981.24898, 147342.59491)",0.0653173290517025,22.353,False,False
"(-12071.36288, 148239.71551)","(-12058.13378, 148262.20511)",0.026091975681616142,13.123,False,False
"(-12071.36288, 148239.71551)","(-12077.97758, 148210.61121)",0.02984651628884634,13.123,False,False
"(-11872.18348, 149333.34561)","(-11887.34598, 149380.44471)",0.0494795576684151,26.2293,False,False
"(-11872.18348, 149333.34561)","(-11876.79588, 149320.13501)",0.01399264757362839,26.2293,False,False
"(-12222.72588, 150640.48231)","(-12218.67138, 150649.85861)",0.010215379187287562,20.5607,False,False
"(-12222.72588, 150640.48231)","(-12224.99708, 150635.23021)",0.005722141544021904,20.5607,False,False
"(-11602.57108, 151288.44831)","(-11605.51128, 151290.83731)",0.003788416165099109,24.2383,False,False
"(-11602.57108, 151288.44831)","(-11601.25168, 151288.25571)",0.0013333833357307464,24.2383,False,False
"(-14453.86018, 150009.67181)","(-14500.42688, 149986.38841)",0.052063175704613406,21.8462,False,False
"(-14453.86018, 150009.67181)","(-14424.22678, 150052.00521)",0.051674511619561506,21.8462,False,False
"(-12730.12138, 147441.49361)","(-12780.18878, 147452.67301)",0.0513003267740065,13.0354,False,False
"(-12730.12138, 147441.49361)","(-12676.38838, 147401.01541)",0.06727347147457916,13.0354,False,False
"(-12253.37218, 148162.11581)","(-12311.22028, 148113.85901)",0.07533340175413684,13.123,False,False
"(-12253.37218, 148162.11581)","(-12162.72588, 148169.59121)",0.090954017552005,13.123,False,False
"(-13500.79458, 147648.48191)","(-13552.57348, 147570.29131)",0.09378072517084841,13.0354,False,False
"(-13500.79458, 147648.48191)","(-13447.79828, 147715.54781)",0.08547773251846424,24.2381,False,False
"(-13500.79458, 147648.48191)","(-13530.61778, 147653.57281)",0.030254595040260356,24.2381,False,False
"(-12142.89718, 148930.62941)","(-12097.60608, 148919.57171)",0.046621416414563605,14.9149,False,False
"(-12142.89718, 148930.62941)","(-12167.50348, 148935.39191)",0.02506294886760304,14.9149,False,False
