"Source(x,y)","Target(x,y)"
"(-14261.58618, 148060.00501)","(-14041.91648, 147856.58241)"
"(-14261.58618, 148060.00501)","(-14083.29341, 148038.77795)"
"(-14725.76647, 148708.12995)","(-14115.84058, 148231.16461)"
"(-14725.76647, 148708.12995)","(-14908.31698, 148833.23941)"
"(-14083.29341, 148038.77795)","(-14115.84058, 148231.16461)"
"(-14083.29341, 148038.77795)","(-13959.76258, 147857.25941)"
"(-14083.29341, 148038.77795)","(-14261.58618, 148060.00501)"
"(-14083.29341, 148038.77795)","(-13982.38488, 147789.31921)"
"(-14083.29341, 148038.77795)","(-13912.17588, 148174.97421)"
"(-14083.29341, 148038.77795)","(-14041.91648, 147856.58241)"
"(-14083.29341, 148038.77795)","(-14082.90658, 148243.02061)"
"(-12041.43778, 149785.47481)","(-12193.48708, 149840.19281)"
"(-12041.43778, 149785.47481)","(-12379.68718, 149572.13951)"
"(-12041.43778, 149785.47481)","(-11981.49018, 149557.28201)"
"(-12041.43778, 149785.47481)","(-12666.14925, 149667.58121)"
"(-12041.43778, 149785.47481)","(-12107.60039, 149563.08518)"
"(-12193.48708, 149840.19281)","(-12041.43778, 149785.47481)"
"(-12193.48708, 149840.19281)","(-12169.65998, 150016.73191)"
"(-12193.48708, 149840.19281)","(-11771.13658, 150069.97271)"
"(-12193.48708, 149840.19281)","(-11960.48012, 150082.8279)"
"(-12193.48708, 149840.19281)","(-12666.14925, 149667.58121)"
"(-12379.68718, 149572.13951)","(-12041.43778, 149785.47481)"
"(-12379.68718, 149572.13951)","(-12255.08068, 149486.44061)"
"(-12379.68718, 149572.13951)","(-12695.44878, 149352.03591)"
"(-12379.68718, 149572.13951)","(-12666.14925, 149667.58121)"
"(-12379.68718, 149572.13951)","(-12107.60039, 149563.08518)"
"(-11981.49018, 149557.28201)","(-12041.43778, 149785.47481)"
"(-11981.49018, 149557.28201)","(-12255.08068, 149486.44061)"
"(-11981.49018, 149557.28201)","(-11669.25283, 149932.36009)"
"(-11981.49018, 149557.28201)","(-12107.60039, 149563.08518)"
"(-12107.60039, 149563.08518)","(-12041.43778, 149785.47481)"
"(-12107.60039, 149563.08518)","(-12255.08068, 149486.44061)"
"(-12107.60039, 149563.08518)","(-11981.49018, 149557.28201)"
"(-12107.60039, 149563.08518)","(-12379.68718, 149572.13951)"
"(-13342.41448, 149273.05371)","(-13255.63098, 149270.93711)"
"(-13342.41448, 149273.05371)","(-13344.55208, 149283.23872)"
"(-13342.41448, 149273.05371)","(-13362.52288, 148952.37821)"
"(-13255.63098, 149270.93711)","(-13342.41448, 149273.05371)"
"(-13255.63098, 149270.93711)","(-13191.91595, 149213.96773)"
"(-13344.55208, 149283.23872)","(-13342.41448, 149273.05371)"
"(-13344.55208, 149283.23872)","(-13592.64028, 149533.99081)"
"(-13362.52288, 148952.37821)","(-13342.41448, 149273.05371)"
"(-13362.52288, 148952.37821)","(-13121.22238, 149067.73671)"
"(-13362.52288, 148952.37821)","(-12962.70158, 148897.86801)"
"(-13150.39048, 147167.67311)","(-13023.58006, 147093.60981)"
"(-13150.39048, 147167.67311)","(-13517.05858, 147392.12021)"
"(-13150.39048, 147167.67311)","(-12676.38838, 147401.01541)"
"(-13150.39048, 147167.67311)","(-13290.59419, 147587.12927)"
"(-13023.58006, 147093.60981)","(-13150.39048, 147167.67311)"
"(-13023.58006, 147093.60981)","(-12856.57828, 147058.04901)"
"(-13517.05858, 147392.12021)","(-13150.39048, 147167.67311)"
"(-13517.05858, 147392.12021)","(-13552.61908, 147372.45363)"
"(-13517.05858, 147392.12021)","(-13982.38488, 147789.31921)"
"(-13517.05858, 147392.12021)","(-13290.59419, 147587.12927)"
"(-12676.38838, 147401.01541)","(-13150.39048, 147167.67311)"
"(-12676.38838, 147401.01541)","(-12605.97578, 147390.85921)"
"(-12676.38838, 147401.01541)","(-12689.95068, 147506.21071)"
"(-12676.38838, 147401.01541)","(-13290.59419, 147587.12927)"
"(-12077.01318, 148042.24901)","(-12081.56955, 148030.69877)"
"(-12077.01318, 148042.24901)","(-12090.12278, 148160.55131)"
"(-12077.01318, 148042.24901)","(-12708.81718, 147887.38281)"
"(-12081.56955, 148030.69877)","(-12077.01318, 148042.24901)"
"(-12081.56955, 148030.69877)","(-12165.39827, 147921.14491)"
"(-12090.12278, 148160.55131)","(-12077.01318, 148042.24901)"
"(-12090.12278, 148160.55131)","(-12523.52258, 148105.74521)"
