"Node1(x,y)","Node2(x,y)"
"(-12274.22078, 150422.98411)","(-12279.25298, 150422.63721)"
"(-12732.12538, 150635.83271)","(-12731.75628, 150655.76761)"
"(-12732.12538, 150635.83271)","(-12720.31848, 150604.54431)"
"(-14113.63938, 147662.16331)","(-14119.19148, 147643.81771)"
"(-14113.63938, 147662.16331)","(-14102.78858, 147702.99791)"
"(-11663.50808, 149453.94621)","(-11646.04558, 149461.09001)"
"(-12565.42878, 150238.24301)","(-12524.51088, 150274.06401)"
"(-12309.99698, 147161.56921)","(-12370.74088, 147160.41581)"
"(-12309.99698, 147161.56921)","(-12314.97658, 147203.97811)"
"(-14216.04948, 148466.87681)","(-14269.57668, 148533.53211)"
"(-14216.04948, 148466.87681)","(-14172.64498, 148424.48411)"
"(-11952.53298, 146805.87191)","(-11843.40028, 146866.95831)"
"(-11952.53298, 146805.87191)","(-12020.80848, 146775.19261)"
"(-13454.69208, 149850.27401)","(-13398.16458, 149824.60111)"
"(-13454.69208, 149850.27401)","(-13469.38548, 149880.48421)"
"(-14028.95958, 150512.90261)","(-14024.03208, 150441.16541)"
"(-14028.95958, 150512.90261)","(-14019.96358, 150571.65381)"
"(-12031.56118, 150655.86531)","(-12012.30438, 150632.94041)"
"(-12031.56118, 150655.86531)","(-12096.60728, 150705.60591)"
"(-14851.83808, 148120.49801)","(-14825.98398, 148068.07981)"
"(-14851.83808, 148120.49801)","(-14843.56568, 148156.35881)"
"(-12286.47218, 150686.48781)","(-12251.47948, 150693.90301)"
"(-13067.08858, 150690.44281)","(-13064.44268, 150653.40111)"
"(-13067.08858, 150690.44281)","(-13034.01558, 150724.83861)"
"(-11630.17048, 149538.87751)","(-11607.15168, 149549.19641)"
"(-11630.17048, 149538.87751)","(-11641.28438, 149490.61321)"
"(-14852.42928, 148832.95261)","(-14875.21208, 148812.15971)"
"(-14852.42928, 148832.95261)","(-14777.02288, 148809.14011)"
"(-13503.97838, 148238.07981)","(-13563.04078, 148253.33141)"
"(-13503.97838, 148238.07981)","(-13513.86458, 148208.34371)"
"(-12169.65998, 150016.73191)","(-12108.30538, 150088.12301)"
"(-12169.65998, 150016.73191)","(-12212.60768, 149998.55341)"
"(-12169.65998, 150016.73191)","(-12176.74988, 149962.95391)"
"(-13902.48638, 147428.97111)","(-13876.41278, 147379.55901)"
"(-13902.48638, 147428.97111)","(-13890.96498, 147484.06951)"
"(-12325.77468, 148454.40741)","(-12380.75388, 148454.35491)"
"(-12678.42338, 149411.48681)","(-12669.96928, 149454.59311)"
"(-12678.42338, 149411.48681)","(-12695.44878, 149352.03591)"
"(-11727.00818, 149674.60911)","(-11720.65818, 149642.06531)"
"(-12451.57868, 147075.91161)","(-12422.17958, 147017.10301)"
"(-13258.11368, 147843.94061)","(-13299.34488, 147907.21201)"
"(-13258.11368, 147843.94061)","(-13212.37538, 147764.49301)"
