"Source(x,y)","Target(x,y)"
"(-12873.50474, 147235.71548)","(-12730.49258, 147044.27301)"
"(-13882.07368, 149997.78241)","(-13920.16998, 150090.00461)"
"(-13944.79308, 150216.77961)","(-13920.16998, 150090.00461)"
"(-14031.72505, 150215.80035)","(-13920.16998, 150090.00461)"
"(-11829.82084, 146875.34896)","(-11701.81518, 146963.95881)"
"(-11781.58465, 147066.21703)","(-11701.81518, 146963.95881)"
"(-11832.54596, 147082.78683)","(-11701.81518, 146963.95881)"
"(-12845.70708, 148850.55401)","(-12962.70158, 148897.86801)"
"(-13302.28988, 148879.11011)","(-12962.70158, 148897.86801)"
"(-13167.04628, 148957.40486)","(-12962.70158, 148897.86801)"
"(-12911.237, 149019.71742)","(-12962.70158, 148897.86801)"
"(-13073.86918, 146632.53181)","(-13226.05408, 146692.81491)"
"(-13197.82043, 146922.22721)","(-13226.05408, 146692.81491)"
"(-13121.29092, 146778.39747)","(-13226.05408, 146692.81491)"
"(-13324.00156, 146877.80252)","(-13226.05408, 146692.81491)"
"(-12864.00236, 146562.20164)","(-12966.85048, 146609.79601)"
"(-12916.49978, 146804.13601)","(-12966.85048, 146609.79601)"
"(-13073.86918, 146632.53181)","(-12966.85048, 146609.79601)"
"(-12878.55371, 146690.30923)","(-12966.85048, 146609.79601)"
"(-12992.22508, 146726.00828)","(-12966.85048, 146609.79601)"
"(-13198.59018, 149677.26611)","(-13242.88528, 149724.48541)"
"(-13398.16458, 149824.60111)","(-13242.88528, 149724.48541)"
"(-13157.07228, 150118.38961)","(-13242.88528, 149724.48541)"
"(-13254.19366, 149464.37443)","(-13242.88528, 149724.48541)"
"(-13032.42201, 149899.99789)","(-13242.88528, 149724.48541)"
"(-13301.84237, 149934.63368)","(-13242.88528, 149724.48541)"
"(-14792.76558, 147894.42081)","(-14788.58488, 147879.74541)"
"(-14638.77407, 147795.47715)","(-14788.58488, 147879.74541)"
"(-14261.79398, 147279.95771)","(-14788.58488, 147879.74541)"
"(-14658.74449, 147504.33285)","(-14788.58488, 147879.74541)"
"(-14672.51433, 148050.23587)","(-14788.58488, 147879.74541)"
"(-12951.50618, 146838.00671)","(-12916.49978, 146804.13601)"
"(-12884.33638, 146794.69936)","(-12916.49978, 146804.13601)"
"(-12878.55371, 146690.30923)","(-12916.49978, 146804.13601)"
"(-12992.22508, 146726.00828)","(-12916.49978, 146804.13601)"
"(-13089.88771, 147018.35919)","(-12916.49978, 146804.13601)"
"(-12457.51948, 147320.30191)","(-12178.68768, 147494.02351)"
"(-12605.97578, 147390.85921)","(-12178.68768, 147494.02351)"
"(-12280.57218, 147253.92281)","(-12178.68768, 147494.02351)"
"(-12445.81777, 147294.8568)","(-12178.68768, 147494.02351)"
"(-12299.64687, 147391.65277)","(-12178.68768, 147494.02351)"
"(-13290.5462, 150419.78996)","(-13322.81538, 150391.65261)"
"(-13373.07518, 150349.56471)","(-13322.81538, 150391.65261)"
"(-13268.95768, 150156.41771)","(-13322.81538, 150391.65261)"
"(-13561.87851, 149978.58399)","(-13322.81538, 150391.65261)"
"(-13289.80188, 150577.04322)","(-13322.81538, 150391.65261)"
"(-11771.13658, 150069.97271)","(-12193.48708, 149840.19281)"
"(-12666.14925, 149667.58121)","(-12193.48708, 149840.19281)"
"(-11866.22802, 149776.83151)","(-12193.48708, 149840.19281)"
"(-11960.48012, 150082.82789)","(-12193.48708, 149840.19281)"
"(-13982.38488, 147789.31921)","(-13959.76258, 147857.25941)"
"(-13935.6851, 147853.47208)","(-13959.76258, 147857.25941)"
"(-13912.17588, 148174.97421)","(-13959.76258, 147857.25941)"
"(-13290.59419, 147587.12927)","(-13959.76258, 147857.25941)"
"(-14083.29341, 148038.77795)","(-13959.76258, 147857.25941)"
"(-13827.41254, 148018.7185)","(-13959.76258, 147857.25941)"
"(-13212.37538, 147764.49301)","(-13111.00188, 147817.87781)"
"(-12994.57238, 148531.33661)","(-13111.00188, 147817.87781)"
"(-13016.03408, 147973.70541)","(-13111.00188, 147817.87781)"
"(-13290.59419, 147587.12927)","(-13111.00188, 147817.87781)"
"(-12939.92328, 148186.61558)","(-13111.00188, 147817.87781)"
"(-14031.72505, 150215.80035)","(-13944.79308, 150216.77961)"
"(-12931.20988, 149482.68611)","(-13198.59018, 149677.26611)"
"(-12815.40568, 149829.76891)","(-13198.59018, 149677.26611)"
"(-13254.19366, 149464.37443)","(-13198.59018, 149677.26611)"
"(-12666.14925, 149667.58121)","(-13198.59018, 149677.26611)"
"(-13032.42201, 149899.99789)","(-13198.59018, 149677.26611)"
"(-14209.85468, 149193.83981)","(-14536.41298, 149171.48071)"
"(-14298.83828, 149685.76791)","(-14536.41298, 149171.48071)"
"(-14512.32767, 149509.9299)","(-14536.41298, 149171.48071)"
"(-12451.77348, 146591.56311)","(-12425.26918, 146572.02501)"
"(-12306.4491, 146483.83352)","(-12425.26918, 146572.02501)"
"(-12203.62278, 146868.49841)","(-12425.26918, 146572.02501)"
"(-12419.48714, 146353.17934)","(-12425.26918, 146572.02501)"
"(-12229.4852, 146691.79924)","(-12425.26918, 146572.02501)"
"(-12416.58816, 146754.19929)","(-12425.26918, 146572.02501)"
"(-13912.17588, 148174.97421)","(-13821.76818, 148188.55821)"
"(-13760.03664, 148073.28504)","(-13821.76818, 148188.55821)"
"(-13827.41254, 148018.7185)","(-13821.76818, 148188.55821)"
"(-13864.91187, 148400.54176)","(-13821.76818, 148188.55821)"
"(-12967.41188, 149141.69051)","(-13153.70138, 149198.15421)"
"(-13191.91595, 149213.96773)","(-13153.70138, 149198.15421)"
"(-12911.237, 149019.71742)","(-13153.70138, 149198.15421)"
"(-13310.96519, 149117.31268)","(-13153.70138, 149198.15421)"
"(-13254.19366, 149464.37443)","(-13153.70138, 149198.15421)"
"(-13729.54208, 150089.48391)","(-13732.31928, 150109.64081)"
"(-13720.98489, 150115.08259)","(-13732.31928, 150109.64081)"
"(-13801.13578, 150223.65781)","(-13732.31928, 150109.64081)"
"(-13643.11667, 150156.67757)","(-13732.31928, 150109.64081)"
"(-14031.72505, 150215.80035)","(-13732.31928, 150109.64081)"
"(-13561.87851, 149978.58399)","(-13732.31928, 150109.64081)"
"(-13499.02526, 149510.46367)","(-13467.75668, 149487.42401)"
"(-13627.67848, 149377.50511)","(-13467.75668, 149487.42401)"
"(-13254.19366, 149464.37443)","(-13467.75668, 149487.42401)"
"(-12032.56328, 148918.99911)","(-12393.24638, 148629.71811)"
"(-12471.95778, 148790.06951)","(-12393.24638, 148629.71811)"
"(-12641.66028, 148300.17291)","(-12393.24638, 148629.71811)"
"(-12703.09936, 148577.1192)","(-12393.24638, 148629.71811)"
"(-12231.82597, 148897.55227)","(-12393.24638, 148629.71811)"
"(-13788.95158, 147217.47001)","(-13808.57768, 147230.26881)"
"(-13552.61907, 147372.45363)","(-13808.57768, 147230.26881)"
"(-13823.81668, 147245.87331)","(-13808.57768, 147230.26881)"
"(-14094.27527, 147414.05318)","(-13808.57768, 147230.26881)"
"(-13089.88771, 147018.35919)","(-13808.57768, 147230.26881)"
"(-13834.29961, 147525.29238)","(-13808.57768, 147230.26881)"
"(-12870.04963, 150893.67433)","(-12860.44848, 150900.41651)"
"(-12678.37418, 150862.01841)","(-12860.44848, 150900.41651)"
"(-12656.49978, 150832.72151)","(-12860.44848, 150900.41651)"
"(-14843.56568, 148156.35881)","(-14792.76558, 147894.42081)"
"(-14672.51433, 148050.23587)","(-14792.76558, 147894.42081)"
"(-13038.38558, 150793.14951)","(-12989.03628, 150813.47421)"
"(-12976.39239, 150817.80705)","(-12989.03628, 150813.47421)"
"(-13269.84737, 150534.77281)","(-12989.03628, 150813.47421)"
"(-12967.5417, 150404.96628)","(-12989.03628, 150813.47421)"
"(-13289.80188, 150577.04322)","(-12989.03628, 150813.47421)"
"(-13227.07898, 150146.22091)","(-13268.95768, 150156.41771)"
"(-13398.16458, 149824.60111)","(-13268.95768, 150156.41771)"
"(-13301.84237, 149934.63368)","(-13268.95768, 150156.41771)"
"(-13561.87851, 149978.58399)","(-13268.95768, 150156.41771)"
"(-13552.61907, 147372.45363)","(-13517.05858, 147392.12021)"
"(-13982.38488, 147789.31921)","(-13517.05858, 147392.12021)"
"(-13089.88771, 147018.35919)","(-13517.05858, 147392.12021)"
"(-13290.59419, 147587.12927)","(-13517.05858, 147392.12021)"
"(-13834.29961, 147525.29238)","(-13517.05858, 147392.12021)"
"(-12184.55648, 149235.42661)","(-12084.52488, 149162.66771)"
"(-12032.56328, 148918.99911)","(-12084.52488, 149162.66771)"
"(-12231.82597, 148897.55227)","(-12084.52488, 149162.66771)"
"(-14473.54178, 147658.34491)","(-14418.24458, 147665.73311)"
"(-14299.97578, 147426.14361)","(-14418.24458, 147665.73311)"
"(-14297.34464, 147649.73247)","(-14418.24458, 147665.73311)"
"(-14658.74449, 147504.33285)","(-14418.24458, 147665.73311)"
"(-14277.69766, 147701.86858)","(-14418.24458, 147665.73311)"
"(-12440.45547, 147314.40693)","(-12457.51948, 147320.30191)"
"(-12329.48622, 147161.19915)","(-12457.51948, 147320.30191)"
"(-12445.81777, 147294.8568)","(-12457.51948, 147320.30191)"
"(-12299.64687, 147391.65277)","(-12457.51948, 147320.30191)"
"(-14041.91648, 147856.58241)","(-14261.58618, 148060.00501)"
"(-14148.02998, 148195.04921)","(-14261.58618, 148060.00501)"
"(-14083.29341, 148038.77795)","(-14261.58618, 148060.00501)"
"(-14564.73205, 148466.21055)","(-14261.58618, 148060.00501)"
"(-14541.00578, 149023.08711)","(-14364.68728, 149048.66971)"
"(-14194.49678, 148898.97241)","(-14364.68728, 149048.66971)"
"(-14259.36327, 148751.24827)","(-14364.68728, 149048.66971)"
"(-14512.32767, 149509.9299)","(-14364.68728, 149048.66971)"
"(-12162.38518, 147088.50391)","(-12150.41828, 147034.86361)"
"(-12465.81377, 147031.14202)","(-12150.41828, 147034.86361)"
"(-11832.54596, 147082.78683)","(-12150.41828, 147034.86361)"
"(-11897.64531, 147344.57458)","(-12150.41828, 147034.86361)"
"(-12020.80848, 146775.19261)","(-12080.04928, 146757.98281)"
"(-12192.16702, 146876.89671)","(-12080.04928, 146757.98281)"
"(-11535.17588, 146511.60567)","(-12080.04928, 146757.98281)"
"(-12229.4852, 146691.79924)","(-12080.04928, 146757.98281)"
"(-11832.54596, 147082.78683)","(-12080.04928, 146757.98281)"
"(-12641.36178, 148195.25691)","(-13016.03408, 147973.70541)"
"(-12784.22368, 147864.57911)","(-13016.03408, 147973.70541)"
"(-13290.59419, 147587.12927)","(-13016.03408, 147973.70541)"
"(-12771.5825, 148051.46173)","(-13016.03408, 147973.70541)"
"(-12939.92328, 148186.61558)","(-13016.03408, 147973.70541)"
"(-14923.24858, 148582.19891)","(-15146.14858, 148863.64541)"
"(-15419.87893, 149065.40362)","(-15146.14858, 148863.64541)"
"(-15028.03215, 148863.75522)","(-15146.14858, 148863.64541)"
"(-14564.73205, 148466.21055)","(-15146.14858, 148863.64541)"
