"Source(x,y)","Target(x,y)"
"(-11647.46748, 147490.42951)","(-11915.1548, 147459.44344)"
"(-11647.46748, 147490.42951)","(-11529.38348, 147400.07031)"
"(-12280.57218, 147253.92281)","(-12340.79808, 147255.51221)"
"(-12280.57218, 147253.92281)","(-12253.57308, 147164.96431)"
"(-12280.57218, 147253.92281)","(-12445.81777, 147294.8568)"
"(-12280.57218, 147253.92281)","(-12299.64687, 147391.65277)"
"(-13909.06378, 150338.57541)","(-13960.11328, 150381.75201)"
"(-13909.06378, 150338.57541)","(-13898.65996, 150339.52273)"
"(-13864.08228, 148731.81221)","(-14069.35638, 148584.14781)"
"(-13864.08228, 148731.81221)","(-13573.75614, 148328.60157)"
"(-12204.39288, 150703.88121)","(-12171.05377, 150701.3403)"
"(-12204.39288, 150703.88121)","(-12482.69789, 150476.59119)"
"(-12255.08068, 149486.44061)","(-11981.49018, 149557.28201)"
"(-12255.08068, 149486.44061)","(-12379.68718, 149572.13951)"
"(-12255.08068, 149486.44061)","(-12131.75518, 149344.27771)"
"(-12255.08068, 149486.44061)","(-12107.60039, 149563.08518)"
"(-14102.65778, 150653.72541)","(-13498.77538, 150497.94221)"
"(-14102.65778, 150653.72541)","(-13960.11328, 150381.75201)"
"(-12196.46238, 147903.70951)","(-12165.39827, 147921.14491)"
"(-12196.46238, 147903.70951)","(-12489.67768, 147669.66561)"
"(-12196.46238, 147903.70951)","(-12340.19063, 147770.23171)"
"(-12605.97578, 147390.85921)","(-12676.38838, 147401.01541)"
"(-12605.97578, 147390.85921)","(-12445.81777, 147294.8568)"
"(-12815.40568, 149829.76891)","(-12880.92928, 150025.69071)"
"(-12815.40568, 149829.76891)","(-13032.42201, 149899.99789)"
"(-12815.40568, 149829.76891)","(-12571.66956, 150052.70114)"
"(-12815.40568, 149829.76891)","(-12666.14925, 149667.58121)"
"(-13882.07368, 149997.78241)","(-13561.87851, 149978.584)"
"(-11981.49018, 149557.28201)","(-11669.25283, 149932.36009)"
"(-11981.49018, 149557.28201)","(-12107.60039, 149563.08518)"
"(-12090.12278, 148160.55131)","(-12523.52258, 148105.74521)"
"(-12090.12278, 148160.55131)","(-12033.33143, 148289.34676)"
"(-12340.79808, 147255.51221)","(-12314.97658, 147203.97811)"
"(-12340.79808, 147255.51221)","(-12445.81777, 147294.8568)"
"(-12340.79808, 147255.51221)","(-12299.64687, 147391.65277)"
"(-13373.07518, 150349.56471)","(-13515.87128, 150205.52941)"
"(-13373.07518, 150349.56471)","(-13498.77538, 150497.94221)"
"(-13373.07518, 150349.56471)","(-13561.87851, 149978.584)"
