Node,Stand
"(-12253.57308, 147164.96431)","[810, 1094]"
"(-12204.27398, 147128.64421)","[1093, 1094]"
"(-12162.38518, 147088.50391)","[1093, 1094]"
"(-12150.41828, 147034.86361)","[1200, 1093, 1094]"
"(-12204.74978, 147015.54981)","[1200, 1094]"
"(-12175.38008, 146983.42491)","[1200, 1094]"
"(-12227.37888, 146947.12761)","[1200, 1094]"
"(-12282.05788, 146930.75591)","[1200, 1094]"
"(-12339.89678, 146919.53631)","[1200, 1094]"
"(-12637.91278, 146960.26091)","[1096, 1094]"
"(-12684.12008, 146989.97441)","[1096, 1094]"
"(-12730.49258, 147044.27301)","[1096, 1092, 1094]"
"(-12720.62968, 147104.78651)","[1092, 1094]"
"(-12676.76408, 147148.37501)","[810, 1092, 1094]"
"(-12625.24098, 147196.09961)","[810, 1094]"
"(-12550.10338, 147200.27651)","[810, 1094]"
"(-12531.86218, 147151.38551)","[810, 1094]"
"(-12547.40668, 147110.66221)","[810, 1094]"
"(-12503.43718, 147108.45021)","[810, 1094]"
"(-12501.15338, 147048.66351)","[810, 1094]"
"(-12451.57868, 147075.91161)","[810, 1094]"
"(-12422.17958, 147017.10301)","[810, 1094]"
"(-12365.68228, 146968.40431)","[810, 1094]"
"(-12310.83088, 147017.28461)","[810, 1094]"
"(-12263.80848, 147091.67241)","[810, 1094]"
"(-12162.71478, 147088.81975)",[1094]
"(-12262.82853, 147098.68947)",[1094]
"(-11514.13248, 147464.64091)","[1200, 1256]"
"(-11529.38348, 147400.07031)",[1200]
"(-11567.16828, 147356.58511)",[1200]
"(-11547.15178, 147311.21081)",[1200]
"(-11541.03658, 147267.09531)",[1200]
"(-11515.10778, 147228.28881)",[1200]
"(-11483.14908, 147175.25021)",[1200]
"(-11562.88688, 147199.90681)",[1200]
"(-11562.92908, 147156.79911)",[1200]
"(-11520.39438, 147127.53061)",[1200]
"(-11461.13718, 147087.28651)",[1200]
"(-11463.43268, 147024.62021)",[1200]
"(-11512.74898, 147005.49461)",[1200]
"(-11567.55768, 147020.37881)",[1200]
"(-11636.58518, 147037.84251)",[1200]
"(-11731.39298, 147083.07661)",[1200]
"(-11793.94458, 147077.22441)",[1200]
"(-11728.41938, 147018.86961)",[1200]
"(-11701.81518, 146963.95881)",[1200]
"(-11726.15138, 146918.80101)",[1200]
"(-11787.35798, 146901.58651)",[1200]
"(-11843.40028, 146866.95831)",[1200]
"(-11952.53298, 146805.87191)",[1200]
"(-12069.20318, 147054.50501)","[1200, 1093]"
"(-11999.01518, 147095.74961)","[1200, 1093]"
"(-11943.52028, 147119.77031)","[1200, 1093]"
"(-11911.20918, 147169.78621)","[1200, 1093]"
"(-11932.40778, 147220.85121)","[1200, 1093]"
"(-11888.78078, 147252.51691)","[1200, 1093]"
"(-11835.29698, 147287.21631)","[1200, 1093]"
"(-11795.68488, 147309.54541)","[1200, 1093]"
"(-11774.10648, 147351.59401)","[1200, 1093]"
"(-11735.25448, 147304.90561)","[1200, 1093]"
"(-11670.20168, 147337.89651)","[1200, 1093]"
"(-11646.16018, 147401.95171)","[1200, 1093]"
"(-11647.46748, 147490.42951)","[1200, 1256, 1093]"
"(-11666.33808, 147348.19052)",[1200]
"(-11787.11197, 147077.86365)",[1200]
"(-11829.82084, 146875.34896)",[1200]
"(-11781.58465, 147066.21703)",[1200]
"(-11703.75199, 146960.36489)",[1200]
"(-11529.63853, 147399.77678)",[1200]
"(-11646.18147, 147403.39276)",[1200]
"(-11928.92451, 147212.46041)",[1200]
"(-11885.36487, 147254.7331)",[1200]
"(-11778.33814, 147343.34801)",[1200]
"(-11767.92647, 147344.1675)",[1200]
"(-11667.48463, 147345.13569)",[1200]
"(-12258.14398, 147591.09791)",[810]
"(-12206.43788, 147549.28161)",[810]
"(-12178.68768, 147494.02351)","[810, 1091]"
"(-12375.82278, 147479.90601)","[810, 1091]"
"(-12396.83158, 147437.45221)","[810, 1091]"
"(-12418.44588, 147386.86471)","[810, 1091]"
"(-12468.92468, 147356.77781)","[810, 1091]"
"(-12457.51948, 147320.30191)","[810, 1091]"
"(-12454.30468, 147310.02021)",[810]
"(-12441.26558, 147243.85161)",[810]
"(-12469.30838, 147233.38551)",[810]
"(-12493.99418, 147196.06891)",[810]
"(-12435.92798, 147181.90981)",[810]
"(-12370.74088, 147160.41581)",[810]
"(-12309.99698, 147161.56921)",[810]
"(-12314.97658, 147203.97811)",[810]
"(-12340.79808, 147255.51221)","[810, 1091]"
"(-12280.57218, 147253.92281)","[810, 1091]"
"(-12709.28888, 147178.88031)","[810, 1092]"
"(-12713.10058, 147249.29181)","[810, 1092]"
"(-12707.93758, 147309.98591)","[810, 1092]"
"(-12662.28598, 147315.35431)","[810, 1092]"
"(-12618.77668, 147336.09241)","[810, 1092]"
"(-12605.97578, 147390.85921)","[810, 1092]"
"(-12601.23928, 147390.31691)",[810]
"(-12531.14828, 147402.32731)",[810]
"(-12480.41368, 147440.88791)",[810]
"(-12469.44448, 147530.61201)",[810]
"(-12436.63068, 147596.82061)",[810]
"(-12384.46688, 147614.03281)",[810]
"(-12306.66998, 147604.57251)",[810]
"(-12621.10073, 147334.98468)",[810]
"(-12458.34863, 147322.95368)",[810]
"(-12329.48622, 147161.19915)",[810]
"(-12150.88468, 147155.23851)",[1093]
"(-12109.83968, 147196.45381)",[1093]
"(-12084.26298, 147266.00361)",[1093]
"(-12082.65148, 147348.72231)",[1093]
"(-12059.82198, 147397.63961)",[1093]
"(-12010.40208, 147418.10851)",[1093]
"(-11943.34748, 147397.93451)",[1093]
"(-11907.78118, 147475.53071)",[1093]
"(-12013.89618, 147482.77381)",[1093]
"(-11997.51028, 147507.31921)",[1093]
"(-11968.40608, 147529.80881)",[1093]
"(-11906.22908, 147549.65251)",[1093]
"(-11859.92698, 147543.03791)",[1093]
"(-11821.56248, 147544.36071)",[1093]
