3697.14 * C_node5node21_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2620.97 * C_node5node21_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1858.06 * C_node5node21_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1317.21 * C_node5node21_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3885.0 * C_node5node41_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3271.07 * C_node5node41_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2318.92 * C_node5node41_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1643.93 * C_node5node41_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1165.41 * C_node5node41_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
826.18 * C_node5node41_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
5826.0 * C_node5node41_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
4905.34 * C_node5node41_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3477.48 * C_node5node41_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2465.25 * C_node5node41_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1747.67 * C_node5node41_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1238.95 * C_node5node41_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
946.0 * C_node5node11_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
796.51 * C_node5node11_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
564.66 * C_node5node11_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
400.3 * C_node5node11_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
283.78 * C_node5node11_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
201.18 * C_node5node11_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1420.0 * C_node5node11_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1195.6 * C_node5node11_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
847.58 * C_node5node11_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
600.87 * C_node5node11_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
425.97 * C_node5node11_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
