variable,value,node_type_info
C_node178node363_timber_t1,1.0,node178exit_node363source
C_node178node363_timber_t3,1.0,node178exit_node363source
C_node179node405_timber_t2,1.0,node179transit_node405source
C_node179node420_timber_t1,1.0,node179transit_node420source
C_node187node341_timber_t1,1.0,node187transit_node341exit
C_node187node382_timber_t1,1.0,node187transit_node382source
C_node187node384_timber_t1,1.0,node187transit_node384source
C_node188node216_timber_t1,1.0,node188transit_node216transit
C_node188node406_timber_t1,1.0,node188transit_node406source
C_node191node384_timber_t1,1.0,node191transit_node384source
C_node191node397_timber_t1,1.0,node191transit_node397source
C_node193node397_timber_t1,1.0,node193transit_node397source
C_node193node400_timber_t1,1.0,node193transit_node400source
C_node193node402_timber_t1,1.0,node193transit_node402source
C_node197node377_timber_t1,1.0,node197transit_node377source
C_node197node378_timber_t1,1.0,node197transit_node378source
C_node197node380_timber_t1,1.0,node197transit_node380source
C_node198node410_timber_t1,1.0,node198transit_node410source
C_node199node408_timber_t2,1.0,node199transit_node408source
C_node199node408_timber_t4,1.0,node199transit_node408source
C_node201node378_timber_t1,1.0,node201transit_node378source
C_node201node380_timber_t1,1.0,node201transit_node380source
C_node206node387_timber_t1,1.0,node206transit_node387source
C_node207node413_timber_t1,1.0,node207transit_node413source
C_node209node387_timber_t1,1.0,node209exit_node387source
C_node210node423_timber_t1,1.0,node210transit_node423source
C_node212node413_timber_t1,1.0,node212transit_node413source
C_node212node419_timber_t1,1.0,node212transit_node419source
C_node212node419_timber_t3,1.0,node212transit_node419source
C_node213node321_timber_t2,1.0,node213transit_node321exit
C_node213node408_timber_t2,1.0,node213transit_node408source
C_node214node402_timber_t1,1.0,node214transit_node402source
C_node214node404_timber_t1,1.0,node214transit_node404source
C_node215node221_timber_t1,1.0,node215exit_node221transit
C_node216node336_timber_t1,1.0,node216transit_node336exit
C_node219node378_timber_t1,1.0,node219transit_node378source
C_node219node381_timber_t1,1.0,node219transit_node381source
C_node221node371_wide_t1,1.0,node221transit_node371source
C_node223node420_timber_t1,1.0,node223transit_node420source
C_node223node435_timber_t1,1.0,node223transit_node435source
C_node224node387_timber_t1,1.0,node224transit_node387source
C_node226node402_timber_t1,1.0,node226transit_node402source
C_node226node404_timber_t1,1.0,node226transit_node404source
C_node227node423_timber_t1,1.0,node227transit_node423source
C_node227node435_timber_t2,1.0,node227transit_node435source
C_node231node410_timber_t1,1.0,node231transit_node410source
C_node233node410_timber_t1,1.0,node233transit_node410source
C_node234node419_timber_t1,1.0,node234exit_node419source
C_node234node419_timber_t3,1.0,node234exit_node419source
C_node235node420_timber_t1,1.0,node235transit_node420source
C_node235node435_timber_t2,1.0,node235transit_node435source
C_node237node397_timber_t1,1.0,node237transit_node397source
C_node237node400_timber_t1,1.0,node237transit_node400source
C_node239node406_timber_t1,1.0,node239transit_node406source
C_node239node419_timber_t1,1.0,node239transit_node419source
C_node242node366_timber_t1,1.0,node242transit_node366source
C_node249node378_timber_t1,1.0,node249transit_node378source
C_node249node379_timber_t1,1.0,node249transit_node379source
C_node250node381_timber_t1,1.0,node250transit_node381source
C_node269node363_timber_t1,1.0,node269exit_node363source
C_node269node363_wide_t4,1.0,node269exit_node363source
C_node270node363_timber_t1,1.0,node270exit_node363source
C_node271node363_timber_t1,1.0,node271exit_node363source
C_node271node363_timber_t3,1.0,node271exit_node363source
C_node271node363_timber_t5,1.0,node271exit_node363source
C_node272node363_timber_t1,1.0,node272exit_node363source
C_node272node363_timber_t3,1.0,node272exit_node363source
C_node279node368_timber_t1,1.0,node279exit_node368source
C_node281node370_timber_t1,1.0,node281exit_node370source
C_node286node378_timber_t1,1.0,node286exit_node378source
C_node287node377_timber_t1,1.0,node287exit_node377source
C_node287node378_timber_t1,1.0,node287exit_node378source
C_node288node377_timber_t1,1.0,node288exit_node377source
C_node288node380_timber_t1,1.0,node288exit_node380source
C_node289node378_timber_t1,1.0,node289exit_node378source
C_node289node388_timber_t1,1.0,node289exit_node388source
