variable,lb,ub,type,edge,period,road_type
flow_wide_node13node1_t1,0.0,9.0,I,node13node1,1,wide
flow_wide_node13node1_t2,0.0,9.0,I,node13node1,2,wide
flow_wide_node13node1_t3,0.0,9.0,I,node13node1,3,wide
flow_wide_node13node1_t4,0.0,9.0,I,node13node1,4,wide
flow_wide_node13node1_t5,0.0,9.0,I,node13node1,5,wide
flow_timber_node13node7_t1,0.0,9.0,I,node13node7,1,timber
flow_timber_node13node7_t2,0.0,9.0,I,node13node7,2,timber
flow_timber_node13node7_t3,0.0,9.0,I,node13node7,3,timber
flow_timber_node13node7_t4,0.0,9.0,I,node13node7,4,timber
flow_timber_node13node7_t5,0.0,9.0,I,node13node7,5,timber
flow_wide_node13node7_t1,0.0,9.0,I,node13node7,1,wide
flow_wide_node13node7_t2,0.0,9.0,I,node13node7,2,wide
flow_wide_node13node7_t3,0.0,9.0,I,node13node7,3,wide
flow_wide_node13node7_t4,0.0,9.0,I,node13node7,4,wide
flow_wide_node13node7_t5,0.0,9.0,I,node13node7,5,wide
flow_timber_node13node8_t1,0.0,9.0,I,node13node8,1,timber
flow_timber_node13node8_t2,0.0,9.0,I,node13node8,2,timber
flow_timber_node13node8_t3,0.0,9.0,I,node13node8,3,timber
flow_timber_node13node8_t4,0.0,9.0,I,node13node8,4,timber
flow_timber_node13node8_t5,0.0,9.0,I,node13node8,5,timber
flow_wide_node13node8_t1,0.0,9.0,I,node13node8,1,wide
flow_wide_node13node8_t2,0.0,9.0,I,node13node8,2,wide
flow_wide_node13node8_t3,0.0,9.0,I,node13node8,3,wide
flow_wide_node13node8_t4,0.0,9.0,I,node13node8,4,wide
flow_wide_node13node8_t5,0.0,9.0,I,node13node8,5,wide
flow_timber_node5node2_t1,0.0,9.0,I,node5node2,1,timber
flow_timber_node5node2_t2,0.0,9.0,I,node5node2,2,timber
flow_timber_node5node2_t3,0.0,9.0,I,node5node2,3,timber
flow_timber_node5node2_t4,0.0,9.0,I,node5node2,4,timber
flow_timber_node5node2_t5,0.0,9.0,I,node5node2,5,timber
flow_wide_node5node2_t1,0.0,9.0,I,node5node2,1,wide
flow_wide_node5node2_t2,0.0,9.0,I,node5node2,2,wide
flow_wide_node5node2_t3,0.0,9.0,I,node5node2,3,wide
flow_wide_node5node2_t4,0.0,9.0,I,node5node2,4,wide
flow_wide_node5node2_t5,0.0,9.0,I,node5node2,5,wide
flow_timber_node5node6_t1,0.0,9.0,I,node5node6,1,timber
flow_timber_node5node6_t2,0.0,9.0,I,node5node6,2,timber
flow_timber_node5node6_t3,0.0,9.0,I,node5node6,3,timber
flow_timber_node5node6_t4,0.0,9.0,I,node5node6,4,timber
flow_timber_node5node6_t5,0.0,9.0,I,node5node6,5,timber
flow_wide_node5node6_t1,0.0,9.0,I,node5node6,1,wide
flow_wide_node5node6_t2,0.0,9.0,I,node5node6,2,wide
flow_wide_node5node6_t3,0.0,9.0,I,node5node6,3,wide
flow_wide_node5node6_t4,0.0,9.0,I,node5node6,4,wide
flow_wide_node5node6_t5,0.0,9.0,I,node5node6,5,wide
flow_timber_node5node11_t1,0.0,9.0,I,node5node11,1,timber
flow_timber_node5node11_t2,0.0,9.0,I,node5node11,2,timber
flow_timber_node5node11_t3,0.0,9.0,I,node5node11,3,timber
flow_timber_node5node11_t4,0.0,9.0,I,node5node11,4,timber
flow_timber_node5node11_t5,0.0,9.0,I,node5node11,5,timber
flow_wide_node5node11_t1,0.0,9.0,I,node5node11,1,wide
flow_wide_node5node11_t2,0.0,9.0,I,node5node11,2,wide
flow_wide_node5node11_t3,0.0,9.0,I,node5node11,3,wide
flow_wide_node5node11_t4,0.0,9.0,I,node5node11,4,wide
flow_wide_node5node11_t5,0.0,9.0,I,node5node11,5,wide
flow_timber_node4node2_t1,0.0,9.0,I,node4node2,1,timber
flow_timber_node4node2_t2,0.0,9.0,I,node4node2,2,timber
flow_timber_node4node2_t3,0.0,9.0,I,node4node2,3,timber
flow_timber_node4node2_t4,0.0,9.0,I,node4node2,4,timber
flow_timber_node4node2_t5,0.0,9.0,I,node4node2,5,timber
flow_wide_node4node2_t1,0.0,9.0,I,node4node2,1,wide
flow_wide_node4node2_t2,0.0,9.0,I,node4node2,2,wide
flow_wide_node4node2_t3,0.0,9.0,I,node4node2,3,wide
flow_wide_node4node2_t4,0.0,9.0,I,node4node2,4,wide
flow_wide_node4node2_t5,0.0,9.0,I,node4node2,5,wide
flow_timber_node4node3_t1,0.0,9.0,I,node4node3,1,timber
flow_timber_node4node3_t2,0.0,9.0,I,node4node3,2,timber
flow_timber_node4node3_t3,0.0,9.0,I,node4node3,3,timber
flow_timber_node4node3_t4,0.0,9.0,I,node4node3,4,timber
flow_timber_node4node3_t5,0.0,9.0,I,node4node3,5,timber
flow_wide_node4node3_t1,0.0,9.0,I,node4node3,1,wide
flow_wide_node4node3_t2,0.0,9.0,I,node4node3,2,wide
flow_wide_node4node3_t3,0.0,9.0,I,node4node3,3,wide
flow_wide_node4node3_t4,0.0,9.0,I,node4node3,4,wide
flow_wide_node4node3_t5,0.0,9.0,I,node4node3,5,wide
flow_timber_node4node9_t1,0.0,9.0,I,node4node9,1,timber
flow_timber_node4node9_t2,0.0,9.0,I,node4node9,2,timber
flow_timber_node4node9_t3,0.0,9.0,I,node4node9,3,timber
flow_timber_node4node9_t4,0.0,9.0,I,node4node9,4,timber
flow_timber_node4node9_t5,0.0,9.0,I,node4node9,5,timber
flow_wide_node4node9_t1,0.0,9.0,I,node4node9,1,wide
flow_wide_node4node9_t2,0.0,9.0,I,node4node9,2,wide
flow_wide_node4node9_t3,0.0,9.0,I,node4node9,3,wide
flow_wide_node4node9_t4,0.0,9.0,I,node4node9,4,wide
flow_wide_node4node9_t5,0.0,9.0,I,node4node9,5,wide
flow_timber_node4node12_t1,0.0,9.0,I,node4node12,1,timber
flow_timber_node4node12_t2,0.0,9.0,I,node4node12,2,timber
flow_timber_node4node12_t3,0.0,9.0,I,node4node12,3,timber
flow_timber_node4node12_t4,0.0,9.0,I,node4node12,4,timber
flow_timber_node4node12_t5,0.0,9.0,I,node4node12,5,timber
flow_wide_node4node12_t1,0.0,9.0,I,node4node12,1,wide
flow_wide_node4node12_t2,0.0,9.0,I,node4node12,2,wide
flow_wide_node4node12_t3,0.0,9.0,I,node4node12,3,wide
flow_wide_node4node12_t4,0.0,9.0,I,node4node12,4,wide
flow_wide_node4node12_t5,0.0,9.0,I,node4node12,5,wide
flow_timber_node3node8_t1,0.0,9.0,I,node3node8,1,timber
flow_timber_node3node8_t2,0.0,9.0,I,node3node8,2,timber
flow_timber_node3node8_t3,0.0,9.0,I,node3node8,3,timber
flow_timber_node3node8_t4,0.0,9.0,I,node3node8,4,timber
flow_timber_node3node8_t5,0.0,9.0,I,node3node8,5,timber
flow_wide_node3node8_t1,0.0,9.0,I,node3node8,1,wide
flow_wide_node3node8_t2,0.0,9.0,I,node3node8,2,wide
