variable,coefficient,type,prefix,width,edge,period
C_node4node8_wide_t3,2156.78,B,C,wide,,3
C_node4node8_wide_t4,1528.98,B,C,wide,,4
C_node4node8_wide_t5,1083.92,B,C,wide,,5
C_node4node366_timber_t0,0.0,B,C,timber,,0
C_node4node366_timber_t1,0.0,B,C,timber,,1
C_node4node366_timber_t2,0.0,B,C,timber,,2
C_node4node366_timber_t3,0.0,B,C,timber,,3
C_node4node366_timber_t4,0.0,B,C,timber,,4
C_node4node366_timber_t5,0.0,B,C,timber,,5
C_node4node366_wide_t0,0.0,B,C,wide,,0
C_node4node366_wide_t1,0.0,B,C,wide,,1
C_node4node366_wide_t2,0.0,B,C,wide,,2
C_node4node366_wide_t3,0.0,B,C,wide,,3
C_node4node366_wide_t4,0.0,B,C,wide,,4
C_node4node366_wide_t5,0.0,B,C,wide,,5
C_node4node368_timber_t0,0.0,B,C,timber,,0
C_node4node368_timber_t1,0.0,B,C,timber,,1
C_node4node368_timber_t2,0.0,B,C,timber,,2
C_node4node368_timber_t3,0.0,B,C,timber,,3
C_node4node368_timber_t4,0.0,B,C,timber,,4
C_node4node368_timber_t5,0.0,B,C,timber,,5
C_node4node368_wide_t0,0.0,B,C,wide,,0
C_node4node368_wide_t1,0.0,B,C,wide,,1
C_node4node368_wide_t2,0.0,B,C,wide,,2
C_node4node368_wide_t3,0.0,B,C,wide,,3
C_node4node368_wide_t4,0.0,B,C,wide,,4
C_node4node368_wide_t5,0.0,B,C,wide,,5
C_node4node376_timber_t0,0.0,B,C,timber,,0
C_node4node376_timber_t1,0.0,B,C,timber,,1
C_node4node376_timber_t2,0.0,B,C,timber,,2
C_node4node376_timber_t3,0.0,B,C,timber,,3
C_node4node376_timber_t4,0.0,B,C,timber,,4
C_node4node376_timber_t5,0.0,B,C,timber,,5
C_node4node376_wide_t0,0.0,B,C,wide,,0
C_node4node376_wide_t1,0.0,B,C,wide,,1
C_node4node376_wide_t2,0.0,B,C,wide,,2
C_node4node376_wide_t3,0.0,B,C,wide,,3
C_node4node376_wide_t4,0.0,B,C,wide,,4
C_node4node376_wide_t5,0.0,B,C,wide,,5
C_node5node347_timber_t0,1298.0,B,C,timber,,0
C_node5node347_timber_t1,1092.88,B,C,timber,,1
C_node5node347_timber_t2,774.76,B,C,timber,,2
C_node5node347_timber_t3,549.24,B,C,timber,,3
C_node5node347_timber_t4,389.37,B,C,timber,,4
C_node5node347_timber_t5,276.03,B,C,timber,,5
C_node5node347_wide_t0,1946.0,B,C,wide,,0
C_node5node347_wide_t1,1638.48,B,C,wide,,1
C_node5node347_wide_t2,1161.55,B,C,wide,,2
C_node5node347_wide_t3,823.44,B,C,wide,,3
C_node5node347_wide_t4,583.75,B,C,wide,,4
C_node5node347_wide_t5,413.83,B,C,wide,,5
C_node5node176_timber_t0,1564.0,B,C,timber,,0
C_node5node176_timber_t1,1316.85,B,C,timber,,1
C_node5node176_timber_t2,933.54,B,C,timber,,2
C_node5node176_timber_t3,661.8,B,C,timber,,3
C_node5node176_timber_t4,469.16,B,C,timber,,4
C_node5node176_timber_t5,332.6,B,C,timber,,5
C_node5node176_wide_t0,2346.0,B,C,wide,,0
C_node5node176_wide_t1,1975.27,B,C,wide,,1
C_node5node176_wide_t2,1400.31,B,C,wide,,2
C_node5node176_wide_t3,992.7,B,C,wide,,3
C_node5node176_wide_t4,703.75,B,C,wide,,4
C_node5node176_wide_t5,498.9,B,C,wide,,5
C_node5node114_timber_t0,1225.0,B,C,timber,,0
C_node5node114_timber_t1,1031.42,B,C,timber,,1
C_node5node114_timber_t2,731.19,B,C,timber,,2
C_node5node114_timber_t3,518.36,B,C,timber,,3
C_node5node114_timber_t4,367.47,B,C,timber,,4
C_node5node114_timber_t5,260.51,B,C,timber,,5
C_node5node114_wide_t0,1838.0,B,C,wide,,0
C_node5node114_wide_t1,1547.55,B,C,wide,,1
C_node5node114_wide_t2,1097.08,B,C,wide,,2
C_node5node114_wide_t3,777.74,B,C,wide,,3
C_node5node114_wide_t4,551.36,B,C,wide,,4
C_node5node114_wide_t5,390.87,B,C,wide,,5
C_node5node436_timber_t0,0.0,B,C,timber,,0
C_node5node436_timber_t1,0.0,B,C,timber,,1
C_node5node436_timber_t2,0.0,B,C,timber,,2
C_node5node436_timber_t3,0.0,B,C,timber,,3
C_node5node436_timber_t4,0.0,B,C,timber,,4
C_node5node436_timber_t5,0.0,B,C,timber,,5
C_node5node436_wide_t0,0.0,B,C,wide,,0
C_node5node436_wide_t1,0.0,B,C,wide,,1
C_node5node436_wide_t2,0.0,B,C,wide,,2
C_node5node436_wide_t3,0.0,B,C,wide,,3
C_node5node436_wide_t4,0.0,B,C,wide,,4
C_node5node436_wide_t5,0.0,B,C,wide,,5
C_node5node438_timber_t0,0.0,B,C,timber,,0
C_node5node438_timber_t1,0.0,B,C,timber,,1
C_node5node438_timber_t2,0.0,B,C,timber,,2
C_node5node438_timber_t3,0.0,B,C,timber,,3
C_node5node438_timber_t4,0.0,B,C,timber,,4
C_node5node438_timber_t5,0.0,B,C,timber,,5
C_node5node438_wide_t0,0.0,B,C,wide,,0
C_node5node438_wide_t1,0.0,B,C,wide,,1
C_node5node438_wide_t2,0.0,B,C,wide,,2
C_node5node438_wide_t3,0.0,B,C,wide,,3
C_node5node438_wide_t4,0.0,B,C,wide,,4
C_node5node438_wide_t5,0.0,B,C,wide,,5
C_node5node439_timber_t0,0.0,B,C,timber,,0
C_node5node439_timber_t1,0.0,B,C,timber,,1
C_node5node439_timber_t2,0.0,B,C,timber,,2
C_node5node439_timber_t3,0.0,B,C,timber,,3
C_node5node439_timber_t4,0.0,B,C,timber,,4
C_node5node439_timber_t5,0.0,B,C,timber,,5
C_node5node439_wide_t0,0.0,B,C,wide,,0
C_node5node439_wide_t1,0.0,B,C,wide,,1
C_node5node439_wide_t2,0.0,B,C,wide,,2
C_node5node439_wide_t3,0.0,B,C,wide,,3
C_node5node439_wide_t4,0.0,B,C,wide,,4
C_node5node439_wide_t5,0.0,B,C,wide,,5
C_node6node92_timber_t0,431.0,B,C,timber,,0
C_node6node92_timber_t1,362.89,B,C,timber,,1
C_node6node92_timber_t2,257.26,B,C,timber,,2
C_node6node92_timber_t3,182.38,B,C,timber,,3
C_node6node92_timber_t4,129.29,B,C,timber,,4
C_node6node92_timber_t5,91.66,B,C,timber,,5
C_node6node92_wide_t0,646.0,B,C,wide,,0
C_node6node92_wide_t1,543.91,B,C,wide,,1
C_node6node92_wide_t2,385.59,B,C,wide,,2
C_node6node92_wide_t3,273.35,B,C,wide,,3
C_node6node92_wide_t4,193.79,B,C,wide,,4
C_node6node92_wide_t5,137.38,B,C,wide,,5
C_node6node36_timber_t0,2501.0,B,C,timber,,0
C_node6node36_timber_t1,2105.77,B,C,timber,,1
C_node6node36_timber_t2,1492.82,B,C,timber,,2
C_node6node36_timber_t3,1058.29,B,C,timber,,3
C_node6node36_timber_t4,750.24,B,C,timber,,4
C_node6node36_timber_t5,531.86,B,C,timber,,5
C_node6node36_wide_t0,3750.0,B,C,wide,,0
C_node6node36_wide_t1,3157.4,B,C,wide,,1
C_node6node36_wide_t2,2238.34,B,C,wide,,2
C_node6node36_wide_t3,1586.8,B,C,wide,,3
C_node6node36_wide_t4,1124.91,B,C,wide,,4
C_node6node36_wide_t5,797.47,B,C,wide,,5
C_node6node247_timber_t0,2217.0,B,C,timber,,0
C_node6node247_timber_t1,1866.65,B,C,timber,,1
C_node6node247_timber_t2,1323.31,B,C,timber,,2
C_node6node247_timber_t3,938.12,B,C,timber,,3
C_node6node247_timber_t4,665.05,B,C,timber,,4
C_node6node247_timber_t5,471.47,B,C,timber,,5
C_node6node247_wide_t0,3326.0,B,C,wide,,0
C_node6node247_wide_t1,2800.4,B,C,wide,,1
C_node6node247_wide_t2,1985.26,B,C,wide,,2
C_node6node247_wide_t3,1407.39,B,C,wide,,3
C_node6node247_wide_t4,997.72,B,C,wide,,4
C_node6node247_wide_t5,707.3,B,C,wide,,5
C_node6node359_timber_t0,0.0,B,C,timber,,0
C_node6node359_timber_t1,0.0,B,C,timber,,1
C_node6node359_timber_t2,0.0,B,C,timber,,2
C_node6node359_timber_t3,0.0,B,C,timber,,3
C_node6node359_timber_t4,0.0,B,C,timber,,4
C_node6node359_timber_t5,0.0,B,C,timber,,5
C_node6node359_wide_t0,0.0,B,C,wide,,0
C_node6node359_wide_t1,0.0,B,C,wide,,1
C_node6node359_wide_t2,0.0,B,C,wide,,2
C_node6node359_wide_t3,0.0,B,C,wide,,3
C_node6node359_wide_t4,0.0,B,C,wide,,4
C_node6node359_wide_t5,0.0,B,C,wide,,5
C_node6node360_timber_t0,0.0,B,C,timber,,0
C_node6node360_timber_t1,0.0,B,C,timber,,1
C_node6node360_timber_t2,0.0,B,C,timber,,2
C_node6node360_timber_t3,0.0,B,C,timber,,3
C_node6node360_timber_t4,0.0,B,C,timber,,4
C_node6node360_timber_t5,0.0,B,C,timber,,5
C_node6node360_wide_t0,0.0,B,C,wide,,0
C_node6node360_wide_t1,0.0,B,C,wide,,1
C_node6node360_wide_t2,0.0,B,C,wide,,2
C_node6node360_wide_t3,0.0,B,C,wide,,3
C_node6node360_wide_t4,0.0,B,C,wide,,4
C_node6node360_wide_t5,0.0,B,C,wide,,5
C_node7node256_timber_t0,173.0,B,C,timber,,0
C_node7node256_timber_t1,145.66,B,C,timber,,1
C_node7node256_timber_t2,103.26,B,C,timber,,2
C_node7node256_timber_t3,73.2,B,C,timber,,3
C_node7node256_timber_t4,51.9,B,C,timber,,4
C_node7node256_timber_t5,36.79,B,C,timber,,5
C_node7node256_wide_t0,259.0,B,C,wide,,0
C_node7node256_wide_t1,218.07,B,C,wide,,1
C_node7node256_wide_t2,154.59,B,C,wide,,2
C_node7node256_wide_t3,109.6,B,C,wide,,3
C_node7node256_wide_t4,77.69,B,C,wide,,4
C_node7node256_wide_t5,55.08,B,C,wide,,5
C_node7node257_timber_t0,542.0,B,C,timber,,0
C_node7node257_timber_t1,456.35,B,C,timber,,1
C_node7node257_timber_t2,323.51,B,C,timber,,2
C_node7node257_timber_t3,229.35,B,C,timber,,3
C_node7node257_timber_t4,162.59,B,C,timber,,4
C_node7node257_timber_t5,115.26,B,C,timber,,5
C_node7node257_wide_t0,813.0,B,C,wide,,0
C_node7node257_wide_t1,684.52,B,C,wide,,1
C_node7node257_wide_t2,485.27,B,C,wide,,2
C_node7node257_wide_t3,344.02,B,C,wide,,3
C_node7node257_wide_t4,243.88,B,C,wide,,4
C_node7node257_wide_t5,172.89,B,C,wide,,5
C_node7node122_timber_t0,2409.0,B,C,timber,,0
C_node7node122_timber_t1,2028.31,B,C,timber,,1
C_node7node122_timber_t2,1437.91,B,C,timber,,2
C_node7node122_timber_t3,1019.36,B,C,timber,,3
C_node7node122_timber_t4,722.64,B,C,timber,,4
C_node7node122_timber_t5,512.3,B,C,timber,,5
C_node7node122_wide_t0,3613.0,B,C,wide,,0
C_node7node122_wide_t1,3042.05,B,C,wide,,1
C_node7node122_wide_t2,2156.57,B,C,wide,,2
C_node7node122_wide_t3,1528.83,B,C,wide,,3
C_node7node122_wide_t4,1083.82,B,C,wide,,4
C_node7node122_wide_t5,768.34,B,C,wide,,5
C_node7node356_timber_t0,0.0,B,C,timber,,0
C_node7node356_timber_t1,0.0,B,C,timber,,1
C_node7node356_timber_t2,0.0,B,C,timber,,2
C_node7node356_timber_t3,0.0,B,C,timber,,3
C_node7node356_timber_t4,0.0,B,C,timber,,4
C_node7node356_timber_t5,0.0,B,C,timber,,5
C_node7node356_wide_t0,0.0,B,C,wide,,0
C_node7node356_wide_t1,0.0,B,C,wide,,1
C_node7node356_wide_t2,0.0,B,C,wide,,2
C_node7node356_wide_t3,0.0,B,C,wide,,3
C_node7node356_wide_t4,0.0,B,C,wide,,4
C_node7node356_wide_t5,0.0,B,C,wide,,5
C_node7node357_timber_t0,0.0,B,C,timber,,0
C_node7node357_timber_t1,0.0,B,C,timber,,1
C_node7node357_timber_t2,0.0,B,C,timber,,2
C_node7node357_timber_t3,0.0,B,C,timber,,3
C_node7node357_timber_t4,0.0,B,C,timber,,4
C_node7node357_timber_t5,0.0,B,C,timber,,5
C_node7node357_wide_t0,0.0,B,C,wide,,0
C_node7node357_wide_t1,0.0,B,C,wide,,1
C_node7node357_wide_t2,0.0,B,C,wide,,2
C_node7node357_wide_t3,0.0,B,C,wide,,3
C_node7node357_wide_t4,0.0,B,C,wide,,4
C_node7node357_wide_t5,0.0,B,C,wide,,5
C_node7node375_timber_t0,0.0,B,C,timber,,0
C_node7node375_timber_t1,0.0,B,C,timber,,1
C_node7node375_timber_t2,0.0,B,C,timber,,2
C_node7node375_timber_t3,0.0,B,C,timber,,3
C_node7node375_timber_t4,0.0,B,C,timber,,4
C_node7node375_timber_t5,0.0,B,C,timber,,5
C_node7node375_wide_t0,0.0,B,C,wide,,0
C_node7node375_wide_t1,0.0,B,C,wide,,1
C_node7node375_wide_t2,0.0,B,C,wide,,2
C_node7node375_wide_t3,0.0,B,C,wide,,3
C_node7node375_wide_t4,0.0,B,C,wide,,4
C_node7node375_wide_t5,0.0,B,C,wide,,5
C_node8node134_timber_t0,357.0,B,C,timber,,0
C_node8node134_timber_t1,300.58,B,C,timber,,1
C_node8node134_timber_t2,213.09,B,C,timber,,2
C_node8node134_timber_t3,151.06,B,C,timber,,3
C_node8node134_timber_t4,107.09,B,C,timber,,4
C_node8node134_timber_t5,75.92,B,C,timber,,5
C_node8node134_wide_t0,536.0,B,C,wide,,0
C_node8node134_wide_t1,451.3,B,C,wide,,1
C_node8node134_wide_t2,319.93,B,C,wide,,2
C_node8node134_wide_t3,226.81,B,C,wide,,3
C_node8node134_wide_t4,160.79,B,C,wide,,4
C_node8node134_wide_t5,113.99,B,C,wide,,5
C_node8node366_timber_t0,0.0,B,C,timber,,0
C_node8node366_timber_t1,0.0,B,C,timber,,1
C_node8node366_timber_t2,0.0,B,C,timber,,2
C_node8node366_timber_t3,0.0,B,C,timber,,3
C_node8node366_timber_t4,0.0,B,C,timber,,4
C_node8node366_timber_t5,0.0,B,C,timber,,5
C_node8node366_wide_t0,0.0,B,C,wide,,0
C_node8node366_wide_t1,0.0,B,C,wide,,1
C_node8node366_wide_t2,0.0,B,C,wide,,2
C_node8node366_wide_t3,0.0,B,C,wide,,3
C_node8node366_wide_t4,0.0,B,C,wide,,4
C_node8node366_wide_t5,0.0,B,C,wide,,5
C_node8node368_timber_t0,0.0,B,C,timber,,0
C_node8node368_timber_t1,0.0,B,C,timber,,1
C_node8node368_timber_t2,0.0,B,C,timber,,2
C_node8node368_timber_t3,0.0,B,C,timber,,3
C_node8node368_timber_t4,0.0,B,C,timber,,4
C_node8node368_timber_t5,0.0,B,C,timber,,5
C_node8node368_wide_t0,0.0,B,C,wide,,0
C_node8node368_wide_t1,0.0,B,C,wide,,1
C_node8node368_wide_t2,0.0,B,C,wide,,2
C_node8node368_wide_t3,0.0,B,C,wide,,3
C_node8node368_wide_t4,0.0,B,C,wide,,4
C_node8node368_wide_t5,0.0,B,C,wide,,5
C_node9node134_timber_t0,296.0,B,C,timber,,0
C_node9node134_timber_t1,249.22,B,C,timber,,1
C_node9node134_timber_t2,176.68,B,C,timber,,2
C_node9node134_timber_t3,125.25,B,C,timber,,3
C_node9node134_timber_t4,88.79,B,C,timber,,4
C_node9node134_timber_t5,62.95,B,C,timber,,5
C_node9node134_wide_t0,444.0,B,C,wide,,0
C_node9node134_wide_t1,373.84,B,C,wide,,1
C_node9node134_wide_t2,265.02,B,C,wide,,2
C_node9node134_wide_t3,187.88,B,C,wide,,3
C_node9node134_wide_t4,133.19,B,C,wide,,4
C_node9node134_wide_t5,94.42,B,C,wide,,5
C_node9node138_timber_t0,280.0,B,C,timber,,0
C_node9node138_timber_t1,235.75,B,C,timber,,1
C_node9node138_timber_t2,167.13,B,C,timber,,2
C_node9node138_timber_t3,118.48,B,C,timber,,3
C_node9node138_timber_t4,83.99,B,C,timber,,4
C_node9node138_timber_t5,59.54,B,C,timber,,5
C_node9node138_wide_t0,420.0,B,C,wide,,0
C_node9node138_wide_t1,353.63,B,C,wide,,1
