"Source(x,y)","Target(x,y)"
"(-10409.86108, 146061.03541)","(-10328.465, 146251.40691)"
"(-11314.48788, 145345.86911)","(-11294.04205, 145347.91487)"
"(-11314.48788, 145345.86911)","(-11285.94848, 145413.02391)"
"(-11314.48788, 145345.86911)","(-11298.50872, 145094.28111)"
"(-11314.48788, 145345.86911)","(-10875.67833, 145439.00808)"
"(-12580.68998, 146607.75611)","(-12451.77348, 146591.56311)"
"(-12580.68998, 146607.75611)","(-12573.93998, 146944.30511)"
"(-12580.68998, 146607.75611)","(-12419.48714, 146353.17934)"
"(-12580.68998, 146607.75611)","(-12416.58816, 146754.19929)"
"(-9651.78088, 144199.77851)","(-9573.00478, 144160.25261)"
"(-9651.78088, 144199.77851)","(-9500.51238, 144325.26181)"
"(-9651.78088, 144199.77851)","(-10058.69998, 144302.12911)"
"(-9651.78088, 144199.77851)","(-9766.36384, 144289.1142)"
"(-9651.78088, 144199.77851)","(-9463.35979, 144425.66771)"
"(-9241.01268, 144955.70501)","(-9376.72258, 144958.59151)"
"(-9241.01268, 144955.70501)","(-9408.62338, 145108.06648)"
"(-9241.01268, 144955.70501)","(-9646.78687, 144926.12803)"
"(-9706.21588, 145201.02551)","(-9682.96018, 145287.91201)"
"(-9706.21588, 145201.02551)","(-9390.00386, 144974.15454)"
"(-9706.21588, 145201.02551)","(-9832.74258, 145029.71041)"
"(-9706.21588, 145201.02551)","(-9408.62338, 145108.06648)"
"(-9706.21588, 145201.02551)","(-9646.78687, 144926.12803)"
"(-11701.81518, 146963.95881)","(-11829.82084, 146875.34896)"
"(-11701.81518, 146963.95881)","(-11781.58465, 147066.21703)"
"(-11701.81518, 146963.95881)","(-11832.54596, 147082.78683)"
"(-10973.55168, 145177.73511)","(-10930.14798, 145204.05181)"
"(-10973.55168, 145177.73511)","(-11353.8676, 145202.0916)"
"(-10973.55168, 145177.73511)","(-11274.31335, 144903.57648)"
"(-10973.55168, 145177.73511)","(-11298.50872, 145094.28111)"
"(-10973.55168, 145177.73511)","(-11175.37279, 145212.95609)"
"(-10973.55168, 145177.73511)","(-10899.29296, 145033.64337)"
"(-10309.34908, 146023.00721)","(-10273.18688, 146008.23321)"
"(-10309.34908, 146023.00721)","(-10366.09948, 146045.01991)"
"(-10309.34908, 146023.00721)","(-10331.23819, 145903.50593)"
"(-10309.34908, 146023.00721)","(-10410.88306, 145946.54057)"
"(-10309.34908, 146023.00721)","(-10328.465, 146251.40691)"
"(-11279.64678, 144317.65751)","(-11298.81805, 144346.94946)"
"(-11279.64678, 144317.65751)","(-11345.44256, 144244.06245)"
"(-11279.64678, 144317.65751)","(-11051.44306, 144481.72032)"
"(-11279.64678, 144317.65751)","(-11262.38902, 144249.96448)"
"(-11279.64678, 144317.65751)","(-11413.82977, 144285.92566)"
"(-11279.64678, 144317.65751)","(-11527.59886, 144721.10856)"
"(-12404.28668, 145555.55021)","(-12464.88198, 145610.27421)"
"(-12404.28668, 145555.55021)","(-12266.05088, 145592.35111)"
"(-12404.28668, 145555.55021)","(-12318.6526, 145359.61718)"
"(-12404.28668, 145555.55021)","(-12067.13219, 145394.48957)"
"(-12404.28668, 145555.55021)","(-12388.25839, 145781.0902)"
"(-9686.91908, 144778.42451)","(-9674.56938, 144595.59931)"
"(-9686.91908, 144778.42451)","(-9467.41438, 144774.25241)"
"(-9686.91908, 144778.42451)","(-10096.21758, 144857.05771)"
"(-9686.91908, 144778.42451)","(-10038.91817, 144696.09826)"
"(-9686.91908, 144778.42451)","(-9512.44177, 144683.68193)"
"(-9686.91908, 144778.42451)","(-9646.78687, 144926.12803)"
"(-12126.29698, 145154.53001)","(-11842.71668, 145304.14611)"
"(-12126.29698, 145154.53001)","(-12226.24183, 145268.4027)"
"(-12126.29698, 145154.53001)","(-11935.33564, 145084.54367)"
"(-12126.29698, 145154.53001)","(-12067.13219, 145394.48957)"
"(-11013.14958, 146261.14121)","(-11019.35018, 146283.05711)"
"(-11013.14958, 146261.14121)","(-11051.24968, 146283.05717)"
"(-11013.14958, 146261.14121)","(-11053.83413, 146220.76902)"
"(-12056.15258, 145620.82851)","(-12204.43494, 145535.89745)"
"(-12056.15258, 145620.82851)","(-11956.11228, 145598.48942)"
"(-12056.15258, 145620.82851)","(-11911.82328, 145716.01351)"
"(-12056.15258, 145620.82851)","(-12067.13219, 145394.48957)"
"(-12056.15258, 145620.82851)","(-11692.20506, 145637.19507)"
"(-12056.15258, 145620.82851)","(-11418.6453, 145807.50002)"
"(-10001.33388, 145572.81591)","(-9978.05058, 145605.62441)"
"(-10001.33388, 145572.81591)","(-10006.62558, 145444.75741)"
"(-10001.33388, 145572.81591)","(-9548.31546, 145415.4506)"
"(-10001.33388, 145572.81591)","(-10279.87739, 145598.76698)"
"(-10319.20618, 145145.05011)","(-10240.41981, 145208.32364)"
"(-10319.20618, 145145.05011)","(-10171.96168, 145155.81475)"
"(-10319.20618, 145145.05011)","(-10433.51815, 145216.22844)"
"(-9861.69428, 145345.43311)","(-9682.96018, 145287.91201)"
"(-9861.69428, 145345.43311)","(-9981.22558, 145423.59061)"
"(-9861.69428, 145345.43311)","(-9548.31546, 145415.4506)"
"(-9861.69428, 145345.43311)","(-10171.96168, 145155.81475)"
"(-12425.26918, 146572.02501)","(-12451.77348, 146591.56311)"
"(-12425.26918, 146572.02501)","(-12306.4491, 146483.83352)"
"(-12425.26918, 146572.02501)","(-12203.62278, 146868.49841)"
