"Source(x,y)","Target(x,y)"
"(-9832.74258, 145029.71041)","(-10013.21378, 145209.41001)"
"(-9832.74258, 145029.71041)","(-9241.01268, 144955.70501)"
"(-9832.74258, 145029.71041)","(-10092.28536, 144992.41853)"
"(-10096.21758, 144857.05771)","(-9832.74258, 145029.71041)"
"(-10096.21758, 144857.05771)","(-10356.64758, 144859.65951)"
"(-10096.21758, 144857.05771)","(-9686.91908, 144778.42451)"
"(-10096.21758, 144857.05771)","(-10038.91817, 144696.09826)"
"(-10096.21758, 144857.05771)","(-10092.28536, 144992.41853)"
"(-10013.21378, 145209.41001)","(-9832.74258, 145029.71041)"
"(-10013.21378, 145209.41001)","(-10422.21398, 144868.81691)"
"(-10013.21378, 145209.41001)","(-9861.69428, 145345.43311)"
"(-10013.21378, 145209.41001)","(-10092.28536, 144992.41853)"
"(-10013.21378, 145209.41001)","(-10171.96168, 145155.81475)"
"(-9241.01268, 144955.70501)","(-9832.74258, 145029.71041)"
"(-9241.01268, 144955.70501)","(-9339.80264, 144803.80286)"
"(-10092.28536, 144992.41853)","(-9832.74258, 145029.71041)"
"(-10092.28536, 144992.41853)","(-10422.21398, 144868.81691)"
"(-10092.28536, 144992.41853)","(-10013.21378, 145209.41001)"
"(-10092.28536, 144992.41853)","(-10096.21758, 144857.05771)"
"(-10092.28536, 144992.41853)","(-10356.64758, 144859.65951)"
"(-10273.18688, 146008.23321)","(-10309.34908, 146023.00721)"
"(-10273.18688, 146008.23321)","(-10000.51986, 146251.47094)"
"(-10273.18688, 146008.23321)","(-10392.90648, 145719.00931)"
"(-10309.34908, 146023.00721)","(-10273.18688, 146008.23321)"
"(-10309.34908, 146023.00721)","(-10443.39408, 145860.44101)"
"(-10309.34908, 146023.00721)","(-10366.09948, 146045.01991)"
"(-10309.34908, 146023.00721)","(-10410.88307, 145946.54058)"
"(-10000.51986, 146251.47094)","(-10273.18688, 146008.23321)"
"(-10000.51986, 146251.47094)","(-9927.71538, 146363.58361)"
"(-10392.90648, 145719.00931)","(-10273.18688, 146008.23321)"
"(-10392.90648, 145719.00931)","(-10443.39408, 145860.44101)"
"(-10392.90648, 145719.00931)","(-10540.80828, 145570.98241)"
"(-10392.90648, 145719.00931)","(-9989.59174, 145621.69654)"
"(-10422.21398, 144868.81691)","(-10356.64758, 144859.65951)"
"(-10422.21398, 144868.81691)","(-10474.81838, 144921.17101)"
"(-10422.21398, 144868.81691)","(-10099.59488, 145303.55751)"
"(-10422.21398, 144868.81691)","(-10013.21378, 145209.41001)"
"(-10422.21398, 144868.81691)","(-10691.85715, 144728.22114)"
"(-10422.21398, 144868.81691)","(-10433.51815, 145216.22844)"
"(-10422.21398, 144868.81691)","(-10092.28536, 144992.41853)"
"(-10422.21398, 144868.81691)","(-10171.96168, 145155.81475)"
"(-10356.64758, 144859.65951)","(-10422.21398, 144868.81691)"
"(-10356.64758, 144859.65951)","(-10096.21758, 144857.05771)"
"(-10356.64758, 144859.65951)","(-10346.78668, 144660.43371)"
"(-10356.64758, 144859.65951)","(-10691.85715, 144728.22114)"
"(-10356.64758, 144859.65951)","(-10038.91817, 144696.09826)"
"(-10356.64758, 144859.65951)","(-10092.28536, 144992.41853)"
"(-10474.81838, 144921.17101)","(-10422.21398, 144868.81691)"
"(-10474.81838, 144921.17101)","(-10931.42588, 144772.14521)"
"(-10474.81838, 144921.17101)","(-10643.00188, 145112.35371)"
"(-10474.81838, 144921.17101)","(-10706.98024, 144921.79794)"
"(-10474.81838, 144921.17101)","(-10691.85715, 144728.22114)"
"(-10474.81838, 144921.17101)","(-10433.51815, 145216.22844)"
"(-10099.59488, 145303.55751)","(-10422.21398, 144868.81691)"
"(-10099.59488, 145303.55751)","(-10508.17068, 145469.67671)"
"(-10099.59488, 145303.55751)","(-9981.22558, 145423.59061)"
"(-10099.59488, 145303.55751)","(-10433.51815, 145216.22844)"
"(-10099.59488, 145303.55751)","(-10171.96168, 145155.81475)"
"(-10691.85715, 144728.22114)","(-10422.21398, 144868.81691)"
"(-10691.85715, 144728.22114)","(-10474.81838, 144921.17101)"
"(-10691.85715, 144728.22114)","(-10931.42588, 144772.14521)"
"(-10691.85715, 144728.22114)","(-10989.83068, 144664.08681)"
"(-10691.85715, 144728.22114)","(-10820.93418, 144562.38671)"
"(-10691.85715, 144728.22114)","(-10356.64758, 144859.65951)"
"(-10691.85715, 144728.22114)","(-10346.78668, 144660.43371)"
"(-10433.51815, 145216.22844)","(-10422.21398, 144868.81691)"
"(-10433.51815, 145216.22844)","(-10508.17068, 145469.67671)"
"(-10433.51815, 145216.22844)","(-10474.81838, 144921.17101)"
"(-10433.51815, 145216.22844)","(-10586.47098, 145430.04251)"
"(-10433.51815, 145216.22844)","(-10643.00188, 145112.35371)"
"(-10433.51815, 145216.22844)","(-10099.59488, 145303.55751)"
"(-10433.51815, 145216.22844)","(-10572.27948, 145306.64461)"
"(-10171.96168, 145155.81475)","(-10422.21398, 144868.81691)"
"(-10171.96168, 145155.81475)","(-10013.21378, 145209.41001)"
"(-10171.96168, 145155.81475)","(-10099.59488, 145303.55751)"
"(-10171.96168, 145155.81475)","(-9861.69428, 145345.43311)"
"(-10171.96168, 145155.81475)","(-9981.22558, 145423.59061)"
"(-11445.56428, 144561.99741)","(-11360.44038, 144863.96811)"
"(-11445.56428, 144561.99741)","(-11076.49878, 144696.99751)"
"(-11360.44038, 144863.96811)","(-11445.56428, 144561.99741)"
"(-11360.44038, 144863.96811)","(-11076.49878, 144696.99751)"
"(-11360.44038, 144863.96811)","(-10973.55168, 145177.73511)"
"(-11360.44038, 144863.96811)","(-11474.53728, 145036.98431)"
"(-11360.44038, 144863.96811)","(-11298.50872, 145094.28111)"
"(-11360.44038, 144863.96811)","(-10899.29296, 145033.64337)"
"(-11076.49878, 144696.99751)","(-11445.56428, 144561.99741)"
"(-11076.49878, 144696.99751)","(-10989.83068, 144664.08681)"
"(-11076.49878, 144696.99751)","(-11360.44038, 144863.96811)"
"(-11076.49878, 144696.99751)","(-10899.29296, 145033.64337)"
