"Node1(x,y)","Node2(x,y)"
"(-12460.81378, 146096.66401)","(-12470.54088, 146156.54001)"
"(-12460.81378, 146096.66401)","(-12487.36392, 146087.27366)"
"(-12460.81378, 146096.66401)","(-12188.21993, 146109.72315)"
"(-10540.80828, 145570.98241)","(-10441.67454, 145539.26826)"
"(-10540.80828, 145570.98241)","(-10392.90648, 145719.00931)"
"(-10540.80828, 145570.98241)","(-10717.38045, 145541.53695)"
"(-9939.95048, 145616.20771)","(-9921.70364, 145669.30352)"
"(-11631.18218, 147630.20151)","(-11915.1548, 147459.44344)"
"(-11631.18218, 147630.20151)","(-11514.13248, 147464.64091)"
"(-11734.65228, 145366.77121)","(-11479.27611, 145482.62956)"
"(-11734.65228, 145366.77121)","(-11842.71668, 145304.14611)"
"(-11734.65228, 145366.77121)","(-11757.61972, 145460.1864)"
"(-11657.10278, 146836.53971)","(-12020.80848, 146775.19261)"
"(-11657.10278, 146836.53971)","(-11598.27358, 146889.62002)"
"(-10804.38598, 146592.14491)","(-11076.1594, 146951.55747)"
"(-11660.15818, 145199.22361)","(-11842.71668, 145304.14611)"
"(-11660.15818, 145199.22361)","(-11474.53728, 145036.98431)"
"(-10356.64758, 144859.65951)","(-10346.78668, 144660.43371)"
"(-10356.64758, 144859.65951)","(-10096.21758, 144857.05771)"
"(-11019.35018, 146283.05711)","(-11034.00928, 146314.14501)"
"(-12020.80848, 146775.19261)","(-11829.82084, 146875.34896)"
"(-11345.52318, 145931.44721)","(-11498.47148, 146267.03401)"
"(-11652.93558, 144066.29101)","(-12377.49558, 143982.26871)"
"(-11652.93558, 144066.29101)","(-11567.18588, 144257.36441)"
"(-9890.19048, 145757.38021)","(-9668.512, 145677.10047)"
"(-9890.19048, 145757.38021)","(-9921.70364, 145669.30352)"
"(-12470.54088, 146156.54001)","(-12492.603, 146154.41865)"
"(-11764.38298, 145468.79421)","(-11757.61972, 145460.1864)"
"(-11764.38298, 145468.79421)","(-11830.45358, 145469.76332)"
"(-11113.98768, 145696.53051)","(-11232.29108, 145705.63053)"
"(-11113.98768, 145696.53051)","(-10838.69651, 145712.00987)"
"(-10294.59148, 144601.68321)","(-10346.78668, 144660.43371)"
"(-10294.59148, 144601.68321)","(-10373.22795, 144597.34741)"
"(-10294.59148, 144601.68321)","(-9721.09488, 144536.77931)"
"(-12349.72418, 144439.11641)","(-12315.38198, 144468.37391)"
"(-12349.72418, 144439.11641)","(-12126.48468, 144569.94141)"
"(-12349.72418, 144439.11641)","(-12377.49558, 143982.26871)"
"(-10627.12218, 146132.03631)","(-10600.05419, 146118.42648)"
"(-10627.12218, 146132.03631)","(-10638.39162, 146125.22657)"
"(-10273.18688, 146008.23321)","(-10283.24258, 146051.18691)"
"(-10273.18688, 146008.23321)","(-10367.96973, 145751.61771)"
"(-11263.25238, 145350.99561)","(-11294.04205, 145347.91487)"
"(-11263.25238, 145350.99561)","(-11241.84149, 145346.14847)"
"(-10458.37578, 145856.31011)","(-10522.91078, 145861.60871)"
"(-10458.37578, 145856.31011)","(-10632.71323, 145779.38404)"
"(-10474.81838, 144921.17101)","(-10536.39665, 144988.45603)"
"(-9189.81098, 145140.27701)","(-9273.47336, 145165.18738)"
"(-10600.05419, 146118.42648)","(-10536.25397, 146086.34763)"
"(-10600.05419, 146118.42648)","(-10638.39162, 146125.22657)"
"(-10339.73058, 144215.51711)","(-10058.69998, 144302.12911)"
"(-9936.64878, 146330.41641)","(-9927.71538, 146363.58361)"
"(-9936.64878, 146330.41641)","(-10000.51986, 146251.47094)"
"(-9927.71538, 146363.58361)","(-9988.06853, 146375.41721)"
"(-9927.71538, 146363.58361)","(-9932.81588, 146541.95831)"
"(-11010.83498, 144515.51401)","(-11000.49588, 144453.43731)"
"(-11010.83498, 144515.51401)","(-11051.44306, 144481.72032)"
"(-11010.83498, 144515.51401)","(-10920.07257, 144533.31419)"
"(-11766.11108, 146178.79121)","(-11787.61178, 146176.79402)"
"(-11766.11108, 146178.79121)","(-11668.69188, 146318.24681)"
"(-9674.56938, 144595.59931)","(-9721.09488, 144536.77931)"
"(-9674.56938, 144595.59931)","(-9305.40998, 144657.12641)"
"(-10643.00188, 145112.35371)","(-10572.27948, 145306.64461)"
"(-10643.00188, 145112.35371)","(-10866.23208, 144968.77101)"
"(-10643.00188, 145112.35371)","(-10536.39665, 144988.45603)"
"(-11567.18588, 144257.36441)","(-11345.44256, 144244.06245)"
"(-11113.07018, 146571.39151)","(-11034.00928, 146314.14501)"
"(-10463.28508, 146061.25081)","(-10536.25397, 146086.34763)"
"(-10096.21758, 144857.05771)","(-9945.05923, 144940.80891)"
"(-11670.20168, 147337.89651)","(-11666.33808, 147348.19052)"
"(-11670.20168, 147337.89651)","(-11774.10648, 147351.59401)"
"(-11911.82328, 145716.01351)","(-11397.17876, 145728.26972)"
"(-12150.32018, 146106.93491)","(-12157.26545, 146117.35794)"
"(-12150.32018, 146106.93491)","(-12164.98961, 146108.01412)"
"(-10989.83068, 144664.08681)","(-11076.49878, 144696.99751)"
"(-10989.83068, 144664.08681)","(-10820.93418, 144562.38671)"
"(-11530.46478, 146304.00601)","(-11511.51977, 146282.11283)"
"(-11076.49878, 144696.99751)","(-11212.70112, 144513.24222)"
"(-11781.45528, 146357.98461)","(-12168.82397, 146250.13035)"
"(-11781.45528, 146357.98461)","(-11848.46738, 146406.31591)"
"(-11322.38808, 145684.27591)","(-11324.91898, 145686.34871)"
"(-11322.38808, 145684.27591)","(-11232.29108, 145705.63053)"
"(-11285.94848, 145413.02391)","(-10717.38045, 145541.53695)"
"(-11285.94848, 145413.02391)","(-11328.82617, 145416.5736)"
"(-11498.47148, 146267.03401)","(-11511.51977, 146282.11283)"
"(-11498.47148, 146267.03401)","(-11426.15818, 146296.00823)"
"(-11147.67338, 146279.08841)","(-11199.2228, 146286.69589)"
"(-12236.01448, 146458.80881)","(-12265.70579, 146469.35783)"
"(-12236.01448, 146458.80881)","(-12157.26545, 146117.35794)"
"(-12236.01448, 146458.80881)","(-12245.41252, 146523.94896)"
"(-9437.22218, 144335.59211)","(-9500.51238, 144325.26181)"
"(-9437.22218, 144335.59211)","(-9386.8612, 144390.59263)"
"(-10820.93418, 144562.38671)","(-10866.58898, 144554.29691)"
"(-10820.93418, 144562.38671)","(-10815.39788, 144550.04898)"
"(-10820.93418, 144562.38671)","(-10346.78668, 144660.43371)"
"(-9976.58998, 146666.29741)","(-9932.81588, 146541.95831)"
"(-9976.58998, 146666.29741)","(-10058.28294, 146752.22657)"
"(-10559.87008, 145862.92891)","(-10522.91078, 145861.60871)"
"(-10559.87008, 145862.92891)","(-10415.02377, 146051.40539)"
"(-9376.72258, 144958.59151)","(-9390.00386, 144974.15454)"
"(-11316.50428, 145274.02721)","(-11291.89646, 145284.32538)"
"(-11316.50428, 145274.02721)","(-11336.83577, 145259.06607)"
"(-9305.40998, 144657.12641)","(-9317.162, 144671.37363)"
"(-12126.48468, 144569.94141)","(-11745.20313, 144967.58487)"
"(-12126.48468, 144569.94141)","(-12315.38198, 144468.37391)"
"(-11324.91898, 145686.34871)","(-11397.17876, 145728.26972)"
"(-10522.91078, 145861.60871)","(-10366.09948, 146045.01991)"
"(-10727.11168, 145383.44001)","(-10936.17132, 145338.84818)"
"(-10866.58898, 144554.29691)","(-10920.07257, 144533.31419)"
"(-9832.74258, 145029.71041)","(-9945.05923, 144940.80891)"
"(-11445.56428, 144561.99741)","(-11212.70112, 144513.24222)"
"(-10508.17068, 145469.67671)","(-10421.15038, 145524.38761)"
"(-12464.88198, 145610.27421)","(-12618.47018, 145830.80591)"
"(-10110.76588, 145679.59661)","(-9989.59175, 145621.69655)"
"(-10110.76588, 145679.59661)","(-10392.90648, 145719.00931)"
"(-11529.38348, 147400.07031)","(-11514.13248, 147464.64091)"
"(-11529.38348, 147400.07031)","(-11793.94458, 147077.22441)"
"(-11000.49588, 144453.43731)","(-10996.05097, 144429.79117)"
"(-11000.49588, 144453.43731)","(-10859.9594, 144404.45946)"
"(-10175.93288, 145063.88881)","(-10202.64327, 145042.93949)"
"(-9573.00478, 144160.25261)","(-9046.54407, 143900.67767)"
"(-9573.00478, 144160.25261)","(-9286.42043, 144313.40255)"
"(-9355.40538, 144806.10491)","(-9339.80264, 144803.80286)"
"(-9355.40538, 144806.10491)","(-9467.41438, 144774.25241)"
"(-12618.47018, 145830.80591)","(-12536.33127, 145876.48658)"
"(-12618.47018, 145830.80591)","(-12954.9812, 145893.10886)"
"(-10572.27948, 145306.64461)","(-10599.75727, 145307.75594)"
"(-9500.51238, 144325.26181)","(-10058.69998, 144302.12911)"
"(-10421.15038, 145524.38761)","(-10441.67454, 145539.26826)"
"(-10421.15038, 145524.38761)","(-10006.62558, 145444.75741)"
"(-9467.41438, 144774.25241)","(-9317.162, 144671.37363)"
"(-11474.53728, 145036.98431)","(-11328.82617, 145416.5736)"
"(-9254.73888, 144343.29081)","(-9286.42043, 144313.40255)"
"(-9254.73888, 144343.29081)","(-9046.54407, 143900.67767)"
"(-12203.62278, 146868.49841)","(-12192.16702, 146876.89671)"
"(-12203.62278, 146868.49841)","(-12225.39426, 146864.2554)"
"(-9981.22558, 145423.59061)","(-10006.62558, 145444.75741)"
"(-9932.81588, 146541.95831)","(-9984.20277, 146563.07825)"
"(-11793.94458, 147077.22441)","(-11781.58465, 147066.21703)"
"(-10392.90648, 145719.00931)","(-10386.7716, 145755.00178)"
"(-10392.90648, 145719.00931)","(-10367.96973, 145751.61771)"
"(-12487.36392, 146087.27366)","(-12467.49998, 145981.35076)"
