Node,Stand
"(-12183.93538, 145538.09041)",[1202]
"(-12256.34878, 145530.34391)",[1202]
"(-12259.79658, 145552.37941)",[1202]
"(-12264.19968, 145580.51981)",[1202]
"(-12266.05088, 145592.35111)",[1202]
"(-12227.01288, 145663.06691)",[1202]
"(-12181.57048, 145718.19771)",[1202]
"(-12150.15268, 145756.11531)",[1202]
"(-12132.32018, 145815.81351)","[1202, 1101]"
"(-12141.33378, 145879.69861)","[1202, 1101]"
"(-11271.29798, 145945.04671)",[1202]
"(-11205.72638, 145940.36731)",[1202]
"(-11147.00628, 145954.54251)",[1202]
"(-11071.86448, 145966.01881)",[1202]
"(-11004.36048, 145952.13811)",[1202]
"(-10927.50448, 145943.90211)",[1202]
"(-10872.19638, 145937.86281)",[1202]
"(-10830.91928, 145927.71381)",[1202]
"(-10765.87298, 145903.02991)",[1202]
"(-10724.29858, 145893.26461)",[1202]
"(-10665.36488, 145884.19981)",[1202]
"(-11911.23135, 145716.39802)",[1202]
"(-12204.43494, 145535.89745)",[1202]
"(-11474.53728, 145036.98431)","[867, 1203]"
"(-11501.19938, 144978.05611)","[867, 1203]"
"(-11566.16318, 144960.83311)","[867, 1203]"
"(-11563.75318, 144902.63121)","[867, 1203]"
"(-11523.71638, 144865.85551)","[867, 1203]"
"(-11484.75088, 144920.91781)","[867, 1203]"
"(-11413.84998, 144910.87881)","[867, 1203]"
"(-11360.44038, 144863.96811)","[867, 1203, 868, 871]"
"(-11418.35498, 144839.21431)","[1203, 871]"
"(-11460.63928, 144812.24161)","[1203, 871]"
"(-11510.55058, 144773.11531)","[1203, 871]"
"(-11536.43088, 144722.22231)","[1203, 871]"
"(-11532.15428, 144664.54101)","[1203, 871]"
"(-11445.88488, 144695.98131)","[1203, 871]"
"(-11372.96028, 144727.24241)","[1203, 871]"
"(-11373.78948, 144671.10651)","[1203, 871]"
"(-11435.19028, 144629.50041)","[1203, 871]"
"(-11445.56428, 144561.99741)","[1203, 871]"
"(-11360.85918, 144547.62541)","[1203, 871]"
"(-11288.46198, 144541.69671)","[1203, 871]"
"(-11237.67288, 144496.64751)","[1203, 871]"
"(-11190.24768, 144528.16341)","[1203, 871]"
"(-11183.10578, 144600.70141)","[1203, 871]"
"(-11134.51618, 144634.83131)","[1203, 871]"
"(-11076.49878, 144696.99751)","[1203, 868, 871]"
"(-10989.83068, 144664.08681)","[1203, 868, 870]"
"(-11041.09668, 144605.45361)","[1203, 870]"
"(-11087.55998, 144545.78711)","[1203, 870]"
"(-11033.16888, 144561.23111)","[1203, 870]"
"(-10990.82128, 144570.38921)","[1203, 870]"
"(-10943.16518, 144581.21371)","[1203, 870]"
"(-10893.08728, 144609.56031)","[1203, 870]"
"(-10820.93418, 144562.38671)","[872, 873, 1203, 870]"
"(-10866.58898, 144554.29691)","[873, 1203]"
"(-10909.24578, 144539.91501)","[873, 1203]"
"(-10946.94938, 144516.92811)","[873, 1203]"
"(-11010.83498, 144515.51401)","[873, 1203, 1149]"
"(-11059.54818, 144474.97531)","[1203, 1149]"
"(-11103.24358, 144421.58611)","[1203, 1149]"
"(-11164.38308, 144403.84001)","[1203, 1149]"
"(-11227.49668, 144347.25191)","[1203, 1149]"
"(-11279.64678, 144317.65751)","[1203, 1149]"
"(-11320.00928, 144379.32771)",[1203]
"(-11368.44098, 144395.19441)",[1203]
"(-11384.58178, 144434.66241)",[1203]
"(-11458.48648, 144463.70191)",[1203]
"(-11526.46438, 144478.29961)",[1203]
"(-11591.04198, 144466.26011)",[1203]
"(-11657.61788, 144440.58811)",[1203]
