ID_UG;nodes
1212;(-10471.31358, 144456.25121),(-10422.05028, 144587.15941),(-9584.22898, 144422.42351),(-10294.59148, 144601.68321),(-10339.73058, 144215.51711),(-9437.22218, 144335.59211),(-9500.51238, 144325.26181),(-9721.09488, 144536.77931),(-10058.69998, 144302.12911),(-9427.82687, 144409.26834),(-9386.8612, 144390.59263),(-10373.22795, 144597.34741),(-9461.89162, 144402.46279),(-9999.62849, 144442.66667)
1148;(-10471.31358, 144456.25121),(-10591.73298, 144296.31881),(-10339.73058, 144215.51711),(-10383.51255, 144329.66068)
1095;(-12376.80708, 146880.38561),(-12580.68998, 146607.75611),(-12425.26918, 146572.02501),(-12451.77348, 146591.56311),(-12573.93998, 146944.30511),(-12203.62278, 146868.49841),(-12225.39426, 146864.2554),(-12416.58816, 146754.19929)
1112;(-10940.07578, 146634.18461),(-11292.57138, 146694.10811),(-11657.10278, 146836.53971),(-10804.38598, 146592.14491),(-11598.27358, 146889.62002),(-11076.1594, 146951.55747),(-11262.68254, 146782.69804)
1113;(-10940.07578, 146634.18461),(-10493.51198, 146549.16931),(-10681.31538, 146176.81681),(-10804.38598, 146592.14491),(-9927.71538, 146363.58361),(-11113.07018, 146571.39151),(-9932.81588, 146541.95831),(-11034.00928, 146314.14501),(-9984.20277, 146563.07825),(-10585.40251, 146441.79314)
1109;(-10940.07578, 146634.18461),(-11292.57138, 146694.10811),(-11113.07018, 146571.39151),(-11130.22825, 146695.29086)
1139;(-11832.87338, 145011.12561),(-12126.29698, 145154.53001),(-11715.25928, 145005.74931),(-11660.15818, 145199.22361),(-11842.71668, 145304.14611),(-11935.33564, 145084.54367)
1146;(-11214.88648, 145304.51751),(-10973.55168, 145177.73511),(-10930.14798, 145204.05181),(-11316.50428, 145274.02721),(-10969.37789, 145233.76956),(-10945.4788, 145215.66533),(-11175.37279, 145212.95609)
867;(-11214.88648, 145304.51751),(-11314.48788, 145345.86911),(-10973.55168, 145177.73511),(-11360.44038, 144863.96811),(-11263.25238, 145350.99561),(-11285.94848, 145413.02391),(-11316.50428, 145274.02721),(-11474.53728, 145036.98431),(-11328.82617, 145416.5736),(-11274.31335, 144903.57648),(-11291.89646, 145284.32538),(-11336.83577, 145259.06607),(-11353.8676, 145202.0916),(-11294.04205, 145347.91487),(-11298.50872, 145094.28111)
1521;(-10409.86108, 146061.03541),(-10612.28278, 145868.52701),(-10463.28508, 146061.25081),(-10559.87008, 145862.92891),(-10508.41568, 145963.38485)
1522;(-10409.86108, 146061.03541),(-10559.87008, 145862.92891),(-10522.91078, 145861.60871),(-10366.09948, 146045.01991),(-10415.02377, 146051.40539),(-10458.17531, 145959.85114)
1153;(-9651.78088, 144199.77851),(-9500.51238, 144325.26181),(-10058.69998, 144302.12911),(-9766.36384, 144289.1142)
1149;(-11279.64678, 144317.65751),(-11024.58038, 144201.20341),(-11652.93558, 144066.29101),(-11010.83498, 144515.51401),(-11567.18588, 144257.36441),(-11000.49588, 144453.43731),(-11345.44256, 144244.06245),(-10996.05097, 144429.79117),(-11051.44306, 144481.72032),(-11262.38902, 144249.96448)
1104;(-12404.28668, 145555.55021),(-12266.05088, 145592.35111),(-12132.32018, 145815.81351),(-12460.81378, 146096.66401),(-12464.88198, 145610.27421),(-12618.47018, 145830.80591),(-12388.25839, 145781.0902)
1254;(-12404.28668, 145555.55021),(-12126.29698, 145154.53001),(-12056.15258, 145620.82851),(-12266.05088, 145592.35111),(-11734.65228, 145366.77121),(-11764.38298, 145468.79421),(-11842.71668, 145304.14611),(-12226.24183, 145268.4027),(-12270.65469, 145295.79527),(-12318.6526, 145359.61718),(-12204.43494, 145535.89745),(-11956.11228, 145598.48942),(-11830.45358, 145469.76332),(-11757.61972, 145460.1864),(-12067.13219, 145394.48957)
1152;(-9686.91908, 144778.42451),(-9674.56938, 144595.59931),(-9305.40998, 144657.12641),(-9467.41438, 144774.25241),(-9317.162, 144671.37363),(-9512.44177, 144683.68193)
1213;(-9686.91908, 144778.42451),(-10356.64758, 144859.65951),(-10294.59148, 144601.68321),(-9674.56938, 144595.59931),(-10096.21758, 144857.05771),(-9721.09488, 144536.77931),(-10346.78668, 144660.43371),(-10038.91817, 144696.09826)
1622;(-11013.14958, 146261.14121),(-11051.24968, 146283.05717),(-11019.35018, 146283.05711),(-11053.83413, 146220.76902)
1496;(-12056.15258, 145620.82851),(-11461.86638, 145478.87951),(-11734.65228, 145366.77121),(-11764.38298, 145468.79421),(-11911.82328, 145716.01351),(-11324.91898, 145686.34871),(-11479.27611, 145482.62956),(-11397.17876, 145728.26972),(-11692.20506, 145637.19507)
1490;(-10001.33388, 145572.81591),(-9978.05058, 145605.62441),(-10540.80828, 145570.98241),(-10110.76588, 145679.59661),(-10421.15038, 145524.38761),(-10392.90648, 145719.00931),(-10006.62558, 145444.75741),(-9989.59175, 145621.69655),(-10279.87739, 145598.76698)
871;(-11360.44038, 144863.96811),(-11076.49878, 144696.99751),(-11445.56428, 144561.99741),(-11212.70112, 144513.24222),(-11270.07058, 144708.82726)
872;(-10422.05028, 144587.15941),(-10294.59148, 144601.68321),(-10820.93418, 144562.38671),(-10346.78668, 144660.43371),(-10592.44312, 144597.08697)
874;(-10591.73298, 144296.31881),(-11024.58038, 144201.20341),(-11000.49588, 144453.43731),(-10859.9594, 144404.45946),(-10854.57383, 144325.46078)
