"Node1(x,y)","Node2(x,y)"
"(-9832.74258, 145029.71041)","(-9855.82498, 144997.09981)"
"(-9832.74258, 145029.71041)","(-9819.20558, 145048.83541)"
"(-9832.74258, 145029.71041)","(-9849.17178, 145034.78471)"
"(-11493.08208, 145278.53261)","(-11474.56108, 145224.29291)"
"(-11493.08208, 145278.53261)","(-11470.59238, 145331.44931)"
"(-10273.18688, 146008.23321)","(-10283.24258, 146051.18691)"
"(-10273.18688, 146008.23321)","(-10309.34908, 146023.00721)"
"(-10273.18688, 146008.23321)","(-10245.55208, 146020.90681)"
"(-10788.61508, 144386.73901)","(-10739.65198, 144368.23291)"
"(-10788.61508, 144386.73901)","(-10833.01508, 144399.61621)"
"(-11415.12028, 146623.62571)","(-11407.24888, 146556.54021)"
"(-11415.12028, 146623.62571)","(-11388.84248, 146666.81461)"
"(-11648.92168, 146703.26721)","(-11657.10278, 146836.53971)"
"(-11648.92168, 146703.26721)","(-11639.64698, 146644.42651)"
"(-10231.55458, 145687.99901)","(-10274.79108, 145693.91061)"
"(-10231.55458, 145687.99901)","(-10180.92408, 145673.92551)"
"(-10285.73508, 144950.11781)","(-10320.13108, 144910.43021)"
"(-10285.73508, 144950.11781)","(-10243.40168, 145010.97211)"
"(-11646.33298, 146885.47931)","(-11657.10278, 146836.53971)"
"(-11646.33298, 146885.47931)","(-11598.70698, 146900.72431)"
"(-11373.78948, 144671.10651)","(-11372.96028, 144727.24241)"
"(-11373.78948, 144671.10651)","(-11435.19028, 144629.50041)"
"(-11069.37998, 146941.90661)","(-11037.32808, 146907.46231)"
"(-11069.37998, 146941.90661)","(-11076.1594, 146951.55748)"
"(-11320.00928, 144379.32771)","(-11368.44098, 144395.19441)"
"(-11320.00928, 144379.32771)","(-11298.81805, 144346.94946)"
"(-9571.17348, 145117.20251)","(-9587.05988, 145127.35221)"
"(-9571.17348, 145117.20251)","(-9550.53598, 145104.50251)"
"(-11103.24358, 144421.58611)","(-11059.54818, 144474.97531)"
"(-11103.24358, 144421.58611)","(-11164.38308, 144403.84001)"
"(-9328.57358, 144617.03861)","(-9305.40998, 144657.12641)"
"(-9328.57358, 144617.03861)","(-9376.30458, 144586.68421)"
"(-10830.91928, 145927.71381)","(-10872.19638, 145937.86281)"
"(-10830.91928, 145927.71381)","(-10765.87298, 145903.02991)"
"(-11795.68488, 147309.54541)","(-11835.29698, 147287.21631)"
"(-11795.68488, 147309.54541)","(-11774.10648, 147351.59401)"
"(-12324.88288, 146143.42311)","(-12399.74898, 146109.60471)"
"(-12324.88288, 146143.42311)","(-12263.18378, 146130.23371)"
"(-12086.91678, 146501.91151)","(-12108.56068, 146489.63031)"
"(-12086.91678, 146501.91151)","(-12103.53028, 146545.45971)"
"(-10231.64878, 146002.23891)","(-10245.55208, 146020.90681)"
"(-10231.64878, 146002.23891)","(-10221.24278, 145999.68641)"
"(-12266.05088, 145592.35111)","(-12264.19968, 145580.51981)"
"(-12266.05088, 145592.35111)","(-12227.01288, 145663.06691)"
"(-10405.44748, 144194.11381)","(-10339.73058, 144215.51711)"
"(-10405.44748, 144194.11381)","(-10455.62798, 144220.81191)"
"(-9248.79078, 144352.72471)","(-9303.95148, 144386.15341)"
"(-9248.79078, 144352.72471)","(-9254.73888, 144343.29081)"
"(-11263.41818, 145296.24331)","(-11316.50428, 145274.02721)"
"(-11263.41818, 145296.24331)","(-11214.88648, 145304.51751)"
"(-11710.84508, 145800.03771)","(-11714.64028, 145814.36301)"
"(-11202.03978, 145337.13791)","(-11086.83998, 145340.36581)"
"(-11202.03978, 145337.13791)","(-11263.25238, 145350.99561)"
"(-11305.91188, 146740.64731)","(-11292.57138, 146694.10811)"
"(-11305.91188, 146740.64731)","(-11279.17028, 146774.30371)"
"(-11311.71538, 146310.83841)","(-11246.89228, 146312.16131)"
"(-11311.71538, 146310.83841)","(-11371.24668, 146289.67171)"
"(-10422.21398, 144868.81691)","(-10356.64758, 144859.65951)"
"(-10422.21398, 144868.81691)","(-10474.81838, 144921.17101)"
"(-10422.21398, 144868.81691)","(-10420.67288, 144938.21151)"
"(-10422.21398, 144868.81691)","(-10332.03728, 144894.55521)"
"(-12351.55168, 146619.23311)","(-12425.26918, 146572.02501)"
"(-12351.55168, 146619.23311)","(-12326.78098, 146659.05391)"
"(-11461.13718, 147087.28651)","(-11520.39438, 147127.53061)"
"(-11461.13718, 147087.28651)","(-11463.43268, 147024.62021)"
"(-11985.95218, 146027.97421)","(-12057.60338, 145980.66811)"
"(-11985.95218, 146027.97421)","(-11916.92998, 146042.41741)"
"(-12129.25018, 146572.82001)","(-12103.53028, 146545.45971)"
"(-12129.25018, 146572.82001)","(-12128.28838, 146605.30541)"
"(-9410.96798, 144804.78191)","(-9355.40538, 144806.10491)"
"(-9410.96798, 144804.78191)","(-9467.41438, 144774.25241)"
"(-10240.80468, 146437.74421)","(-10192.39758, 146428.61921)"
"(-10240.80468, 146437.74421)","(-10297.71708, 146423.32461)"
"(-10886.27628, 144800.47311)","(-10931.42588, 144772.14521)"
"(-11004.36048, 145952.13811)","(-10927.50448, 145943.90211)"
"(-11922.61508, 144778.89931)","(-11956.24888, 144737.90831)"
"(-11922.61508, 144778.89931)","(-11888.51538, 144820.45851)"
"(-11445.56428, 144561.99741)","(-11435.19028, 144629.50041)"
"(-11445.56428, 144561.99741)","(-11360.85918, 144547.62541)"
"(-10020.04008, 145369.61551)","(-10099.59488, 145303.55751)"
"(-10020.04008, 145369.61551)","(-9981.22558, 145423.59061)"
