Node,Stand
"(-14906.41708, 148518.50261)","[1458, 1291]"
"(-14923.24858, 148582.19891)","[1458, 1291, 1011, 1183]"
"(-14892.83918, 148575.14951)","[1291, 1183]"
"(-14860.69988, 148567.69911)","[1291, 1183]"
"(-14818.18328, 148521.08241)","[1291, 1183]"
"(-14638.77407, 147795.47715)",[1291]
"(-14790.97226, 147888.12577)",[1291]
"(-14866.84908, 148174.35051)",[1458]
"(-14915.53248, 148216.68391)",[1458]
"(-14933.93918, 148205.80031)",[1458]
"(-14946.74628, 148224.82341)",[1458]
"(-14986.95318, 148248.91961)",[1458]
"(-15030.93858, 148251.88591)",[1458]
"(-15052.05778, 148248.43391)",[1458]
"(-15074.28288, 148269.60071)",[1458]
"(-15101.79958, 148305.58411)",[1458]
"(-15116.61628, 148329.92581)",[1458]
"(-15125.08288, 148355.32591)",[1458]
"(-15108.77668, 148367.60491)",[1458]
"(-15066.87448, 148360.61751)",[1458]
"(-15049.94108, 148400.83431)",[1458]
"(-15071.10788, 148431.52601)",[1458]
"(-15106.71308, 148484.47121)",[1458]
"(-15105.85768, 148504.91381)",[1458]
"(-15091.43758, 148511.71781)","[1458, 1011]"
"(-15051.61568, 148530.50761)","[1458, 1011]"
"(-14971.73778, 148547.12321)","[1458, 1011]"
"(-15013.92462, 148250.73852)",[1458]
"(-15062.52717, 148370.94237)",[1458]
"(-14866.86322, 148174.36281)",[1458]
"(-15011.11447, 148538.93237)",[1458]
"(-14263.29688, 148060.51301)",[1183]
"(-14314.61748, 148075.75451)",[1183]
"(-14373.17468, 148116.49711)",[1183]
"(-14440.99458, 148135.18271)",[1183]
"(-14961.83208, 148625.16081)","[1011, 1183]"
"(-15006.37878, 148662.72221)","[1011, 1183]"
"(-15053.21678, 148721.07641)","[1011, 1183]"
"(-15096.08118, 148794.79561)","[1011, 1183]"
"(-15146.14858, 148863.64541)","[1011, 1183]"
"(-15089.96328, 148866.55581)",[1183]
"(-15088.19328, 148866.64751)",[1183]
"(-15086.51688, 148866.73431)",[1183]
"(-15042.77458, 148858.10781)",[1183]
"(-15041.30558, 148857.81811)",[1183]
"(-15040.98928, 148857.95961)",[1183]
"(-15013.85998, 148870.09431)","[878, 1183]"
"(-15001.54428, 148875.60301)","[878, 1183]"
"(-14948.68878, 148858.94651)","[878, 1183]"
"(-15028.03215, 148863.75522)",[1183]
"(-15118.83878, 148549.10701)",[1011]
"(-15152.79128, 148524.52161)",[1011]
"(-15169.60268, 148544.59161)",[1011]
"(-15141.06388, 148569.74471)",[1011]
"(-15172.81388, 148603.08221)",[1011]
"(-15205.10118, 148588.27871)",[1011]
"(-15231.20558, 148624.25331)",[1011]
"(-15281.78448, 148703.17411)",[1011]
"(-15347.11938, 148756.28441)",[1011]
"(-15376.47608, 148782.64951)",[1011]
"(-15397.92178, 148825.33261)",[1011]
"(-15412.20938, 148871.37021)",[1011]
"(-15437.60938, 148911.05781)",[1011]
"(-15472.53448, 148969.79541)",[1011]
"(-15477.80048, 149007.82631)",[1011]
"(-15471.91978, 149052.76171)",[1011]
"(-15465.53708, 149060.57891)",[1011]
"(-15409.48728, 149066.50171)",[1011]
"(-15366.65088, 149039.80391)",[1011]
"(-15379.12588, 148985.17911)",[1011]
"(-15324.37608, 148993.64931)",[1011]
"(-15272.29468, 148975.83531)",[1011]
"(-15234.17228, 148944.11421)",[1011]
"(-15207.29468, 148897.74991)",[1011]
"(-15168.08038, 148875.87781)",[1011]
"(-15419.87893, 149065.40362)",[1011]
"(-14809.03278, 149078.04621)","[1282, 877]"
"(-14798.21828, 149075.16911)","[1282, 877]"
"(-14783.75868, 149072.07311)","[1282, 877]"
"(-14750.08848, 149077.42111)","[1282, 877]"
"(-14747.5615, 149078.66405)","[1282, 1243, 877]"
"(-14698.86478, 149102.61651)","[1243, 877]"
"(-14673.46468, 149065.57481)","[1243, 877]"
"(-14666.05638, 149031.70801)","[1243, 877]"
"(-14659.81378, 149014.15301)","[1243, 877]"
"(-14711.12628, 148986.00911)",[877]
"(-14680.44978, 148924.23411)",[877]
"(-14673.83518, 148899.09861)",[877]
"(-14698.59048, 148885.86641)",[877]
"(-14679.62318, 148858.79391)",[877]
"(-14644.73098, 148876.60901)",[877]
"(-14615.62668, 148836.92141)",[877]
"(-14845.81468, 148879.25481)","[877, 878]"
"(-14844.49178, 148921.58821)","[877, 878]"
"(-14864.33548, 148965.24461)","[877, 878]"
"(-14864.33548, 149020.80721)","[877, 878]"
"(-14849.10808, 149082.06171)","[1282, 877, 878]"
"(-14830.56148, 149083.77371)","[1282, 877]"
"(-15056.78058, 148914.44001)",[878]
"(-15109.69738, 149003.07561)","[1282, 878]"
"(-15096.46818, 149016.30491)","[1282, 878]"
"(-15059.42648, 149038.79451)","[1282, 878]"
"(-14999.89508, 149075.83621)","[1282, 878]"
"(-14968.14508, 149071.86751)","[1282, 878]"
"(-14916.55118, 149075.83621)","[1282, 878]"
"(-14713.08998, 149183.90161)","[1282, 1243]"
"(-14717.46018, 149169.86191)","[1282, 1243]"
"(-14736.91978, 149110.90521)","[1282, 1243]"
"(-15145.41628, 149059.96121)",[1282]
"(-15203.62468, 149138.01351)",[1282]
"(-15247.23718, 149167.45171)",[1282]
"(-15277.70808, 149188.01971)",[1282]
"(-15268.18318, 149197.54471)",[1282]
"(-15280.88318, 149225.06151)",[1282]
"(-15267.75328, 149258.96071)","[1008, 1282]"
"(-15239.45908, 149300.36221)","[1008, 1282]"
"(-15196.62028, 149307.76531)","[1008, 1282]"
"(-15151.80328, 149322.20161)","[1008, 1282]"
"(-15097.81558, 149338.82871)","[1008, 1282]"
"(-15046.85938, 149320.26671)","[1008, 1282]"
"(-14987.22358, 149323.19071)","[1008, 1282]"
"(-14960.19308, 149384.50181)","[1008, 1282]"
"(-14950.74868, 149414.72841)","[1008, 1282]"
"(-14905.24018, 149424.25351)","[1008, 1282]"
"(-14863.96508, 149449.65351)","[1008, 1282]"
"(-14833.27348, 149483.41441)","[1008, 1282, 1243]"
"(-14814.90518, 149447.90951)","[1282, 1243]"
"(-14791.11788, 149420.90931)","[1282, 1243]"
"(-14748.17658, 149372.16831)","[1282, 1243]"
"(-14737.96078, 149353.25501)","[1282, 1243]"
"(-14718.88568, 149317.94061)","[1282, 1243]"
"(-14704.78528, 149272.23031)","[1282, 1243]"
"(-14704.28288, 149262.69421)","[1282, 1243]"
"(-14702.00768, 149219.50561)","[1282, 1243]"
"(-14762.64828, 149804.55761)",[1008]
"(-14765.82038, 149768.07761)",[1008]
"(-14824.55808, 149745.85261)",[1008]
"(-14862.65808, 149776.01511)",[1008]
"(-14905.52068, 149706.16501)",[1008]
"(-14905.50578, 149706.14781)",[1008]
"(-14905.51808, 149706.12791)",[1008]
"(-14864.24298, 149658.50281)",[1008]
"(-14816.61788, 149661.67781)",[1008]
