816.55 * C_node3node61_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
578.87 * C_node3node61_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
410.37 * C_node3node61_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
290.92 * C_node3node61_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1674.0 * C_node3node23_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1409.46 * C_node3node23_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
999.19 * C_node3node23_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
708.35 * C_node3node23_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
502.16 * C_node3node23_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
355.99 * C_node3node23_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2511.0 * C_node3node23_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2114.19 * C_node3node23_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1498.79 * C_node3node23_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1062.52 * C_node3node23_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
753.24 * C_node3node23_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
533.99 * C_node3node23_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1830.0 * C_node3node57_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1540.81 * C_node3node57_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1092.31 * C_node3node57_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
774.36 * C_node3node57_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
548.96 * C_node3node57_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
389.17 * C_node3node57_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2744.0 * C_node3node57_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2310.37 * C_node3node57_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1637.87 * C_node3node57_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1161.12 * C_node3node57_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
823.14 * C_node3node57_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
583.54 * C_node3node57_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node73_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node73_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node73_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node73_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node73_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node73_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node73_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node73_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node73_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node73_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node73_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node73_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node75_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node75_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node75_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node75_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node75_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node75_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node75_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node75_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node75_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node75_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node75_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node75_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
53.0 * C_node4node45_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
44.62 * C_node4node45_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
31.64 * C_node4node45_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
22.43 * C_node4node45_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
15.9 * C_node4node45_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
11.27 * C_node4node45_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
79.0 * C_node4node45_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
66.52 * C_node4node45_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
47.15 * C_node4node45_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
33.43 * C_node4node45_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
23.7 * C_node4node45_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
16.8 * C_node4node45_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1.0 * C_node4node9_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.84 * C_node4node9_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.6 * C_node4node9_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.42 * C_node4node9_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.3 * C_node4node9_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.21 * C_node4node9_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2.0 * C_node4node9_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1.68 * C_node4node9_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1.19 * C_node4node9_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.85 * C_node4node9_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.6 * C_node4node9_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.43 * C_node4node9_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4075.0 * C_node4node27_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3431.04 * C_node4node27_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2432.33 * C_node4node27_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1724.32 * C_node4node27_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1222.41 * C_node4node27_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
866.59 * C_node4node27_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6110.0 * C_node4node27_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5144.46 * C_node4node27_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3647.0 * C_node4node27_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2585.43 * C_node4node27_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1832.86 * C_node4node27_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1299.35 * C_node4node27_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node66_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node66_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node66_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node66_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node66_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node66_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node66_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node66_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node66_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node66_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node66_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node66_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node74_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node74_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node74_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node74_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node74_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node74_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node74_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node74_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node74_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node74_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node74_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node74_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1884.0 * C_node5node46_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1586.28 * C_node5node46_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1124.54 * C_node5node46_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
797.21 * C_node5node46_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
565.16 * C_node5node46_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
400.65 * C_node5node46_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2826.0 * C_node5node46_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2379.42 * C_node5node46_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1686.81 * C_node5node46_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1195.81 * C_node5node46_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
847.73 * C_node5node46_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
600.98 * C_node5node46_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2702.0 * C_node5node45_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2275.01 * C_node5node45_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1612.8 * C_node5node45_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1143.34 * C_node5node45_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
810.54 * C_node5node45_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
574.61 * C_node5node45_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4048.0 * C_node5node45_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3408.31 * C_node5node45_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2416.21 * C_node5node45_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1712.9 * C_node5node45_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1214.31 * C_node5node45_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
860.84 * C_node5node45_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node66_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node66_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node66_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node66_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node66_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node66_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node66_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node66_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node66_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node66_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node66_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node66_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
13091.0 * C_node6node55_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
11022.27 * C_node6node55_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
7813.9 * C_node6node55_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
5539.42 * C_node6node55_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
3927.0 * C_node6node55_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
2783.92 * C_node6node55_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
19633.0 * C_node6node55_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
16530.46 * C_node6node55_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
11718.75 * C_node6node55_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
8307.64 * C_node6node55_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
5889.45 * C_node6node55_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
4175.14 * C_node6node55_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
166.0 * C_node6node35_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
139.77 * C_node6node35_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
99.08 * C_node6node35_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
70.24 * C_node6node35_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
49.8 * C_node6node35_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
35.3 * C_node6node35_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
249.0 * C_node6node35_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
209.65 * C_node6node35_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
148.63 * C_node6node35_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
105.36 * C_node6node35_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
74.69 * C_node6node35_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
52.95 * C_node6node35_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
7790.0 * C_node6node22_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
6558.97 * C_node6node22_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
4649.78 * C_node6node22_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
3296.32 * C_node6node22_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
2336.82 * C_node6node22_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1656.62 * C_node6node22_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
11676.0 * C_node6node22_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
9830.88 * C_node6node22_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
6969.29 * C_node6node22_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
4940.66 * C_node6node22_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
3502.53 * C_node6node22_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
2483.01 * C_node6node22_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node6node72_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node6node72_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node6node72_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node6node72_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
