Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14993.8101, 149252.0249)","(-14993.9225, 149252.0328)",0.113,32.1,846.71,302.4,1270.07,635.04,302.4
"(-14993.8101, 149252.0249)","(-14961.4636, 149289.8554)",49.774,32.1,374026.1,133580.75,561039.15,280519.57,133580.75
"(-14841.8752, 149460.9506)","(-14839.3588, 149465.0564)",4.479,23.5,21635.79,8412.9,32453.69,16226.85,8412.9
"(-14758.5542, 149255.837)","(-14785.5847, 149194.5259)",67.005,32.1,503510.69,179825.25,755266.04,377633.02,179825.25
"(-14860.8727, 149408.6598)","(-14860.503, 149407.9699)",1.616,23.5,7804.61,3034.76,11706.92,5853.46,3034.76
"(-14860.8727, 149408.6598)","(-14868.3336, 149422.586)",11.517,23.5,55633.69,21632.7,83450.53,41725.27,21632.7
"(-14837.8829, 149420.472)","(-14837.8968, 149420.4799)",7.932,23.5,38317.3,14899.37,57475.96,28737.98,14899.37
"(-14810.771, 149366.8544)","(-14797.0127, 149365.2668)",3.598,23.5,17382.03,6758.86,26073.05,13036.52,6758.86
"(-14785.5847, 149194.5259)","(-14845.2205, 149191.6019)",59.707,32.1,448671.56,160239.84,673007.34,336503.67,160239.84
"(-14994.0109, 149251.9294)","(-14993.9225, 149252.0328)",0.136,32.1,1022.25,365.09,1533.38,766.69,365.09
"(-14840.2465, 149419.1796)","(-14837.8968, 149420.4799)",8.301,23.5,40097.87,15591.73,60146.8,30073.4,15591.73
"(-14874.0285, 149560.8412)","(-14873.5492, 149560.3764)",19.311,23.5,93285.91,36273.46,139928.87,69964.43,36273.46
"(-14868.3336, 149422.586)","(-14863.186, 149430.05)",18.448,23.5,89119.01,34653.2,133678.51,66839.26,34653.2
