variable,value,node_type_info
C_node92node193_timber_t1,1.0,node92transit_node193source
C_node92node196_timber_t1,1.0,node92transit_node196source
C_node92node196_timber_t4,1.0,node92transit_node196source
C_node93node99_timber_t1,1.0,node93transit_node99transit
C_node93node99_timber_t4,1.0,node93transit_node99transit
C_node93node191_timber_t1,1.0,node93transit_node191source
C_node93node192_timber_t1,1.0,node93transit_node192source
C_node93node192_timber_t4,1.0,node93transit_node192source
C_node93node195_timber_t1,1.0,node93transit_node195source
C_node94node140_timber_t1,1.0,node94transit_node140exit
C_node94node140_timber_t4,1.0,node94transit_node140exit
C_node94node115_timber_t4,1.0,node94transit_node115transit
C_node94node200_timber_t1,1.0,node94transit_node200source
C_node94node200_timber_t3,1.0,node94transit_node200source
C_node95node109_timber_t1,1.0,node95transit_node109transit
C_node95node109_timber_t4,1.0,node95transit_node109transit
C_node95node177_timber_t1,1.0,node95transit_node177source
C_node95node184_timber_t1,1.0,node95transit_node184source
C_node95node184_timber_t3,1.0,node95transit_node184source
C_node95node189_timber_t1,1.0,node95transit_node189source
C_node95node189_wide_t4,1.0,node95transit_node189source
C_node96node158_wide_t1,1.0,node96transit_node158exit
C_node96node128_wide_t1,1.0,node96transit_node128transit
C_node96node203_wide_t1,1.0,node96transit_node203source
C_node97node183_timber_t1,1.0,node97transit_node183source
C_node98node177_timber_t1,1.0,node98transit_node177source
C_node98node177_wide_t5,1.0,node98transit_node177source
C_node98node185_timber_t1,1.0,node98transit_node185source
C_node98node185_wide_t3,1.0,node98transit_node185source
C_node99node120_timber_t1,1.0,node99transit_node120transit
C_node99node120_timber_t4,1.0,node99transit_node120transit
C_node99node191_timber_t1,1.0,node99transit_node191source
C_node99node192_timber_t1,1.0,node99transit_node192source
C_node99node192_wide_t4,1.0,node99transit_node192source
C_node100node177_timber_t1,1.0,node100transit_node177source
C_node100node181_timber_t1,1.0,node100transit_node181source
C_node100node182_timber_t1,1.0,node100transit_node182source
C_node101node183_timber_t1,1.0,node101transit_node183source
C_node103node128_wide_t1,1.0,node103transit_node128transit
C_node103node108_timber_t1,1.0,node103transit_node108transit
C_node103node179_timber_t1,1.0,node103transit_node179source
C_node103node199_wide_t1,1.0,node103transit_node199source
C_node104node107_timber_t1,1.0,node104transit_node107exit
C_node104node107_timber_t4,1.0,node104transit_node107exit
C_node104node201_timber_t1,1.0,node104transit_node201source
C_node106node208_wide_t1,1.0,node106transit_node208source
C_node106node208_wide_t3,1.0,node106transit_node208source
C_node108node178_timber_t4,1.0,node108transit_node178source
C_node108node178_wide_t1,1.0,node108transit_node178source
C_node108node199_wide_t1,1.0,node108transit_node199source
C_node109node177_timber_t1,1.0,node109transit_node177source
C_node109node185_timber_t1,1.0,node109transit_node185source
C_node109node185_timber_t4,1.0,node109transit_node185source
C_node109node189_timber_t1,1.0,node109transit_node189source
C_node109node189_timber_t3,1.0,node109transit_node189source
C_node110node180_timber_t1,1.0,node110transit_node180source
C_node110node180_timber_t4,1.0,node110transit_node180source
C_node110node210_timber_t1,1.0,node110transit_node210source
C_node111node195_timber_t1,1.0,node111transit_node195source
C_node111node195_wide_t4,1.0,node111transit_node195source
C_node111node197_timber_t1,1.0,node111transit_node197source
C_node111node197_wide_t4,1.0,node111transit_node197source
C_node112node196_timber_t1,1.0,node112transit_node196source
C_node112node196_wide_t3,1.0,node112transit_node196source
C_node114node179_wide_t1,1.0,node114transit_node179source
C_node114node208_wide_t1,1.0,node114transit_node208source
C_node115node131_timber_t4,1.0,node115transit_node131transit
C_node115node200_timber_t1,1.0,node115transit_node200source
C_node115node200_timber_t3,1.0,node115transit_node200source
C_node117node210_timber_t1,1.0,node117transit_node210source
C_node117node210_timber_t4,1.0,node117transit_node210source
C_node118node197_timber_t1,1.0,node118transit_node197source
C_node118node197_timber_t4,1.0,node118transit_node197source
C_node118node200_timber_t1,1.0,node118transit_node200source
C_node120node122_timber_t1,1.0,node120transit_node122transit
C_node120node122_timber_t4,1.0,node120transit_node122transit
C_node120node192_timber_t1,1.0,node120transit_node192source
C_node120node192_wide_t4,1.0,node120transit_node192source
C_node121node190_timber_t1,1.0,node121transit_node190source
C_node121node191_timber_t1,1.0,node121transit_node191source
C_node122node150_timber_t1,1.0,node122transit_node150exit
C_node122node192_timber_t1,1.0,node122transit_node192source
C_node122node192_timber_t3,1.0,node122transit_node192source
C_node124node184_timber_t1,1.0,node124transit_node184source
C_node124node184_timber_t3,1.0,node124transit_node184source
C_node124node187_timber_t1,1.0,node124transit_node187source
C_node127node201_timber_t1,1.0,node127transit_node201source
C_node127node201_timber_t3,1.0,node127transit_node201source
C_node128node179_timber_t1,1.0,node128transit_node179source
C_node128node203_wide_t1,1.0,node128transit_node203source
C_node131node197_timber_t1,1.0,node131transit_node197source
C_node131node197_timber_t3,1.0,node131transit_node197source
C_node131node200_wide_t1,1.0,node131transit_node200source
C_node132node151_timber_t1,1.0,node132transit_node151exit
C_node132node185_timber_t1,1.0,node132transit_node185source
C_node132node185_timber_t3,1.0,node132transit_node185source
C_node133node175_timber_t1,1.0,node133transit_node175source
C_node133node187_timber_t1,1.0,node133transit_node187source
C_node133node189_timber_t1,1.0,node133transit_node189source
C_node133node189_wide_t4,1.0,node133transit_node189source
C_node135node177_timber_t1,1.0,node135transit_node177source
C_node136node177_timber_t1,1.0,node136transit_node177source
C_node136node177_timber_t5,1.0,node136transit_node177source
C_node137node178_timber_t4,1.0,node137transit_node178source
C_node137node178_wide_t1,1.0,node137transit_node178source
C_node139node185_timber_t1,1.0,node139transit_node185source
C_node139node185_wide_t4,1.0,node139transit_node185source
