variable,lb,ub,type,edge,period,road_type
flow_wide_node79node31_t4,0.0,9.0,I,node79node31,4,wide
flow_wide_node79node31_t5,0.0,9.0,I,node79node31,5,wide
flow_timber_node79node137_t1,0.0,9.0,I,node79node137,1,timber
flow_timber_node79node137_t2,0.0,9.0,I,node79node137,2,timber
flow_timber_node79node137_t3,0.0,9.0,I,node79node137,3,timber
flow_timber_node79node137_t4,0.0,9.0,I,node79node137,4,timber
flow_timber_node79node137_t5,0.0,9.0,I,node79node137,5,timber
flow_wide_node79node137_t1,0.0,9.0,I,node79node137,1,wide
flow_wide_node79node137_t2,0.0,9.0,I,node79node137,2,wide
flow_wide_node79node137_t3,0.0,9.0,I,node79node137,3,wide
flow_wide_node79node137_t4,0.0,9.0,I,node79node137,4,wide
flow_wide_node79node137_t5,0.0,9.0,I,node79node137,5,wide
flow_timber_node79node178_t1,0.0,9.0,I,node79node178,1,timber
flow_timber_node79node178_t2,0.0,9.0,I,node79node178,2,timber
flow_timber_node79node178_t3,0.0,9.0,I,node79node178,3,timber
flow_timber_node79node178_t4,0.0,9.0,I,node79node178,4,timber
flow_timber_node79node178_t5,0.0,9.0,I,node79node178,5,timber
flow_wide_node79node178_t1,0.0,9.0,I,node79node178,1,wide
flow_wide_node79node178_t2,0.0,9.0,I,node79node178,2,wide
flow_wide_node79node178_t3,0.0,9.0,I,node79node178,3,wide
flow_wide_node79node178_t4,0.0,9.0,I,node79node178,4,wide
flow_wide_node79node178_t5,0.0,9.0,I,node79node178,5,wide
flow_timber_node79node209_t1,0.0,9.0,I,node79node209,1,timber
flow_timber_node79node209_t2,0.0,9.0,I,node79node209,2,timber
flow_timber_node79node209_t3,0.0,9.0,I,node79node209,3,timber
flow_timber_node79node209_t4,0.0,9.0,I,node79node209,4,timber
flow_timber_node79node209_t5,0.0,9.0,I,node79node209,5,timber
flow_wide_node79node209_t1,0.0,9.0,I,node79node209,1,wide
flow_wide_node79node209_t2,0.0,9.0,I,node79node209,2,wide
flow_wide_node79node209_t3,0.0,9.0,I,node79node209,3,wide
flow_wide_node79node209_t4,0.0,9.0,I,node79node209,4,wide
flow_wide_node79node209_t5,0.0,9.0,I,node79node209,5,wide
flow_timber_node55node1_t1,0.0,9.0,I,node55node1,1,timber
flow_timber_node55node1_t2,0.0,9.0,I,node55node1,2,timber
flow_timber_node55node1_t3,0.0,9.0,I,node55node1,3,timber
flow_timber_node55node1_t4,0.0,9.0,I,node55node1,4,timber
flow_timber_node55node1_t5,0.0,9.0,I,node55node1,5,timber
flow_wide_node55node1_t1,0.0,9.0,I,node55node1,1,wide
flow_wide_node55node1_t2,0.0,9.0,I,node55node1,2,wide
flow_wide_node55node1_t3,0.0,9.0,I,node55node1,3,wide
flow_wide_node55node1_t4,0.0,9.0,I,node55node1,4,wide
flow_wide_node55node1_t5,0.0,9.0,I,node55node1,5,wide
flow_timber_node55node108_t1,0.0,9.0,I,node55node108,1,timber
flow_timber_node55node108_t2,0.0,9.0,I,node55node108,2,timber
flow_timber_node55node108_t3,0.0,9.0,I,node55node108,3,timber
flow_timber_node55node108_t4,0.0,9.0,I,node55node108,4,timber
flow_timber_node55node108_t5,0.0,9.0,I,node55node108,5,timber
flow_wide_node55node108_t1,0.0,9.0,I,node55node108,1,wide
flow_wide_node55node108_t2,0.0,9.0,I,node55node108,2,wide
flow_wide_node55node108_t3,0.0,9.0,I,node55node108,3,wide
flow_wide_node55node108_t4,0.0,9.0,I,node55node108,4,wide
flow_wide_node55node108_t5,0.0,9.0,I,node55node108,5,wide
flow_timber_node55node103_t1,0.0,9.0,I,node55node103,1,timber
flow_timber_node55node103_t2,0.0,9.0,I,node55node103,2,timber
flow_timber_node55node103_t3,0.0,9.0,I,node55node103,3,timber
flow_timber_node55node103_t4,0.0,9.0,I,node55node103,4,timber
flow_timber_node55node103_t5,0.0,9.0,I,node55node103,5,timber
flow_wide_node55node103_t1,0.0,9.0,I,node55node103,1,wide
flow_wide_node55node103_t2,0.0,9.0,I,node55node103,2,wide
flow_wide_node55node103_t3,0.0,9.0,I,node55node103,3,wide
flow_wide_node55node103_t4,0.0,9.0,I,node55node103,4,wide
flow_wide_node55node103_t5,0.0,9.0,I,node55node103,5,wide
flow_timber_node55node178_t1,0.0,9.0,I,node55node178,1,timber
flow_timber_node55node178_t2,0.0,9.0,I,node55node178,2,timber
flow_timber_node55node178_t3,0.0,9.0,I,node55node178,3,timber
flow_timber_node55node178_t4,0.0,9.0,I,node55node178,4,timber
flow_timber_node55node178_t5,0.0,9.0,I,node55node178,5,timber
flow_wide_node55node178_t1,0.0,9.0,I,node55node178,1,wide
flow_wide_node55node178_t2,0.0,9.0,I,node55node178,2,wide
flow_wide_node55node178_t3,0.0,9.0,I,node55node178,3,wide
flow_wide_node55node178_t4,0.0,9.0,I,node55node178,4,wide
flow_wide_node55node178_t5,0.0,9.0,I,node55node178,5,wide
flow_timber_node55node179_t1,0.0,9.0,I,node55node179,1,timber
flow_timber_node55node179_t2,0.0,9.0,I,node55node179,2,timber
flow_timber_node55node179_t3,0.0,9.0,I,node55node179,3,timber
flow_timber_node55node179_t4,0.0,9.0,I,node55node179,4,timber
flow_timber_node55node179_t5,0.0,9.0,I,node55node179,5,timber
flow_wide_node55node179_t1,0.0,9.0,I,node55node179,1,wide
flow_wide_node55node179_t2,0.0,9.0,I,node55node179,2,wide
flow_wide_node55node179_t3,0.0,9.0,I,node55node179,3,wide
flow_wide_node55node179_t4,0.0,9.0,I,node55node179,4,wide
flow_wide_node55node179_t5,0.0,9.0,I,node55node179,5,wide
flow_timber_node55node199_t1,0.0,9.0,I,node55node199,1,timber
flow_timber_node55node199_t2,0.0,9.0,I,node55node199,2,timber
flow_timber_node55node199_t3,0.0,9.0,I,node55node199,3,timber
flow_timber_node55node199_t4,0.0,9.0,I,node55node199,4,timber
flow_timber_node55node199_t5,0.0,9.0,I,node55node199,5,timber
flow_wide_node55node199_t1,0.0,9.0,I,node55node199,1,wide
flow_wide_node55node199_t2,0.0,9.0,I,node55node199,2,wide
flow_wide_node55node199_t3,0.0,9.0,I,node55node199,3,wide
flow_wide_node55node199_t4,0.0,9.0,I,node55node199,4,wide
flow_wide_node55node199_t5,0.0,9.0,I,node55node199,5,wide
flow_timber_node178node1_t1,0.0,9.0,I,node178node1,1,timber
flow_timber_node178node1_t2,0.0,9.0,I,node178node1,2,timber
flow_timber_node178node1_t3,0.0,9.0,I,node178node1,3,timber
flow_timber_node178node1_t4,0.0,9.0,I,node178node1,4,timber
flow_timber_node178node1_t5,0.0,9.0,I,node178node1,5,timber
flow_wide_node178node1_t1,0.0,9.0,I,node178node1,1,wide
flow_wide_node178node1_t2,0.0,9.0,I,node178node1,2,wide
flow_wide_node178node1_t3,0.0,9.0,I,node178node1,3,wide
flow_wide_node178node1_t4,0.0,9.0,I,node178node1,4,wide
flow_wide_node178node1_t5,0.0,9.0,I,node178node1,5,wide
flow_timber_node178node37_t1,0.0,9.0,I,node178node37,1,timber
flow_timber_node178node37_t2,0.0,9.0,I,node178node37,2,timber
flow_timber_node178node37_t3,0.0,9.0,I,node178node37,3,timber
flow_timber_node178node37_t4,0.0,9.0,I,node178node37,4,timber
flow_timber_node178node37_t5,0.0,9.0,I,node178node37,5,timber
flow_wide_node178node37_t1,0.0,9.0,I,node178node37,1,wide
flow_wide_node178node37_t2,0.0,9.0,I,node178node37,2,wide
flow_wide_node178node37_t3,0.0,9.0,I,node178node37,3,wide
flow_wide_node178node37_t4,0.0,9.0,I,node178node37,4,wide
flow_wide_node178node37_t5,0.0,9.0,I,node178node37,5,wide
flow_timber_node178node55_t1,0.0,9.0,I,node178node55,1,timber
flow_timber_node178node55_t2,0.0,9.0,I,node178node55,2,timber
flow_timber_node178node55_t3,0.0,9.0,I,node178node55,3,timber
flow_timber_node178node55_t4,0.0,9.0,I,node178node55,4,timber
flow_timber_node178node55_t5,0.0,9.0,I,node178node55,5,timber
flow_wide_node178node55_t1,0.0,9.0,I,node178node55,1,wide
flow_wide_node178node55_t2,0.0,9.0,I,node178node55,2,wide
flow_wide_node178node55_t3,0.0,9.0,I,node178node55,3,wide
flow_wide_node178node55_t4,0.0,9.0,I,node178node55,4,wide
flow_wide_node178node55_t5,0.0,9.0,I,node178node55,5,wide
flow_timber_node178node79_t1,0.0,9.0,I,node178node79,1,timber
flow_timber_node178node79_t2,0.0,9.0,I,node178node79,2,timber
flow_timber_node178node79_t3,0.0,9.0,I,node178node79,3,timber
flow_timber_node178node79_t4,0.0,9.0,I,node178node79,4,timber
flow_timber_node178node79_t5,0.0,9.0,I,node178node79,5,timber
flow_wide_node178node79_t1,0.0,9.0,I,node178node79,1,wide
flow_wide_node178node79_t2,0.0,9.0,I,node178node79,2,wide
flow_wide_node178node79_t3,0.0,9.0,I,node178node79,3,wide
flow_wide_node178node79_t4,0.0,9.0,I,node178node79,4,wide
flow_wide_node178node79_t5,0.0,9.0,I,node178node79,5,wide
flow_timber_node178node108_t1,0.0,9.0,I,node178node108,1,timber
flow_timber_node178node108_t2,0.0,9.0,I,node178node108,2,timber
flow_timber_node178node108_t3,0.0,9.0,I,node178node108,3,timber
flow_timber_node178node108_t4,0.0,9.0,I,node178node108,4,timber
