2059.87 * C_node5node43_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1460.28 * C_node5node43_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1035.22 * C_node5node43_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
733.89 * C_node5node43_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node287_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node287_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node287_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node287_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node287_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node287_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node287_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node287_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node287_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node287_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node287_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node287_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node297_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node297_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node297_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node297_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node297_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node297_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node297_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node297_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node297_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node297_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node297_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node297_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node298_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node298_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node298_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node298_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node298_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node298_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node298_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node298_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node298_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
