variable,coefficient,type,prefix,width,edge,period
C_node7node331_timber_t2,0.0,B,C,timber,,2
C_node7node331_timber_t3,0.0,B,C,timber,,3
C_node7node331_timber_t4,0.0,B,C,timber,,4
C_node7node331_timber_t5,0.0,B,C,timber,,5
C_node7node331_wide_t0,0.0,B,C,wide,,0
C_node7node331_wide_t1,0.0,B,C,wide,,1
C_node7node331_wide_t2,0.0,B,C,wide,,2
C_node7node331_wide_t3,0.0,B,C,wide,,3
C_node7node331_wide_t4,0.0,B,C,wide,,4
C_node7node331_wide_t5,0.0,B,C,wide,,5
C_node7node333_timber_t0,0.0,B,C,timber,,0
C_node7node333_timber_t1,0.0,B,C,timber,,1
C_node7node333_timber_t2,0.0,B,C,timber,,2
C_node7node333_timber_t3,0.0,B,C,timber,,3
C_node7node333_timber_t4,0.0,B,C,timber,,4
C_node7node333_timber_t5,0.0,B,C,timber,,5
C_node7node333_wide_t0,0.0,B,C,wide,,0
C_node7node333_wide_t1,0.0,B,C,wide,,1
C_node7node333_wide_t2,0.0,B,C,wide,,2
C_node7node333_wide_t3,0.0,B,C,wide,,3
C_node7node333_wide_t4,0.0,B,C,wide,,4
C_node7node333_wide_t5,0.0,B,C,wide,,5
C_node8node9_timber_t0,260.0,B,C,timber,,0
C_node8node9_timber_t1,218.91,B,C,timber,,1
C_node8node9_timber_t2,155.19,B,C,timber,,2
C_node8node9_timber_t3,110.02,B,C,timber,,3
C_node8node9_timber_t4,77.99,B,C,timber,,4
C_node8node9_timber_t5,55.29,B,C,timber,,5
C_node8node9_wide_t0,391.0,B,C,wide,,0
C_node8node9_wide_t1,329.21,B,C,wide,,1
C_node8node9_wide_t2,233.38,B,C,wide,,2
C_node8node9_wide_t3,165.45,B,C,wide,,3
C_node8node9_wide_t4,117.29,B,C,wide,,4
C_node8node9_wide_t5,83.15,B,C,wide,,5
C_node8node149_timber_t0,756.0,B,C,timber,,0
C_node8node149_timber_t1,636.53,B,C,timber,,1
C_node8node149_timber_t2,451.25,B,C,timber,,2
C_node8node149_timber_t3,319.9,B,C,timber,,3
C_node8node149_timber_t4,226.78,B,C,timber,,4
C_node8node149_timber_t5,160.77,B,C,timber,,5
C_node8node149_wide_t0,1133.0,B,C,wide,,0
C_node8node149_wide_t1,953.96,B,C,wide,,1
C_node8node149_wide_t2,676.28,B,C,wide,,2
C_node8node149_wide_t3,479.43,B,C,wide,,3
C_node8node149_wide_t4,339.87,B,C,wide,,4
C_node8node149_wide_t5,240.94,B,C,wide,,5
C_node8node332_timber_t0,0.0,B,C,timber,,0
C_node8node332_timber_t1,0.0,B,C,timber,,1
C_node8node332_timber_t2,0.0,B,C,timber,,2
C_node8node332_timber_t3,0.0,B,C,timber,,3
C_node8node332_timber_t4,0.0,B,C,timber,,4
C_node8node332_timber_t5,0.0,B,C,timber,,5
C_node8node332_wide_t0,0.0,B,C,wide,,0
C_node8node332_wide_t1,0.0,B,C,wide,,1
C_node8node332_wide_t2,0.0,B,C,wide,,2
C_node8node332_wide_t3,0.0,B,C,wide,,3
C_node8node332_wide_t4,0.0,B,C,wide,,4
C_node8node332_wide_t5,0.0,B,C,wide,,5
C_node8node333_timber_t0,0.0,B,C,timber,,0
C_node8node333_timber_t1,0.0,B,C,timber,,1
C_node8node333_timber_t2,0.0,B,C,timber,,2
C_node8node333_timber_t3,0.0,B,C,timber,,3
