variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node4node20_wide_t2,0.0,1.0,B,C,wide,node4node20,2,97.89
C_node4node20_wide_t3,0.0,1.0,B,C,wide,node4node20,3,69.4
C_node4node20_wide_t4,0.0,1.0,B,C,wide,node4node20,4,49.2
C_node4node20_wide_t5,0.0,1.0,B,C,wide,node4node20,5,34.88
C_node4node21_timber_t0,0.0,0.0,B,C,timber,node4node21,0,845.0
C_node4node21_timber_t1,0.0,1.0,B,C,timber,node4node21,1,711.47
C_node4node21_timber_t2,0.0,1.0,B,C,timber,node4node21,2,504.37
C_node4node21_timber_t3,0.0,1.0,B,C,timber,node4node21,3,357.56
C_node4node21_timber_t4,0.0,1.0,B,C,timber,node4node21,4,253.48
C_node4node21_timber_t5,0.0,1.0,B,C,timber,node4node21,5,179.7
C_node4node21_wide_t0,0.0,0.0,B,C,wide,node4node21,0,1269.0
C_node4node21_wide_t1,0.0,1.0,B,C,wide,node4node21,1,1068.46
C_node4node21_wide_t2,0.0,1.0,B,C,wide,node4node21,2,757.45
C_node4node21_wide_t3,0.0,1.0,B,C,wide,node4node21,3,536.97
C_node4node21_wide_t4,0.0,1.0,B,C,wide,node4node21,4,380.67
C_node4node21_wide_t5,0.0,1.0,B,C,wide,node4node21,5,269.86
C_node4node32_timber_t0,0.0,0.0,B,C,timber,node4node32,0,0.0
C_node4node32_timber_t1,0.0,1.0,B,C,timber,node4node32,1,0.0
C_node4node32_timber_t2,0.0,1.0,B,C,timber,node4node32,2,0.0
C_node4node32_timber_t3,0.0,1.0,B,C,timber,node4node32,3,0.0
C_node4node32_timber_t4,0.0,1.0,B,C,timber,node4node32,4,0.0
C_node4node32_timber_t5,0.0,1.0,B,C,timber,node4node32,5,0.0
C_node4node32_wide_t0,0.0,0.0,B,C,wide,node4node32,0,0.0
C_node4node32_wide_t1,0.0,1.0,B,C,wide,node4node32,1,0.0
C_node4node32_wide_t2,0.0,1.0,B,C,wide,node4node32,2,0.0
C_node4node32_wide_t3,0.0,1.0,B,C,wide,node4node32,3,0.0
C_node4node32_wide_t4,0.0,1.0,B,C,wide,node4node32,4,0.0
C_node4node32_wide_t5,0.0,1.0,B,C,wide,node4node32,5,0.0
C_node4node33_timber_t0,0.0,0.0,B,C,timber,node4node33,0,0.0
C_node4node33_timber_t1,0.0,1.0,B,C,timber,node4node33,1,0.0
C_node4node33_timber_t2,0.0,1.0,B,C,timber,node4node33,2,0.0
C_node4node33_timber_t3,0.0,1.0,B,C,timber,node4node33,3,0.0
C_node4node33_timber_t4,0.0,1.0,B,C,timber,node4node33,4,0.0
C_node4node33_timber_t5,0.0,1.0,B,C,timber,node4node33,5,0.0
C_node4node33_wide_t0,0.0,0.0,B,C,wide,node4node33,0,0.0
