Node,Stand
"(-16828.42148, 152671.52391)","[848, 1171]"
"(-16820.61138, 152628.39701)","[848, 1171]"
"(-16779.50598, 152588.37601)","[848, 1171]"
"(-16735.47058, 152554.81331)","[848, 1171]"
"(-16698.22868, 152590.89701)","[848, 1171]"
"(-16660.03048, 152548.65151)","[848, 1171]"
"(-16697.21868, 152469.06841)",[848]
"(-17312.57088, 152612.75611)",[848]
"(-17336.32478, 152678.73921)",[848]
"(-17332.35598, 152743.56221)",[848]
"(-17299.28308, 152791.18731)",[848]
"(-17243.72048, 152793.83311)",[848]
"(-17202.70988, 152788.54141)",[848]
"(-16215.24778, 152418.35831)","[1171, 1311]"
"(-16257.30818, 152373.79631)",[1311]
"(-16292.23328, 152313.47121)",[1311]
"(-16308.10828, 152257.37941)",[1311]
"(-16314.45838, 152189.64591)",[1311]
"(-16314.45838, 152111.32921)",[1311]
"(-16316.57498, 152012.90391)",[1311]
"(-16323.98338, 151966.33711)",[1311]
"(-16335.62508, 151929.29541)",[1311]
"(-16348.58828, 152205.48381)","[1301, 1311]"
"(-16346.47168, 152259.45881)","[1301, 1311]"
"(-16377.16338, 152304.96721)","[1301, 1311]"
"(-16408.91348, 152310.25891)","[1301, 1311]"
"(-16462.62528, 152381.74381)","[1301, 1311]"
"(-16392.39018, 152396.01721)",[1311]
"(-16323.33378, 152384.90461)",[1311]
"(-16284.43998, 152405.54221)",[1311]
"(-16278.08988, 152433.32351)",[1311]
"(-16303.48998, 152475.39231)",[1311]
"(-16357.46518, 152539.68631)",[1311]
"(-16403.50268, 152552.38621)",[1311]
"(-16426.52148, 152591.28011)",[1311]
"(-16482.90968, 152606.75281)","[1171, 1311]"
"(-16426.84588, 152615.86461)","[1171, 1311]"
"(-16382.26088, 152612.12731)","[1171, 1311]"
"(-16331.99678, 152593.70421)","[1171, 1311]"
"(-16294.76748, 152571.42291)","[1171, 1311]"
"(-16269.31998, 152536.84941)","[1171, 1311]"
"(-16219.11908, 152424.35961)","[1171, 1311]"
"(-16457.43979, 152382.79762)",[1311]
"(-16458.33776, 152376.03756)",[1311]
"(-16309.70131, 152580.36063)",[1311]
"(-16415.44108, 152572.55802)",[1311]
"(-16782.26198, 152324.62981)",[1301]
"(-16728.02238, 152341.82781)",[1301]
"(-16684.36598, 152329.92151)",[1301]
"(-16639.38668, 152330.58291)",[1301]
"(-16603.00638, 152329.26001)",[1301]
"(-16571.91778, 152359.02571)",[1301]
"(-16564.64178, 152382.17681)",[1301]
"(-16525.61568, 152391.43731)",[1301]
"(-16488.57388, 152362.33301)",[1301]
"(-17165.66828, 152812.35401)",[1171]
"(-17115.39728, 152858.65611)",[1171]
"(-17071.74098, 152886.43741)",[1171]
"(-17002.94918, 152899.66671)",[1171]
"(-16924.89688, 152922.15631)",[1171]
"(-16877.27178, 152926.12501)",[1171]
"(-16848.16758, 152897.02081)",[1171]
"(-16827.04498, 152885.13931)",[1171]
"(-16818.26618, 152857.63971)",[1171]
"(-16818.22828, 152857.63431)",[1171]
"(-16818.12068, 152857.29731)",[1171]
"(-16792.90938, 152853.72251)",[1171]
"(-16787.31328, 152877.17701)",[1171]
"(-16764.82368, 152875.85411)",[1171]
"(-16730.42778, 152861.30201)",[1171]
"(-16701.32358, 152862.62491)",[1171]
"(-16652.37548, 152862.62491)",[1171]
"(-16632.53168, 152845.42691)",[1171]
"(-16570.35448, 152832.19771)",[1171]
"(-16511.31948, 152789.97601)",[1171]
"(-16492.43778, 152797.65291)","[1299, 1171]"
"(-16473.11988, 152781.39761)","[1299, 1171]"
"(-16422.31988, 152794.09771)","[1299, 1171]"
"(-16338.18218, 152743.29751)","[1299, 1171]"
"(-16260.39448, 152681.38501)","[1299, 1171]"
"(-16138.98238, 152692.98151)","[1299, 1171]"
"(-16114.27338, 152684.53441)","[1299, 1171, 820]"
