"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-16482.90968, 152606.75281)","(-16309.70131, 152580.36063)",0.18105823825544284,True,False,1360,486,2040,486,1020,False,"[(-16426.84588, 152615.86461), (-16382.26088, 152612.12731), (-16331.99678, 152593.70421)]"
"(-16482.90968, 152606.75281)","(-16335.19862, 152327.4503)",0.0,False,True,0,0,0,0,0,False,
"(-16482.90968, 152606.75281)","(-16575.29986, 152696.02145)",0.0,False,True,0,0,0,0,0,False,
"(-16224.79708, 152800.02881)","(-16114.27338, 152684.53441)",0.16292179838016554,False,False,1224,438,1836,438,918,False,"[(-16198.39918, 152751.33691)]"
"(-16224.79708, 152800.02881)","(-16120.49752, 152876.47555)",0.1297913825357493,True,False,627,243,941,243,470,False,"[(-16152.51168, 152846.50161)]"
"(-16224.79708, 152800.02881)","(-16045.07031, 152794.84578)",0.0,False,True,0,0,0,0,0,False,
"(-16224.79708, 152800.02881)","(-16339.0747, 152839.66536)",0.0,False,True,0,0,0,0,0,False,
"(-16622.74988, 153187.90091)","(-16626.81713, 153474.47344)",0.37244392743633137,True,False,1799,699,2699,699,1351,False,"[(-16551.31228, 153379.98871), (-16551.32558, 153379.96441), (-16568.62908, 153282.80871)]"
"(-16622.74988, 153187.90091)","(-16144.48283, 153033.32127)",0.8302869779291723,True,False,4013,1561,6016,1561,3009,False,"[(-16587.82478, 153187.90091), (-16490.37628, 153204.78871), (-16457.64958, 153251.08361), (-16419.54948, 153255.84601), (-16419.60708, 153255.47821), (-16419.40388, 153255.50351)]"
"(-16622.74988, 153187.90091)","(-16221.23741, 153236.87723)",0.0,False,True,0,0,0,0,0,False,
"(-17038.09238, 152233.35931)","(-17300.06458, 152209.53081)",0.2733462996381767,False,False,2054,734,3081,734,1541,False,"[(-17229.87178, 152222.88831), (-17171.51058, 152220.19891)]"
"(-17038.09238, 152233.35931)","(-16935.25928, 152275.25061)",0.11923457225829803,False,False,896,320,1344,320,672,False,"[(-16998.58228, 152272.85611)]"
"(-17038.09238, 152233.35931)","(-16806.09839, 152028.12952)",0.0,False,True,0,0,0,0,0,False,
"(-17038.09238, 152233.35931)","(-16632.77399, 152143.35618)",0.0,False,True,0,0,0,0,0,False,
"(-17038.09238, 152233.35931)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-16839.76608, 151970.25821)","(-16633.48113, 151880.35089)",0.45208307815976795,True,False,3397,1213,5096,1213,2547,False,"[(-16632.78268, 151994.73481), (-16579.44418, 151968.02681), (-16563.67468, 151885.47951)]"
"(-16839.76608, 151970.25821)","(-17019.68194, 152006.34884)",0.18441837460510468,True,False,1386,495,2078,495,1039,False,"[(-16940.36178, 151999.07151), (-16986.61308, 152005.51681)]"
"(-16839.76608, 151970.25821)","(-16852.23272, 151877.41965)",0.0,False,True,0,0,0,0,0,False,
"(-16839.76608, 151970.25821)","(-16806.09839, 152028.12952)",0.0,False,True,0,0,0,0,0,False,
"(-16374.17248, 152194.81661)","(-16462.62528, 152381.74381)",0.2582292840444574,True,False,1940,692,2911,692,1454,False,"[(-16348.58828, 152205.48381), (-16346.47168, 152259.45881)]"
"(-16374.17248, 152194.81661)","(-16620.54728, 152242.35931)",0.2587162097631351,True,False,1943,695,2917,695,1458,False,"[(-16437.27098, 152191.87881), (-16493.54768, 152196.56721), (-16545.98968, 152200.99511)]"
"(-16374.17248, 152194.81661)","(-16632.77399, 152143.35618)",0.0,False,True,0,0,0,0,0,False,
"(-16374.17248, 152194.81661)","(-16335.19862, 152327.4503)",0.0,False,True,0,0,0,0,0,False,
"(-16374.17248, 152194.81661)","(-16585.7973, 152284.62888)",0.0,False,True,0,0,0,0,0,False,
"(-17638.85677, 152355.33976)","(-17300.06458, 152209.53081)",0.4989883927742196,False,False,3748,1339,5624,1339,2811,False,"[(-17561.77898, 152293.44861), (-17559.62118, 152256.76621), (-17523.83148, 152245.26231), (-17563.04788, 152294.14071), (-17677.87798, 152322.04841)]"
"(-17638.85677, 152355.33976)","(-17335.13778, 152586.82601)",0.4809747815286315,False,False,2324,903,3485,903,1741,False,"[(-17556.15258, 152446.51531), (-17564.00038, 152434.43381), (-17579.15898, 152419.00891), (-17595.24078, 152403.36941), (-17641.65498, 152356.51191), (-17499.31778, 152531.76691), (-17424.79048, 152631.04271)]"
"(-17638.85677, 152355.33976)","(-17559.14268, 152374.38941)",0.08202359962532665,False,False,397,154,595,154,297,False,"[(-17617.39338, 152361.96461)]"
"(-17638.85677, 152355.33976)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-17638.85677, 152355.33976)","(-17475.20718, 152508.32621)",0.0,False,True,0,0,0,0,0,False,
"(-17300.06458, 152209.53081)","(-17073.27228, 152007.69721)",0.33625347708670233,True,False,2526,903,3791,903,1895,False,"[(-17275.69418, 152187.33791), (-17205.38818, 152169.89251), (-17075.01418, 152016.39591)]"
"(-17300.06458, 152209.53081)","(-16806.09839, 152028.12952)",0.0,False,True,0,0,0,0,0,False,
"(-17300.06458, 152209.53081)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-16548.84028, 151754.86031)","(-16633.48113, 151880.35089)",0.18141561789126082,True,False,1363,487,2045,487,1022,False,"[(-16604.81528, 151785.34631)]"
"(-16548.84028, 151754.86031)","(-16852.23272, 151877.41965)",0.0,False,True,0,0,0,0,0,False,
"(-16548.84028, 151754.86031)","(-16806.09839, 152028.12952)",0.0,False,True,0,0,0,0,0,False,
"(-17559.14268, 152374.38941)","(-17412.91948, 152414.78841)",0.1535607821089166,False,False,1154,413,1731,413,865,False,"[(-17492.41538, 152404.73981)]"
"(-17559.14268, 152374.38941)","(-17335.13778, 152586.82601)",0.32252430360216566,False,False,1563,603,2337,603,1167,False,"[(-17556.46228, 152376.58101)]"
"(-17559.14268, 152374.38941)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-17559.14268, 152374.38941)","(-17318.76859, 152467.39973)",0.0,False,True,0,0,0,0,0,False,
"(-17559.14268, 152374.38941)","(-17475.20718, 152508.32621)",0.0,False,True,0,0,0,0,0,False,
"(-16714.77088, 153771.90811)","(-16795.03704, 153587.87639)",0.37309303561336177,True,False,1802,700,2703,700,1352,False,"[(-16890.89228, 153655.87181), (-16890.89228, 153635.51341), (-16818.01278, 153603.82671), (-16870.25468, 153692.38451)]"
"(-16714.77088, 153771.90811)","(-15612.92631, 153045.89531)",1.6394541443366952,True,False,7920,3079,11877,3079,5939,False,"[(-16078.97798, 153243.63811), (-16162.78758, 153262.05601), (-16210.45508, 153291.82201), (-16269.64538, 153336.17751), (-16304.48518, 153386.81631), (-16362.51978, 153430.49771), (-15993.04808, 153216.53491)]"
"(-16714.77088, 153771.90811)","(-16221.23741, 153236.87723)",0.0,False,True,0,0,0,0,0,False,
"(-17335.13778, 152586.82601)","(-17287.64548, 152561.15991)",0.05398395362049981,False,False,406,145,608,145,304,27.2388,
