ID_UG,timber_1,timber_2,timber_3,timber_4,timber_5,wide_1,wide_2,wide_3,wide_4,wide_5
1328,1,0,1,1,1,0,0,0,0,0
1329,1,0,1,1,1,0,0,0,0,0
1330,1,1,0,1,1,0,0,0,0,0
1331,1,0,0,1,1,1,0,0,0,0
1333,1,1,1,1,1,0,0,0,0,0
1337,1,1,0,1,1,1,1,0,0,0
1339,1,0,1,1,1,0,0,0,0,0
1351,1,1,1,1,1,0,0,0,0,0
1354,1,1,1,1,1,0,0,0,0,0
1355,1,0,0,1,1,0,0,0,0,0
1357,1,1,1,1,1,0,0,0,0,0
1359,1,0,0,1,1,0,0,0,0,0
1360,1,0,0,1,1,0,0,0,0,0
1363,1,0,0,1,1,0,0,0,0,0
1364,1,0,0,1,1,0,0,0,0,0
1369,1,0,0,1,1,0,0,0,0,0
1370,0,1,1,0,0,0,0,0,0,0
1371,1,1,0,1,1,0,0,0,0,0
1377,1,1,0,1,1,0,0,0,0,0
1378,0,1,1,1,1,0,0,0,0,0
1385,1,1,1,1,0,1,1,1,1,1
1387,1,1,1,1,1,0,1,0,0,0
1388,1,1,0,1,1,1,1,1,0,0
1424,1,1,1,1,0,0,0,0,0,0
1431,1,0,0,1,1,0,0,0,0,0
1436,1,0,0,1,1,0,0,0,0,0
1437,1,1,1,1,1,0,1,0,0,0
1439,0,1,0,0,1,0,1,0,0,0
1440,1,1,1,1,1,0,0,0,0,0
1441,0,0,1,1,1,0,0,0,0,0
1442,0,0,1,1,0,0,0,0,0,0
1443,1,0,0,1,1,0,0,0,0,0
1444,1,0,0,1,1,0,0,0,0,0
1445,1,1,0,1,1,0,0,0,0,0
1473,1,0,0,0,1,0,0,0,0,0
1479,1,0,1,1,1,0,0,0,0,0
1480,1,0,0,1,1,0,0,0,0,0
1481,1,1,1,1,1,0,0,0,0,0
1482,1,0,0,1,1,0,0,0,0,0
1483,1,0,1,1,1,0,0,0,0,0
1484,0,0,1,1,1,0,0,0,0,0
1485,1,0,0,1,1,1,0,0,0,0
1487,0,0,1,1,1,0,0,0,0,0
1488,1,0,0,1,1,0,0,0,0,0
1493,1,0,0,1,1,0,0,0,0,0
1494,1,0,1,1,1,0,0,0,0,0
1499,1,1,1,1,1,0,0,0,0,0
1500,0,1,1,1,1,0,0,0,0,0
1505,0,1,1,1,1,0,0,0,0,0
1523,1,0,1,1,1,0,0,0,0,0
1527,1,0,0,1,1,0,0,0,0,0
1530,0,0,1,1,1,0,0,0,0,0
1534,0,1,1,1,1,0,0,0,0,0
1537,1,1,1,1,1,0,0,0,0,0
1538,1,1,1,1,1,0,0,0,0,0
1541,1,0,0,1,1,0,0,0,0,0
1554,0,0,0,0,0,0,0,0,0,0
1555,0,0,0,0,0,0,0,0,1,1
1556,0,0,0,0,0,0,0,0,0,0
1557,0,0,0,0,0,0,0,0,0,1
1558,0,0,0,0,0,1,1,1,1,1
1559,0,0,0,0,0,1,1,1,1,1
1560,0,0,0,0,0,0,0,0,0,1
1561,0,0,0,0,0,0,0,0,0,0
1562,0,0,0,0,0,0,0,0,0,0
1563,0,0,0,0,0,1,1,1,1,1
1564,0,0,0,0,0,0,0,0,0,0
1565,0,0,0,0,0,0,0,0,0,0
1566,0,0,0,0,0,0,0,0,0,0
1567,0,0,0,0,0,0,0,0,0,0
1568,0,0,0,0,0,1,1,1,1,1
1569,0,0,0,0,0,0,0,0,0,0
1573,0,0,0,0,0,0,0,0,0,0
1574,0,0,0,0,0,0,0,0,0,0
1575,0,0,0,0,0,0,0,0,0,0
1576,0,0,0,0,0,0,0,0,0,0
1577,0,0,0,0,0,1,0,1,1,1
1580,0,0,0,0,0,1,1,1,1,1
1581,0,0,0,0,0,1,0,1,1,1
1582,0,0,0,0,0,1,1,1,1,1
1583,0,0,0,0,0,1,0,1,1,1
1584,0,0,0,0,0,1,1,1,1,1
1585,1,0,1,1,1,0,0,1,0,0
1586,0,0,0,0,0,0,0,0,0,1
1587,0,0,0,0,0,0,0,0,0,0
1600,1,1,1,1,1,0,0,0,0,0
1606,1,1,0,1,1,0,0,0,0,0
1611,1,0,0,1,1,0,0,0,0,0
1612,1,0,0,1,1,0,0,0,0,0
1613,1,0,0,1,1,0,0,0,0,0
1614,1,0,0,1,1,0,0,0,0,0
1615,1,0,0,1,1,0,0,0,0,0
1616,1,0,0,1,1,0,0,0,0,0
1620,0,1,1,1,1,0,0,0,0,0
1622,1,0,1,1,1,0,0,0,0,0
1623,1,0,1,1,1,0,0,0,0,0
