variable,coefficient,type,prefix,width,edge,period
C_node6node143_wide_t1,4302.48,B,C,wide,,1
C_node6node143_wide_t2,3050.11,B,C,wide,,2
C_node6node143_wide_t3,2162.28,B,C,wide,,3
C_node6node143_wide_t4,1532.88,B,C,wide,,4
C_node6node143_wide_t5,1086.69,B,C,wide,,5
C_node6node245_timber_t0,0.0,B,C,timber,,0
C_node6node245_timber_t1,0.0,B,C,timber,,1
C_node6node245_timber_t2,0.0,B,C,timber,,2
C_node6node245_timber_t3,0.0,B,C,timber,,3
C_node6node245_timber_t4,0.0,B,C,timber,,4
C_node6node245_timber_t5,0.0,B,C,timber,,5
C_node6node245_wide_t0,0.0,B,C,wide,,0
C_node6node245_wide_t1,0.0,B,C,wide,,1
C_node6node245_wide_t2,0.0,B,C,wide,,2
C_node6node245_wide_t3,0.0,B,C,wide,,3
C_node6node245_wide_t4,0.0,B,C,wide,,4
C_node6node245_wide_t5,0.0,B,C,wide,,5
C_node6node286_timber_t0,0.0,B,C,timber,,0
C_node6node286_timber_t1,0.0,B,C,timber,,1
C_node6node286_timber_t2,0.0,B,C,timber,,2
C_node6node286_timber_t3,0.0,B,C,timber,,3
C_node6node286_timber_t4,0.0,B,C,timber,,4
C_node6node286_timber_t5,0.0,B,C,timber,,5
C_node6node286_wide_t0,0.0,B,C,wide,,0
C_node6node286_wide_t1,0.0,B,C,wide,,1
C_node6node286_wide_t2,0.0,B,C,wide,,2
C_node6node286_wide_t3,0.0,B,C,wide,,3
C_node6node286_wide_t4,0.0,B,C,wide,,4
C_node6node286_wide_t5,0.0,B,C,wide,,5
C_node7node35_timber_t0,476.0,B,C,timber,,0
C_node7node35_timber_t1,400.78,B,C,timber,,1
C_node7node35_timber_t2,284.12,B,C,timber,,2
C_node7node35_timber_t3,201.42,B,C,timber,,3
C_node7node35_timber_t4,142.79,B,C,timber,,4
C_node7node35_timber_t5,101.23,B,C,timber,,5
C_node7node35_wide_t0,714.0,B,C,wide,,0
C_node7node35_wide_t1,601.17,B,C,wide,,1
C_node7node35_wide_t2,426.18,B,C,wide,,2
C_node7node35_wide_t3,302.13,B,C,wide,,3
C_node7node35_wide_t4,214.18,B,C,wide,,4
C_node7node35_wide_t5,151.84,B,C,wide,,5
C_node7node71_timber_t0,590.0,B,C,timber,,0
