893.55 * C_node4node262_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
633.45 * C_node4node262_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
449.07 * C_node4node262_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
318.35 * C_node4node262_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1528.0 * C_node4node190_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1286.53 * C_node4node190_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
912.05 * C_node4node190_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
646.57 * C_node4node190_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
458.36 * C_node4node190_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
324.94 * C_node4node190_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2293.0 * C_node4node190_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1930.64 * C_node4node190_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1368.67 * C_node4node190_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
970.28 * C_node4node190_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
687.85 * C_node4node190_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
487.63 * C_node4node190_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2116.0 * C_node4node246_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1781.62 * C_node4node246_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1263.02 * C_node4node246_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
895.38 * C_node4node246_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
634.75 * C_node4node246_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
449.99 * C_node4node246_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3173.0 * C_node4node246_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2671.58 * C_node4node246_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1893.93 * C_node4node246_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1342.65 * C_node4node246_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
951.83 * C_node4node246_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
674.77 * C_node4node246_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node454_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node454_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node454_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node454_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node454_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node454_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node454_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node454_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node454_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node454_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node454_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node454_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node457_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node457_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node457_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node457_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node457_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node457_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node457_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node457_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node457_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node457_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node457_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node457_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node478_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node478_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node478_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node478_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node478_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node478_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node478_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node478_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node478_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node478_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node478_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node478_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
108.0 * C_node5node58_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
90.93 * C_node5node58_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
64.46 * C_node5node58_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
45.7 * C_node5node58_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
32.4 * C_node5node58_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
22.97 * C_node5node58_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
162.0 * C_node5node58_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
136.4 * C_node5node58_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
96.7 * C_node5node58_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
68.55 * C_node5node58_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
48.6 * C_node5node58_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
34.45 * C_node5node58_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
431.0 * C_node5node105_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
362.89 * C_node5node105_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
257.26 * C_node5node105_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
182.38 * C_node5node105_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
129.29 * C_node5node105_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
91.66 * C_node5node105_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
646.0 * C_node5node105_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
543.91 * C_node5node105_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
385.59 * C_node5node105_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
273.35 * C_node5node105_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
193.79 * C_node5node105_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
137.38 * C_node5node105_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
881.0 * C_node5node123_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
741.78 * C_node5node123_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
525.86 * C_node5node123_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
372.79 * C_node5node123_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
264.28 * C_node5node123_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
187.35 * C_node5node123_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1321.0 * C_node5node123_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1112.25 * C_node5node123_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
788.49 * C_node5node123_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
558.98 * C_node5node123_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
396.27 * C_node5node123_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
280.92 * C_node5node123_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node483_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node483_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node483_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node483_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node483_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node483_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node483_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node483_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node483_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node483_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node483_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node483_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node485_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node485_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node485_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node485_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
