0.0 * C_node2node119_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node119_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node119_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node119_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node119_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node119_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node119_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node119_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node119_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node119_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node119_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node119_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
648.0 * C_node3node87_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
545.6 * C_node3node87_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
386.79 * C_node3node87_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
274.2 * C_node3node87_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
194.39 * C_node3node87_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
137.8 * C_node3node87_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
973.0 * C_node3node87_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
819.24 * C_node3node87_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
580.77 * C_node3node87_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
411.72 * C_node3node87_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
291.88 * C_node3node87_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
206.92 * C_node3node87_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2288.0 * C_node3node71_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1926.43 * C_node3node71_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1365.69 * C_node3node71_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
968.16 * C_node3node71_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
686.35 * C_node3node71_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
486.56 * C_node3node71_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3431.0 * C_node3node71_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2888.81 * C_node3node71_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2047.93 * C_node3node71_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1451.82 * C_node3node71_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1029.22 * C_node3node71_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
729.63 * C_node3node71_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1462.0 * C_node3node13_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1230.96 * C_node3node13_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
872.65 * C_node3node13_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
618.64 * C_node3node13_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
438.57 * C_node3node13_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
310.91 * C_node3node13_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2192.0 * C_node3node13_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1845.61 * C_node3node13_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1308.38 * C_node3node13_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
927.54 * C_node3node13_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
657.55 * C_node3node13_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
466.15 * C_node3node13_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node119_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node119_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node119_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node119_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node119_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node119_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node119_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node119_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node119_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node119_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node119_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node119_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node122_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node122_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node122_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node122_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node122_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node122_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node122_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node122_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node122_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node122_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node122_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node122_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node123_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node123_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node123_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node123_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node123_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node123_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
