ID_UG;nodes
1562;(-19977.49208, 150945.54141),(-20044.01838, 151181.16291),(-19802.28038, 151400.11821),(-19998.12958, 150938.66231),(-19819.83418, 151386.14621),(-19985.91822, 151209.96399)
1561;(-19977.49208, 150945.54141),(-19963.83018, 150618.08921),(-20054.22148, 150799.30591),(-20052.51488, 150708.39651),(-19998.12958, 150938.66231),(-19923.83008, 150612.01551),(-20033.07478, 150852.75251),(-20003.22532, 150752.09398)
1335;(-19977.49208, 150945.54141),(-19191.36898, 151029.55791),(-19710.16768, 151387.89281),(-19424.59208, 150993.18951),(-19370.70038, 151161.18931),(-19819.83418, 151386.14621)
1328;(-19513.78678, 150128.33171),(-19019.12398, 150372.41711),(-19496.24038, 150221.53691),(-18983.95308, 150287.92741),(-19615.11488, 150256.98631),(-19325.76598, 150192.97221),(-19565.48968, 150344.30641),(-19171.50488, 150282.66491),(-19327.41838, 150270.24241),(-19350.41742, 150250.88267)
1566;(-19456.26598, 149523.03911),(-19306.14368, 148894.78911),(-19513.38068, 149765.45801),(-19428.11298, 149037.05491),(-19456.44598, 148951.98991),(-19124.91998, 148407.22751),(-19459.89858, 149553.16851),(-19558.77228, 150381.97331),(-19316.37238, 149204.48681),(-19290.44748, 148761.00281),(-19262.47558, 148636.45441),(-19813.21978, 149952.63661),(-19199.38718, 149193.66081),(-19615.11488, 150256.98631),(-19468.26748, 149588.56111),(-19521.56468, 149716.26611),(-18934.21248, 148675.01851),(-19512.97418, 149576.19011),(-19328.67188, 148799.36141),(-19594.76518, 150380.08471),(-18882.90298, 148623.49641),(-19390.29028, 148885.89851),(-19059.64428, 148210.98651),(-19565.48968, 150344.30641),(-19157.70928, 148287.46081),(-19040.46188, 148237.44491),(-19351.03966, 149144.68212)
1221;(-20701.02498, 151485.82311),(-20741.02698, 151638.04541),(-20819.67598, 151344.84131),(-20971.51108, 152287.29341),(-21087.89608, 152226.05061),(-20945.79298, 152083.71261),(-21072.42327, 151927.00712),(-21084.84774, 152167.13498)
923;(-20372.10118, 150006.43461),(-20620.49458, 149828.36131),(-20046.19378, 150276.43261),(-20314.44328, 150018.54451)
992;(-19306.14368, 148894.78911),(-19428.11298, 149037.05491),(-19123.14698, 149192.34101),(-18859.30088, 149289.38231),(-18637.80958, 149189.57211),(-19027.04257, 149126.83841)
842;(-20894.65738, 152294.33101),(-20561.34198, 152005.92651),(-20373.38968, 151969.16841),(-20971.51108, 152287.29341),(-20621.73578, 152310.44621),(-20945.79298, 152083.71261),(-20379.17318, 152148.13031),(-20680.81871, 152160.5311)
1155;(-20894.65738, 152294.33101),(-21158.80358, 152609.69661),(-20497.87888, 152432.63621),(-20971.51108, 152287.29341),(-21087.89608, 152226.05061),(-20621.73578, 152310.44621),(-20860.12618, 152334.07031)
1168;(-17537.65828, 148721.27571),(-17646.02668, 148639.27291),(-17869.39548, 148970.59911),(-17891.08478, 148831.34611),(-17694.81718, 148980.69431)
1509;(-17537.65828, 148721.27571),(-17646.02668, 148639.27291),(-17706.73578, 148396.23901),(-17034.13538, 148625.85531),(-17387.28037, 148469.91167),(-17274.0746, 148624.45827)
991;(-18304.29958, 148942.83651),(-18063.82948, 149016.35991),(-18449.22798, 148977.22521),(-18305.95808, 149190.03721),(-18149.18868, 149127.79851),(-18256.14705, 149035.06612)
995;(-18304.29958, 148942.83651),(-19124.91998, 148407.22751),(-18706.22858, 148776.81791),(-18549.35658, 148457.21371),(-18924.92008, 148280.89761),(-18882.90298, 148623.49641),(-18449.22798, 148977.22521),(-18467.63448, 148529.93011),(-18664.94384, 148603.76108)
1511;(-18304.29958, 148942.83651),(-17989.05868, 148754.43361),(-17922.61058, 149004.02591),(-18063.82948, 149016.35991),(-18467.63448, 148529.93011),(-18252.27956, 148775.25179)
1581;(-19703.76898, 152276.97771),(-19607.22108, 152387.05381),(-19685.27328, 152289.15781),(-19810.81138, 152250.66961),(-19861.54328, 152278.88761),(-19870.02208, 152274.84941),(-19621.29166, 152384.12801),(-19716.27775, 152303.39347)
1329;(-19428.11298, 149037.05491),(-19199.38718, 149193.66081),(-19123.14698, 149192.34101),(-19262.87982, 149088.7106)
1167;(-18122.11408, 148113.06371),(-17646.02668, 148639.27291),(-17706.73578, 148396.23901),(-17891.08478, 148831.34611),(-17718.22078, 148352.25251),(-18014.39648, 148539.92651),(-17864.62096, 148505.90669)
