"Source(x,y)","Target(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-18836.56688, 150717.75251)","(-18839.92852, 150737.52197)",True,False,33.3998,0.020053233459510506,151,54,226,54,113,
"(-18836.56688, 150717.75251)","(-18914.40984, 150773.38904)",True,False,False,0.09579820750828681,720,257,1079,257,540,"[(-18859.88308, 150736.31071)]"
"(-18836.56688, 150717.75251)","(-19001.43311, 150620.92439)",False,True,False,0.0,0,0,0,0,0,
"(-18836.56688, 150717.75251)","(-18503.4154, 150718.05193)",False,True,False,0.0,0,0,0,0,0,
"(-18676.69798, 150655.24541)","(-18732.89038, 150619.88671)",True,False,False,0.06797613240610215,511,183,766,183,383,"[(-18708.58038, 150643.33911)]"
"(-18676.69798, 150655.24541)","(-18641.97749, 150654.53089)",True,False,33.3998,0.03472784134769237,261,93,391,93,196,
"(-18676.69798, 150655.24541)","(-18503.4154, 150718.05193)",False,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18732.89038, 150619.88671)",False,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18836.56688, 150717.75251)",False,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-19376.89108, 150760.39251)",False,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-19108.27488, 150439.06671)",False,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18707.12948, 150590.32501)",False,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-19207.26706, 150925.01944)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18845.63342, 150416.73626)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18914.40984, 150773.38904)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18728.97474, 150487.73166)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18723.67344, 150609.30989)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-19088.28132, 150702.15719)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-19365.44542, 150724.09402)",True,True,False,0.0,0,0,0,0,0,
"(-19001.43311, 150620.92439)","(-18992.63083, 150373.88496)",True,True,False,0.0,0,0,0,0,0,
"(-18318.00188, 151137.09191)","(-18303.60408, 151178.36641)",True,False,38.96,0.04371362482212986,328,117,493,117,246,
"(-18318.00188, 151137.09191)","(-18736.86298, 151025.51891)",True,False,False,0.732467807894685,5505,1967,8257,1967,4127,"[(-18356.22298, 151109.36171)]"
"(-18318.00188, 151137.09191)","(-18427.88699, 151094.66637)",False,True,False,0.0,0,0,0,0,0,
"(-18736.86298, 151025.51891)","(-18318.00188, 151137.09191)",True,False,False,0.732467807894685,5505,1967,8257,1967,4127,"[(-18356.22298, 151109.36171)]"
"(-18736.86298, 151025.51891)","(-18421.67828, 150899.89761)",False,False,False,0.36873245765892126,2770,990,4157,990,2078,"[(-18450.74658, 150961.30291), (-18506.93828, 150996.76771), (-18714.41488, 151014.72591)]"
"(-18736.86298, 151025.51891)","(-18744.19068, 150939.43291)",False,False,False,0.08651103714712279,650,233,976,233,487,"[(-18744.42488, 150956.45901)]"
"(-18736.86298, 151025.51891)","(-18558.69336, 150891.51983)",False,True,False,0.0,0,0,0,0,0,
"(-18736.86298, 151025.51891)","(-18427.88699, 151094.66637)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18318.00188, 151137.09191)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18421.67828, 150899.89761)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18170.40388, 151299.96901)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18243.94528, 150954.05761)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18303.60408, 151178.36641)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18170.89658, 151068.32181)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18736.86298, 151025.51891)",False,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18195.22776, 151288.42326)",True,True,False,0.0,0,0,0,0,0,
"(-18427.88699, 151094.66637)","(-18148.67365, 151293.83328)",True,True,False,0.0,0,0,0,0,0,
"(-18839.92852, 150737.52197)","(-18836.56688, 150717.75251)",True,False,33.3998,0.020053233459510506,151,54,226,54,113,
"(-18839.92852, 150737.52197)","(-18824.69198, 150844.66351)",True,False,False,0.11483796622885736,863,308,1294,308,648,"[(-18850.44458, 150799.36581)]"
"(-18839.92852, 150737.52197)","(-18503.4154, 150718.05193)",True,True,False,0.0,0,0,0,0,0,
"(-18914.40984, 150773.38904)","(-18836.56688, 150717.75251)",True,False,False,0.09579820750828681,720,257,1079,257,540,"[(-18859.88308, 150736.31071)]"
"(-18914.40984, 150773.38904)","(-19207.26706, 150925.01944)",True,False,False,0.43268483324748486,3251,1159,4876,1159,2440,"[(-19085.08308, 150830.39981), (-18994.06628, 150773.24971)]"
"(-18914.40984, 150773.38904)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
"(-18421.67828, 150899.89761)","(-18408.96258, 150876.72471)",False,False,33.3998,0.026432410425465357,199,71,298,71,149,
"(-18421.67828, 150899.89761)","(-18243.94528, 150954.05761)",False,False,False,0.19934727989247913,1498,535,2247,535,1124,"[(-18387.03978, 150940.21981)]"
"(-18421.67828, 150899.89761)","(-18736.86298, 151025.51891)",False,False,False,0.36873245765892126,2770,990,4157,990,2078,"[(-18450.74658, 150961.30291), (-18506.93828, 150996.76771), (-18714.41488, 151014.72591)]"
"(-18421.67828, 150899.89761)","(-18558.69336, 150891.51983)",False,True,False,0.0,0,0,0,0,0,
"(-18421.67828, 150899.89761)","(-18427.88699, 151094.66637)",False,True,False,0.0,0,0,0,0,0,
"(-18243.94528, 150954.05761)","(-18421.67828, 150899.89761)",False,False,False,0.19934727989247913,1498,535,2247,535,1124,"[(-18387.03978, 150940.21981)]"
"(-18243.94528, 150954.05761)","(-18234.46732, 150949.12638)",True,False,38.96,0.010684042075655589,80,29,120,29,60,
"(-18243.94528, 150954.05761)","(-18170.89658, 151068.32181)",True,False,False,0.14519162664402216,1091,390,1637,390,818,"[(-18186.06168, 150996.47491)]"
"(-18243.94528, 150954.05761)","(-18427.88699, 151094.66637)",False,True,False,0.0,0,0,0,0,0,
"(-18243.94528, 150954.05761)","(-18025.95797, 151093.10813)",False,True,False,0.0,0,0,0,0,0,
"(-18558.69336, 150891.51983)","(-18421.67828, 150899.89761)",False,True,False,0.0,0,0,0,0,0,
"(-18558.69336, 150891.51983)","(-18744.19068, 150939.43291)",False,True,False,0.0,0,0,0,0,0,
"(-18558.69336, 150891.51983)","(-18408.96258, 150876.72471)",False,True,False,0.0,0,0,0,0,0,
"(-18558.69336, 150891.51983)","(-18690.70598, 150788.11461)",False,True,False,0.0,0,0,0,0,0,
"(-18558.69336, 150891.51983)","(-18736.86298, 151025.51891)",False,True,False,0.0,0,0,0,0,0,
"(-19376.89108, 150760.39251)","(-19365.44542, 150724.09402)",True,False,30.4836,0.03806026154819302,286,102,429,102,215,
"(-19376.89108, 150760.39251)","(-19207.26706, 150925.01944)",True,False,False,0.26478662895754,1990,710,2985,710,1493,"[(-19223.00218, 150917.27131)]"
"(-19376.89108, 150760.39251)","(-19001.43311, 150620.92439)",False,True,False,0.0,0,0,0,0,0,
"(-19365.44542, 150724.09402)","(-19376.89108, 150760.39251)",True,False,30.4836,0.03806026154819302,286,102,429,102,215,
"(-19365.44542, 150724.09402)","(-19088.28132, 150702.15719)",True,False,False,0.32376240357281727,2433,869,3651,869,1824,"[(-19361.29208, 150710.92221), (-19231.07798, 150758.08451)]"
"(-19365.44542, 150724.09402)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
