"Node1(x,y)","Node2(x,y)"
"(-14778.634, 146426.8089)","(-14790.0579, 146378.7783)"
"(-14790.0579, 146378.7783)","(-14794.3834, 146333.0311)"
"(-14794.3834, 146333.0311)","(-14794.2013, 146332.7875)"
"(-14761.304, 146289.6486)","(-14761.0225, 146289.2718)"
"(-14761.0225, 146289.2718)","(-14775.8557, 146248.5684)"
"(-14775.8557, 146248.5684)","(-14814.0181, 146226.321)"
"(-14814.0181, 146226.321)","(-14852.5924, 146199.4226)"
"(-14852.5924, 146199.4226)","(-14909.9074, 146188.525)"
"(-14909.9074, 146188.525)","(-14971.3629, 146174.8936)"
"(-14971.3629, 146174.8936)","(-15012.5175, 146136.2126)"
"(-15012.5175, 146136.2126)","(-15023.3473, 146111.9012)"
"(-15023.3473, 146111.9012)","(-15031.4245, 146093.7693)"
"(-15031.4245, 146093.7693)","(-15062.9331, 146060.328)"
"(-15062.9331, 146060.328)","(-15084.4384, 146019.897)"
"(-15084.4384, 146019.897)","(-15110.5151, 145961.4129)"
"(-15110.5151, 145961.4129)","(-15132.7402, 145902.1461)"
"(-15132.7402, 145902.1461)","(-15158.2172, 145848.5293)"
"(-15158.2172, 145848.5293)","(-15232.3215, 145844.5783)"
"(-15232.3215, 145844.5783)","(-15232.5263, 145844.7059)"
"(-15232.5263, 145844.7059)","(-15232.4657, 145844.9209)"
"(-15232.4657, 145844.9209)","(-15292.8237, 145882.5389)"
"(-15292.8237, 145882.5389)","(-15282.155, 145929.1411)"
"(-15282.155, 145929.1411)","(-15245.5376, 145986.6579)"
"(-15245.5376, 145986.6579)","(-15170.661, 146057.9993)"
"(-15170.661, 146057.9993)","(-15147.5469, 146095.1645)"
"(-15147.5469, 146095.1645)","(-15154.4154, 146158.665)"
"(-15154.4154, 146158.665)","(-15101.8375, 146202.9281)"
"(-15101.8375, 146202.9281)","(-15048.5038, 146223.7008)"
"(-15048.5038, 146223.7008)","(-14967.4398, 146230.588)"
"(-14967.4398, 146230.588)","(-14902.965, 146258.3702)"
"(-14902.965, 146258.3702)","(-14850.4857, 146304.1778)"
"(-14850.4857, 146304.1778)","(-14794.2013, 146332.7875)"
"(-14794.2013, 146332.7875)","(-14761.684, 146289.2719)"
"(-14761.684, 146289.2719)","(-14761.304, 146289.6486)"
"(-14730.6864, 146075.2006)","(-14720.93, 146024.1133)"
"(-14720.93, 146024.1133)","(-14766.4691, 145983.1524)"
"(-14766.4691, 145983.1524)","(-14824.6061, 145984.2624)"
"(-14824.6061, 145984.2624)","(-14829.6406, 145965.9766)"
"(-14829.6406, 145965.9766)","(-14849.1724, 145957.378)"
"(-14849.1724, 145957.378)","(-14874.5725, 145927.2155)"
"(-14874.5725, 145927.2155)","(-14917.435, 145912.1342)"
"(-14917.435, 145912.1342)","(-14967.7206, 145927.7926)"
"(-14967.7206, 145927.7926)","(-15005.5415, 145960.553)"
"(-15005.5415, 145960.553)","(-14999.2972, 146002.1267)"
"(-14999.2972, 146002.1267)","(-15034.5134, 145994.5652)"
"(-15034.5134, 145994.5652)","(-15021.2842, 146050.1279)"
"(-15021.2842, 146050.1279)","(-15023.3473, 146111.9012)"
"(-15023.3473, 146111.9012)","(-15012.5175, 146136.2126)"
"(-15012.5175, 146136.2126)","(-14971.3629, 146174.8936)"
"(-14971.3629, 146174.8936)","(-14909.9074, 146188.525)"
"(-14909.9074, 146188.525)","(-14852.5924, 146199.4226)"
"(-14852.5924, 146199.4226)","(-14814.0181, 146226.321)"
"(-14814.0181, 146226.321)","(-14775.8557, 146248.5684)"
"(-14775.8557, 146248.5684)","(-14744.5817, 146207.4696)"
"(-14744.5817, 146207.4696)","(-14734.7883, 146139.2315)"
"(-14734.7883, 146139.2315)","(-14732.6421, 146085.4409)"
"(-14732.6421, 146085.4409)","(-14730.6864, 146075.2006)"
"(-13317.2057, 146645.0461)","(-13345.4341, 146644.9905)"
"(-13345.4341, 146644.9905)","(-13392.7905, 146645.3571)"
"(-13392.7905, 146645.3571)","(-13399.1605, 146660.2333)"
"(-13399.1605, 146660.2333)","(-13415.429, 146681.1816)"
"(-13415.429, 146681.1816)","(-13434.7737, 146706.0911)"
"(-13434.7737, 146706.0911)","(-13457.1044, 146734.8459)"
"(-13457.1044, 146734.8459)","(-13477.6693, 146758.721)"
"(-13477.6693, 146758.721)","(-13499.0656, 146783.5614)"
"(-13499.0656, 146783.5614)","(-13515.0662, 146852.0819)"
"(-13515.0662, 146852.0819)","(-13499.0988, 146920.5399)"
"(-13499.0988, 146920.5399)","(-13449.7354, 146986.3471)"
"(-13449.7354, 146986.3471)","(-13382.3752, 146986.3228)"
"(-13382.3752, 146986.3228)","(-13342.8469, 146958.6427)"
"(-13342.8469, 146958.6427)","(-13328.5199, 146892.4112)"
"(-13328.5199, 146892.4112)","(-13311.0366, 146845.8263)"
"(-13311.0366, 146845.8263)","(-13313.5792, 146786.7864)"
"(-13313.5792, 146786.7864)","(-13308.9972, 146719.9365)"
"(-13308.9972, 146719.9365)","(-13317.2057, 146645.0461)"
"(-13566.5874, 146587.7285)","(-13617.5746, 146570.2088)"
"(-13617.5746, 146570.2088)","(-13639.2463, 146513.8909)"
"(-13639.2463, 146513.8909)","(-13691.2896, 146490.8261)"
"(-13691.2896, 146490.8261)","(-13744.3827, 146502.4763)"
"(-13744.3827, 146502.4763)","(-13801.9243, 146493.877)"
"(-13801.9243, 146493.877)","(-13867.2993, 146430.126)"
"(-13867.2993, 146430.126)","(-13878.966, 146483.4204)"
"(-13878.966, 146483.4204)","(-13923.0432, 146546.8767)"
"(-13923.0432, 146546.8767)","(-13853.3425, 146556.9474)"
"(-13853.3425, 146556.9474)","(-13815.664, 146585.8803)"
"(-13815.664, 146585.8803)","(-13805.6841, 146637.2951)"
"(-13805.6841, 146637.2951)","(-13776.3922, 146693.6031)"
"(-13776.3922, 146693.6031)","(-13746.4909, 146743.9346)"
"(-13746.4909, 146743.9346)","(-13726.3169, 146801.6569)"
"(-13726.3169, 146801.6569)","(-13683.7101, 146847.7003)"
"(-13683.7101, 146847.7003)","(-13647.3029, 146759.6399)"
"(-13647.3029, 146759.6399)","(-13616.8757, 146713.3378)"
"(-13616.8757, 146713.3378)","(-13583.8027, 146667.0356)"
"(-13583.8027, 146667.0356)","(-13571.8965, 146635.2855)"
"(-13571.8965, 146635.2855)","(-13562.636, 146610.15)"
"(-13562.636, 146610.15)","(-13566.5874, 146587.7285)"
"(-13923.0432, 146546.8767)","(-13958.6525, 146595.9264)"
"(-13958.6525, 146595.9264)","(-13983.788, 146643.5514)"
"(-13983.788, 146643.5514)","(-14056.5485, 146765.26)"
"(-14056.5485, 146765.26)","(-14105.4965, 146849.9269)"
"(-14105.4965, 146849.9269)","(-14033.051, 146920.9174)"
"(-14033.051, 146920.9174)","(-13958.2559, 146932.3634)"
"(-13958.2559, 146932.3634)","(-13910.8232, 146974.7825)"
"(-13910.8232, 146974.7825)","(-13855.1699, 146996.1502)"
"(-13855.1699, 146996.1502)","(-13800.0192, 147012.3886)"
"(-13800.0192, 147012.3886)","(-13730.545, 147038.3216)"
"(-13730.545, 147038.3216)","(-13687.9127, 147043.539)"
"(-13687.9127, 147043.539)","(-13665.6817, 147046.2597)"
"(-13665.6817, 147046.2597)","(-13620.5873, 146999.5969)"
"(-13620.5873, 146999.5969)","(-13634.2785, 146949.0848)"
"(-13634.2785, 146949.0848)","(-13665.2021, 146902.1846)"
"(-13665.2021, 146902.1846)","(-13683.7101, 146847.7003)"
"(-13683.7101, 146847.7003)","(-13726.3169, 146801.6569)"
"(-13726.3169, 146801.6569)","(-13746.4909, 146743.9346)"
"(-13746.4909, 146743.9346)","(-13776.3922, 146693.6031)"
"(-13776.3922, 146693.6031)","(-13805.6841, 146637.2951)"
"(-13805.6841, 146637.2951)","(-13815.664, 146585.8803)"
"(-13815.664, 146585.8803)","(-13853.3425, 146556.9474)"
"(-13853.3425, 146556.9474)","(-13923.0432, 146546.8767)"
"(-14033.051, 146920.9174)","(-14105.4965, 146849.9269)"
"(-14105.4965, 146849.9269)","(-14056.5485, 146765.26)"
"(-14056.5485, 146765.26)","(-13983.788, 146643.5514)"
"(-13983.788, 146643.5514)","(-13958.6525, 146595.9264)"
"(-13958.6525, 146595.9264)","(-13923.0432, 146546.8767)"
"(-13923.0432, 146546.8767)","(-13878.966, 146483.4204)"
"(-13878.966, 146483.4204)","(-13867.2993, 146430.126)"
"(-13867.2993, 146430.126)","(-13909.6116, 146435.4676)"
"(-13909.6116, 146435.4676)","(-13960.8856, 146480.0702)"
"(-13960.8856, 146480.0702)","(-14046.529, 146455.3339)"
"(-14046.529, 146455.3339)","(-14075.9576, 146418.497)"
"(-14075.9576, 146418.497)","(-14114.3551, 146385.8468)"
"(-14114.3551, 146385.8468)","(-14175.4321, 146400.3018)"
"(-14175.4321, 146400.3018)","(-14252.5577, 146429.076)"
"(-14252.5577, 146429.076)","(-14333.9174, 146411.9651)"
"(-14333.9174, 146411.9651)","(-14333.3671, 146462.0803)"
"(-14333.3671, 146462.0803)","(-14291.5287, 146498.9317)"
"(-14291.5287, 146498.9317)","(-14304.336, 146544.1189)"
"(-14304.336, 146544.1189)","(-14348.2452, 146554.6231)"
"(-14348.2452, 146554.6231)","(-14364.2094, 146600.5276)"
"(-14364.2094, 146600.5276)","(-14406.0521, 146629.2699)"
"(-14406.0521, 146629.2699)","(-14441.8783, 146664.0898)"
"(-14441.8783, 146664.0898)","(-14495.7736, 146681.8828)"
"(-14495.7736, 146681.8828)","(-14533.3722, 146722.2974)"
"(-14533.3722, 146722.2974)","(-14478.2559, 146750.863)"
"(-14478.2559, 146750.863)","(-14414.755, 146780.3815)"
"(-14414.755, 146780.3815)","(-14366.6427, 146796.4774)"
"(-14366.6427, 146796.4774)","(-14291.5929, 146822.3352)"
"(-14291.5929, 146822.3352)","(-14213.842, 146845.2369)"
"(-14213.842, 146845.2369)","(-14160.0342, 146867.3407)"
"(-14160.0342, 146867.3407)","(-14108.2041, 146902.4902)"
"(-14108.2041, 146902.4902)","(-14077.4772, 146945.9701)"
"(-14077.4772, 146945.9701)","(-14033.051, 146920.9174)"
"(-13641.6918, 146242.392)","(-13716.9058, 146248.9459)"
"(-13716.9058, 146248.9459)","(-13760.8985, 146274.2153)"
"(-13760.8985, 146274.2153)","(-13816.0853, 146267.7428)"
"(-13816.0853, 146267.7428)","(-13784.1085, 146314.1284)"
"(-13784.1085, 146314.1284)","(-13771.3795, 146374.6099)"
"(-13771.3795, 146374.6099)","(-13718.0216, 146401.6767)"
"(-13718.0216, 146401.6767)","(-13670.4689, 146412.3591)"
