variable,lb,ub,type,edge,period,road_type
flow_timber_node158node30_t1,0.0,9.0,I,node158node30,1,timber
flow_timber_node158node30_t2,0.0,9.0,I,node158node30,2,timber
flow_timber_node158node30_t3,0.0,9.0,I,node158node30,3,timber
flow_timber_node158node30_t4,0.0,9.0,I,node158node30,4,timber
flow_timber_node158node30_t5,0.0,9.0,I,node158node30,5,timber
flow_wide_node158node30_t1,0.0,9.0,I,node158node30,1,wide
flow_wide_node158node30_t2,0.0,9.0,I,node158node30,2,wide
flow_wide_node158node30_t3,0.0,9.0,I,node158node30,3,wide
flow_wide_node158node30_t4,0.0,9.0,I,node158node30,4,wide
flow_wide_node158node30_t5,0.0,9.0,I,node158node30,5,wide
flow_timber_node158node211_t1,0.0,9.0,I,node158node211,1,timber
flow_timber_node158node211_t2,0.0,9.0,I,node158node211,2,timber
flow_timber_node158node211_t3,0.0,9.0,I,node158node211,3,timber
flow_timber_node158node211_t4,0.0,9.0,I,node158node211,4,timber
flow_timber_node158node211_t5,0.0,9.0,I,node158node211,5,timber
flow_wide_node158node211_t1,0.0,9.0,I,node158node211,1,wide
flow_wide_node158node211_t2,0.0,9.0,I,node158node211,2,wide
flow_wide_node158node211_t3,0.0,9.0,I,node158node211,3,wide
flow_wide_node158node211_t4,0.0,9.0,I,node158node211,4,wide
flow_wide_node158node211_t5,0.0,9.0,I,node158node211,5,wide
flow_timber_node158node289_t1,0.0,9.0,I,node158node289,1,timber
flow_timber_node158node289_t2,0.0,9.0,I,node158node289,2,timber
flow_timber_node158node289_t3,0.0,9.0,I,node158node289,3,timber
flow_timber_node158node289_t4,0.0,9.0,I,node158node289,4,timber
flow_timber_node158node289_t5,0.0,9.0,I,node158node289,5,timber
flow_wide_node158node289_t1,0.0,9.0,I,node158node289,1,wide
flow_wide_node158node289_t2,0.0,9.0,I,node158node289,2,wide
flow_wide_node158node289_t3,0.0,9.0,I,node158node289,3,wide
flow_wide_node158node289_t4,0.0,9.0,I,node158node289,4,wide
flow_wide_node158node289_t5,0.0,9.0,I,node158node289,5,wide
flow_timber_node158node290_t1,0.0,9.0,I,node158node290,1,timber
flow_timber_node158node290_t2,0.0,9.0,I,node158node290,2,timber
flow_timber_node158node290_t3,0.0,9.0,I,node158node290,3,timber
flow_timber_node158node290_t4,0.0,9.0,I,node158node290,4,timber
flow_timber_node158node290_t5,0.0,9.0,I,node158node290,5,timber
flow_wide_node158node290_t1,0.0,9.0,I,node158node290,1,wide
flow_wide_node158node290_t2,0.0,9.0,I,node158node290,2,wide
flow_wide_node158node290_t3,0.0,9.0,I,node158node290,3,wide
flow_wide_node158node290_t4,0.0,9.0,I,node158node290,4,wide
flow_wide_node158node290_t5,0.0,9.0,I,node158node290,5,wide
flow_timber_node158node292_t1,0.0,9.0,I,node158node292,1,timber
flow_timber_node158node292_t2,0.0,9.0,I,node158node292,2,timber
flow_timber_node158node292_t3,0.0,9.0,I,node158node292,3,timber
flow_timber_node158node292_t4,0.0,9.0,I,node158node292,4,timber
flow_timber_node158node292_t5,0.0,9.0,I,node158node292,5,timber
flow_wide_node158node292_t1,0.0,9.0,I,node158node292,1,wide
flow_wide_node158node292_t2,0.0,9.0,I,node158node292,2,wide
flow_wide_node158node292_t3,0.0,9.0,I,node158node292,3,wide
flow_wide_node158node292_t4,0.0,9.0,I,node158node292,4,wide
flow_wide_node158node292_t5,0.0,9.0,I,node158node292,5,wide
flow_timber_node204node1_t1,0.0,9.0,I,node204node1,1,timber
flow_timber_node204node1_t2,0.0,9.0,I,node204node1,2,timber
flow_timber_node204node1_t3,0.0,9.0,I,node204node1,3,timber
flow_timber_node204node1_t4,0.0,9.0,I,node204node1,4,timber
flow_timber_node204node1_t5,0.0,9.0,I,node204node1,5,timber
flow_wide_node204node1_t1,0.0,9.0,I,node204node1,1,wide
flow_wide_node204node1_t2,0.0,9.0,I,node204node1,2,wide
flow_wide_node204node1_t3,0.0,9.0,I,node204node1,3,wide
flow_wide_node204node1_t4,0.0,9.0,I,node204node1,4,wide
flow_wide_node204node1_t5,0.0,9.0,I,node204node1,5,wide
flow_timber_node204node87_t1,0.0,9.0,I,node204node87,1,timber
flow_timber_node204node87_t2,0.0,9.0,I,node204node87,2,timber
flow_timber_node204node87_t3,0.0,9.0,I,node204node87,3,timber
flow_timber_node204node87_t4,0.0,9.0,I,node204node87,4,timber
flow_timber_node204node87_t5,0.0,9.0,I,node204node87,5,timber
flow_wide_node204node87_t1,0.0,9.0,I,node204node87,1,wide
flow_wide_node204node87_t2,0.0,9.0,I,node204node87,2,wide
flow_wide_node204node87_t3,0.0,9.0,I,node204node87,3,wide
flow_wide_node204node87_t4,0.0,9.0,I,node204node87,4,wide
flow_wide_node204node87_t5,0.0,9.0,I,node204node87,5,wide
flow_timber_node204node211_t1,0.0,9.0,I,node204node211,1,timber
flow_timber_node204node211_t2,0.0,9.0,I,node204node211,2,timber
flow_timber_node204node211_t3,0.0,9.0,I,node204node211,3,timber
flow_timber_node204node211_t4,0.0,9.0,I,node204node211,4,timber
flow_timber_node204node211_t5,0.0,9.0,I,node204node211,5,timber
flow_wide_node204node211_t1,0.0,9.0,I,node204node211,1,wide
flow_wide_node204node211_t2,0.0,9.0,I,node204node211,2,wide
flow_wide_node204node211_t3,0.0,9.0,I,node204node211,3,wide
flow_wide_node204node211_t4,0.0,9.0,I,node204node211,4,wide
flow_wide_node204node211_t5,0.0,9.0,I,node204node211,5,wide
flow_timber_node204node288_t1,0.0,9.0,I,node204node288,1,timber
flow_timber_node204node288_t2,0.0,9.0,I,node204node288,2,timber
flow_timber_node204node288_t3,0.0,9.0,I,node204node288,3,timber
flow_timber_node204node288_t4,0.0,9.0,I,node204node288,4,timber
flow_timber_node204node288_t5,0.0,9.0,I,node204node288,5,timber
flow_wide_node204node288_t1,0.0,9.0,I,node204node288,1,wide
flow_wide_node204node288_t2,0.0,9.0,I,node204node288,2,wide
flow_wide_node204node288_t3,0.0,9.0,I,node204node288,3,wide
flow_wide_node204node288_t4,0.0,9.0,I,node204node288,4,wide
flow_wide_node204node288_t5,0.0,9.0,I,node204node288,5,wide
flow_timber_node204node289_t1,0.0,9.0,I,node204node289,1,timber
flow_timber_node204node289_t2,0.0,9.0,I,node204node289,2,timber
flow_timber_node204node289_t3,0.0,9.0,I,node204node289,3,timber
flow_timber_node204node289_t4,0.0,9.0,I,node204node289,4,timber
flow_timber_node204node289_t5,0.0,9.0,I,node204node289,5,timber
