0.0 * C_node2node180_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node180_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node180_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node180_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node180_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node180_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node180_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node180_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node180_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node180_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node180_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node180_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node210_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node210_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node210_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node210_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node210_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node210_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node210_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node210_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node210_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node210_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node210_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node210_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1298.0 * C_node3node57_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1092.88 * C_node3node57_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
774.76 * C_node3node57_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
549.24 * C_node3node57_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
389.37 * C_node3node57_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
276.03 * C_node3node57_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1946.0 * C_node3node57_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1638.48 * C_node3node57_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1161.55 * C_node3node57_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
823.44 * C_node3node57_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
583.75 * C_node3node57_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
413.83 * C_node3node57_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2716.0 * C_node3node74_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2286.8 * C_node3node74_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1621.15 * C_node3node74_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1149.27 * C_node3node74_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
814.74 * C_node3node74_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
577.58 * C_node3node74_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4073.0 * C_node3node74_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3429.36 * C_node3node74_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2431.14 * C_node3node74_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1723.48 * C_node3node74_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1221.81 * C_node3node74_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
866.16 * C_node3node74_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2677.0 * C_node3node67_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2253.96 * C_node3node67_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1597.88 * C_node3node67_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1132.76 * C_node3node67_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
803.04 * C_node3node67_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
569.29 * C_node3node67_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4016.0 * C_node3node67_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3381.36 * C_node3node67_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2397.11 * C_node3node67_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1699.36 * C_node3node67_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1204.71 * C_node3node67_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
854.04 * C_node3node67_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node194_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node194_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node194_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node194_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node194_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node194_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node194_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node194_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node194_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node194_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node194_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node194_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node197_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node197_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node197_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node197_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
