variable,value,node_type_info,action,road_type,edge,period
C_node169node371_timber_t1,1.0,node169transit_node371source,C,timber,node169node371,1.0
C_node170node363_wide_t1,1.0,node170transit_node363source,C,wide,node170node363,1.0
C_node170node364_timber_t1,1.0,node170transit_node364source,C,timber,node170node364,1.0
C_node171node322_timber_t1,1.0,node171transit_node322source,C,timber,node171node322,1.0
C_node171node324_wide_t1,1.0,node171transit_node324source,C,wide,node171node324,1.0
C_node171node337_timber_t1,1.0,node171transit_node337source,C,timber,node171node337,1.0
C_node172node341_timber_t1,1.0,node172transit_node341source,C,timber,node172node341,1.0
C_node172node342_timber_t1,1.0,node172transit_node342source,C,timber,node172node342,1.0
C_node173node300_timber_t1,1.0,node173transit_node300source,C,timber,node173node300,1.0
C_node173node301_wide_t1,1.0,node173transit_node301source,C,wide,node173node301,1.0
C_node174node302_timber_t1,1.0,node174transit_node302source,C,timber,node174node302,1.0
C_node176node315_timber_t1,1.0,node176transit_node315source,C,timber,node176node315,1.0
C_node176node327_timber_t1,1.0,node176transit_node327source,C,timber,node176node327,1.0
C_node177node265_timber_t1,1.0,node177transit_node265exit,C,timber,node177node265,1.0
C_node178node365_wide_t1,1.0,node178transit_node365source,C,wide,node178node365,1.0
C_node178node366_wide_t1,1.0,node178transit_node366source,C,wide,node178node366,1.0
C_node180node299_wide_t1,1.0,node180transit_node299source,C,wide,node180node299,1.0
C_node182node342_timber_t1,1.0,node182transit_node342source,C,timber,node182node342,1.0
C_node184node299_timber_t1,1.0,node184transit_node299source,C,timber,node184node299,1.0
C_node184node300_timber_t1,1.0,node184transit_node300source,C,timber,node184node300,1.0
C_node186node304_timber_t1,1.0,node186transit_node304source,C,timber,node186node304,1.0
C_node187node306_timber_t1,1.0,node187transit_node306source,C,timber,node187node306,1.0
C_node187node317_timber_t1,1.0,node187transit_node317source,C,timber,node187node317,1.0
C_node188node238_timber_t1,1.0,node188transit_node238exit,C,timber,node188node238,1.0
C_node188node304_timber_t1,1.0,node188transit_node304source,C,timber,node188node304,1.0
C_node188node304_timber_t4,1.0,node188transit_node304source,C,timber,node188node304,4.0
C_node189node315_wide_t1,1.0,node189transit_node315source,C,wide,node189node315,1.0
C_node190node320_timber_t1,1.0,node190transit_node320source,C,timber,node190node320,1.0
C_node190node323_timber_t1,1.0,node190transit_node323source,C,timber,node190node323,1.0
C_node195node361_wide_t1,1.0,node195transit_node361source,C,wide,node195node361,1.0
C_node195node366_timber_t1,1.0,node195transit_node366source,C,timber,node195node366,1.0
C_node197node310_timber_t1,1.0,node197transit_node310source,C,timber,node197node310,1.0
C_node197node313_timber_t1,1.0,node197transit_node313source,C,timber,node197node313,1.0
C_node199node332_timber_t1,1.0,node199transit_node332source,C,timber,node199node332,1.0
C_node201node299_timber_t1,1.0,node201transit_node299source,C,timber,node201node299,1.0
C_node201node300_timber_t1,1.0,node201transit_node300source,C,timber,node201node300,1.0
C_node202node337_wide_t1,1.0,node202exit_node337source,C,wide,node202node337,1.0
C_node203node324_timber_t1,1.0,node203transit_node324source,C,timber,node203node324,1.0
C_node204node288_timber_t1,1.0,node204transit_node288source,C,timber,node204node288,1.0
C_node204node289_timber_t1,1.0,node204transit_node289source,C,timber,node204node289,1.0
C_node204node289_wide_t4,1.0,node204transit_node289source,C,wide,node204node289,4.0
C_node205node318_timber_t1,1.0,node205transit_node318source,C,timber,node205node318,1.0
C_node205node320_timber_t1,1.0,node205transit_node320source,C,timber,node205node320,1.0
C_node205node322_timber_t1,1.0,node205transit_node322source,C,timber,node205node322,1.0
C_node207node337_timber_t1,1.0,node207transit_node337source,C,timber,node207node337,1.0
C_node208node337_timber_t1,1.0,node208transit_node337source,C,timber,node208node337,1.0
C_node210node364_wide_t1,1.0,node210transit_node364source,C,wide,node210node364,1.0
C_node211node289_timber_t1,1.0,node211transit_node289source,C,timber,node211node289,1.0
C_node211node289_wide_t4,1.0,node211transit_node289source,C,wide,node211node289,4.0
C_node214node324_timber_t1,1.0,node214transit_node324source,C,timber,node214node324,1.0
C_node218node301_timber_t1,1.0,node218transit_node301source,C,timber,node218node301,1.0
C_node218node302_timber_t1,1.0,node218transit_node302source,C,timber,node218node302,1.0
C_node244node322_timber_t1,1.0,node244exit_node322source,C,timber,node244node322,1.0
C_node244node324_timber_t1,1.0,node244exit_node324source,C,timber,node244node324,1.0
C_node245node324_timber_t1,1.0,node245exit_node324source,C,timber,node245node324,1.0
C_node246node324_timber_t1,1.0,node246exit_node324source,C,timber,node246node324,1.0
C_node246node337_timber_t1,1.0,node246exit_node337source,C,timber,node246node337,1.0
C_node252node335_timber_t1,1.0,node252exit_node335source,C,timber,node252node335,1.0
C_node255node335_timber_t1,1.0,node255exit_node335source,C,timber,node255node335,1.0
M_node1node158_timber_t2,1.0,node1transit_node158transit,M,timber,node1node158,2.0
M_node1node158_timber_t3,1.0,node1transit_node158transit,M,timber,node1node158,3.0
M_node1node158_timber_t4,1.0,node1transit_node158transit,M,timber,node1node158,4.0
M_node1node158_timber_t5,1.0,node1transit_node158transit,M,timber,node1node158,5.0
M_node1node288_timber_t2,1.0,node1transit_node288source,M,timber,node1node288,2.0
M_node1node288_timber_t3,1.0,node1transit_node288source,M,timber,node1node288,3.0
M_node1node288_timber_t4,1.0,node1transit_node288source,M,timber,node1node288,4.0
M_node1node288_timber_t5,1.0,node1transit_node288source,M,timber,node1node288,5.0
M_node1node289_timber_t2,1.0,node1transit_node289source,M,timber,node1node289,2.0
M_node1node289_timber_t5,1.0,node1transit_node289source,M,timber,node1node289,5.0
M_node2node364_wide_t2,1.0,node2transit_node364source,M,wide,node2node364,2.0
M_node2node364_wide_t3,1.0,node2transit_node364source,M,wide,node2node364,3.0
M_node2node364_wide_t4,1.0,node2transit_node364source,M,wide,node2node364,4.0
M_node2node364_wide_t5,1.0,node2transit_node364source,M,wide,node2node364,5.0
M_node2node366_timber_t2,1.0,node2transit_node366source,M,timber,node2node366,2.0
M_node2node366_wide_t4,1.0,node2transit_node366source,M,wide,node2node366,4.0
M_node2node366_wide_t5,1.0,node2transit_node366source,M,wide,node2node366,5.0
M_node2node367_timber_t2,1.0,node2transit_node367source,M,timber,node2node367,2.0
M_node2node367_wide_t4,1.0,node2transit_node367source,M,wide,node2node367,4.0
M_node2node367_wide_t5,1.0,node2transit_node367source,M,wide,node2node367,5.0
M_node3node341_timber_t2,1.0,node3transit_node341source,M,timber,node3node341,2.0
M_node3node341_timber_t3,1.0,node3transit_node341source,M,timber,node3node341,3.0
M_node3node341_timber_t4,1.0,node3transit_node341source,M,timber,node3node341,4.0
M_node3node341_timber_t5,1.0,node3transit_node341source,M,timber,node3node341,5.0
M_node3node342_timber_t2,1.0,node3transit_node342source,M,timber,node3node342,2.0
M_node3node342_timber_t3,1.0,node3transit_node342source,M,timber,node3node342,3.0
M_node3node342_wide_t5,1.0,node3transit_node342source,M,wide,node3node342,5.0
M_node4node300_timber_t2,1.0,node4transit_node300source,M,timber,node4node300,2.0
M_node4node300_timber_t3,1.0,node4transit_node300source,M,timber,node4node300,3.0
M_node4node300_wide_t5,1.0,node4transit_node300source,M,wide,node4node300,5.0
M_node4node303_timber_t2,1.0,node4transit_node303source,M,timber,node4node303,2.0
M_node4node303_timber_t3,1.0,node4transit_node303source,M,timber,node4node303,3.0
M_node4node303_wide_t5,1.0,node4transit_node303source,M,wide,node4node303,5.0
M_node5node134_timber_t4,-1.7002695547792713e-13,node5transit_node134transit,M,timber,node5node134,4.0
M_node5node301_timber_t2,1.0,node5transit_node301source,M,timber,node5node301,2.0
