UG,species,Presc,period,Vremovido(ton),Rait
1057,Sb,21700,3,0.0,39.8728
1057,Sb,21700,4,159.154944,43.34
1057,Sb,21700,5,247.31888999999998,43.34
1058,Ec,1700,1,1022.8532175,26.8384
1058,Sb,1700,2,0.0,24.7739
1058,Sb,1700,3,0.0,27.5266
1058,Sb,1700,4,126.355242,27.5266
1058,Sb,1700,5,196.34979,27.5266
1059,Ec,19700,1,227.17597500000002,33.9742
1059,Sb,19700,1,0.0,8.4936
1059,Sb,19700,2,0.0,44.5912
1059,Sb,19700,3,0.0,49.8996
1059,Sb,19700,4,194.939784,53.0847
1059,Sb,19700,5,302.926806,53.0847
106,Ec,3,1,678.0556575,36.2869
106,Ec,3,2,0.0,35.4018
106,Ec,3,3,614.7306675,36.2869
106,Ec,3,4,552.6004275,36.2869
106,Ec,3,5,825.61491,35.4018
1060,Ec,20700,1,221.43267000000003,33.8463
1060,Sb,20700,1,0.0,4.3393
1060,Sb,20700,2,0.0,39.9212
1060,Sb,20700,3,0.0,43.3927
1060,Sb,20700,4,159.348228,43.3927
1060,Sb,20700,5,247.619268,43.3927
1061,Ec,19,1,421.386165,24.3145
1061,Ec,19,2,432.05413500000003,24.3145
1061,Ec,19,3,619.9751475,24.3145
1061,Ec,19,4,576.482535,24.3145
1061,Ec,19,5,510.42291750000004,24.3145
1062,Ec,34700,1,847.7328375000001,36.2666
1062,Sb,34700,1,0.0,13.4321
1062,Sb,34700,2,0.0,65.8172
1062,Sb,34700,3,0.0,67.1605
1062,Sb,34700,4,246.629292,67.1605
1062,Sb,34700,5,383.249802,67.1605
1063,Ec,34700,1,1215.8019675,59.7185
1063,Sb,34700,1,0.0,19.264
1063,Sb,34700,2,0.0,96.3202
1063,Sb,34700,3,0.0,96.3202
1063,Sb,34700,4,353.710968,96.3202
1063,Sb,34700,5,549.649386,96.3202
1064,Ec,34700,1,1201.466655,51.3996
1064,Sb,34700,1,0.0,19.0369
1064,Sb,34700,2,0.0,95.1845
1064,Sb,34700,3,0.0,95.1845
1064,Sb,34700,4,349.540386,95.1845
1064,Sb,34700,5,543.1686,95.1845
1065,Ec,35700,1,157.69066500000002,23.1786
1065,Sb,35700,1,0.0,2.4399
1065,Sb,35700,2,0.0,23.1786
1065,Sb,35700,3,0.0,28.0583
1065,Sb,35700,4,111.996456,30.4981
1065,Sb,35700,5,174.037032,30.4981
1066,Pb,500700,1,0.0,12.6665
1066,Pb,500700,2,0.0,14.2498
1066,Pb,500700,3,0.0,19.7913
1066,Pb,500700,4,224.19624,6.3332
1066,Sb,500700,4,0.0,26.9162
1066,Sb,500700,5,0.0,37.9994
1067,Ec,1,1,901.5283800000001,46.496
1067,Ec,1,2,826.9894800000001,46.496
1067,Ec,1,3,724.20426,46.496
1067,Ec,1,4,901.5283800000001,46.496
1067,Ec,1,5,826.9894800000001,46.496
1068,Ec,3,1,0.0,22.0954
1068,Ec,3,2,234.65295000000003,20.6224
1068,Ec,3,3,208.1384775,21.1134
1068,Ec,3,4,176.32113750000002,22.0954
1068,Ec,3,5,234.65295000000003,21.6044
1069,Ec,36700,1,775.2301425,39.0506
1069,Sb,36700,2,0.0,40.0519
1069,Sb,36700,3,0.0,40.0519
1069,Sb,36700,4,183.850368,40.0519
1069,Sb,36700,5,285.69442200000003,40.0519
107,Ec,2,1,467.863695,27.2501
107,Ec,2,2,424.0014525,27.2501
107,Ec,2,3,0.0,27.2501
107,Ec,2,4,381.554145,27.2501
107,Ec,2,5,573.038685,27.2501
1070,Ec,3,1,86.06061000000001,11.697
1070,Ec,3,2,148.434795,11.697
1070,Ec,3,3,0.0,11.697
1070,Ec,3,4,133.8281325,11.697
1070,Ec,3,5,302.19898500000005,11.697
1070,Pb,500700,1,0.0,6.8533
1070,Pb,500700,2,0.0,8.9949
1070,Pb,500700,3,37.77858,11.5649
1070,Pb,500700,4,436.1241,3.4266
1070,Sb,500700,4,0.0,9.4232
1070,Sb,500700,5,0.0,14.1348
1071,Ec,2,1,0.0,41.4893
1071,Ec,2,2,920.67435,40.4521
1071,Ec,2,3,845.7601500000001,42.5266
1071,Ec,2,4,737.9397675,42.5266
1071,Ec,2,5,920.67435,41.4893
1072,Ec,3,1,0.0,23.8507
1072,Ec,3,2,594.4646025000001,23.2545
1072,Ec,3,3,546.1668675000001,23.8507
1072,Ec,3,4,475.33020750000003,23.8507
1072,Ec,3,5,594.4646025000001,23.8507
1073,Ec,1700,1,81.11232,9.9819
1073,Sb,1700,1,0.0,5.3749
1073,Sb,1700,2,0.0,11.5175
1073,Sb,1700,3,0.0,17.6602
1073,Sb,1700,4,70.491954,19.1959
1073,Sb,1700,5,109.541016,19.1959
1073,Pb,500700,1,0.0,8.9975
1073,Pb,500700,2,0.0,11.8092
1073,Pb,500700,3,50.27352,15.7456
1073,Pb,500700,4,547.9472999999999,4.4987
1073,Sb,500700,4,0.0,14.6209
1073,Sb,500700,5,0.0,21.9314
1074,Ec,3,1,0.0,26.2145
1074,Ec,3,2,703.2532725000001,26.2145
1074,Ec,3,3,649.71531,26.2145
1074,Ec,3,4,568.047195,26.8866
1074,Ec,3,5,703.2532725000001,26.8866
1075,Ec,3,1,0.0,27.216
1075,Ec,3,2,511.08509250000003,27.216
1075,Ec,3,3,465.8646825,27.216
1075,Ec,3,4,401.80239,27.9138
1075,Ec,3,5,511.08509250000003,27.9138
1076,Ec,3,1,0.0,20.2982
1076,Ec,3,2,542.4305400000001,19.7777
1076,Ec,3,3,500.97534750000005,19.2573
1076,Ec,3,4,438.089985,20.2982
1076,Ec,3,5,542.4305400000001,20.2982
1077,Ec,21700,1,191.10951000000003,8.7888
1077,Sb,21700,1,0.0,16.9498
1077,Sb,21700,2,0.0,24.4831
1077,Sb,21700,3,0.0,31.3886
1077,Sb,21700,4,115.26645,31.3886
1077,Sb,21700,5,179.11842000000001,31.3886
1078,Ec,3,1,0.0,45.922
1078,Ec,3,2,1388.6814825,43.2979
1078,Ec,3,3,1284.17616,43.2979
1078,Ec,3,4,1124.76114,47.2341
1078,Ec,3,5,1388.6814825,44.61
1079,Ec,1700,1,558.7560225000001,48.5913
1079,Sb,1700,1,0.0,20.8248
1079,Sb,1700,2,0.0,69.4161
1079,Sb,1700,3,0.0,69.4161
1079,Sb,1700,4,318.640608,69.4161
1079,Sb,1700,5,495.1518,69.4161
108,Ec,3,1,389.1452625,20.3176
108,Ec,3,2,0.0,20.3176
108,Ec,3,3,352.8021825,20.3176
108,Ec,3,4,317.144835,20.3176
108,Ec,3,5,473.83150500000005,20.3176
1080,Ec,1,1,48.3904125,9.464
1080,Ec,1,2,90.23298750000002,9.464
1080,Ec,1,3,82.08803250000001,9.464
1080,Ec,1,4,152.67744,9.464
1080,Ec,1,5,139.26222,9.464
1081,Ec,2,1,259.013295,27.0228
1081,Ec,2,2,374.38362,27.0228
1081,Ec,2,3,336.07885500000003,27.0228
1081,Ec,2,4,0.0,27.0228
1081,Ec,2,5,507.99433500000004,27.0228
1082,Ec,20,1,382.38250500000004,32.698
1082,Ec,20,2,393.41808000000003,32.698
1082,Ec,20,3,589.299435,32.698
1082,Ec,20,4,538.53579,32.698
1082,Ec,20,5,467.35636500000004,32.698
1083,Ec,3700,1,691.4094525000002,23.6664
1083,Sb,3700,1,0.0,2.9583
1083,Sb,3700,2,0.0,25.8851
1083,Sb,3700,3,0.0,29.583
1083,Sb,3700,4,135.794724,29.583
1083,Sb,3700,5,211.018236,29.583
1084,Ec,34700,1,2001.2361525000001,36.7853
1084,Sb,34700,1,0.0,49.047
1084,Sb,34700,2,0.0,98.094
1084,Sb,34700,3,0.0,98.094
1084,Sb,34700,4,450.28097400000007,98.094
1084,Sb,34700,5,699.714444,98.094
1085,Ec,20700,1,726.289605,57.2098
1085,Sb,20700,1,0.0,26.4045
1085,Sb,20700,2,0.0,88.0151
1085,Sb,20700,3,0.0,88.0151
1085,Sb,20700,4,404.015742,88.0151
1085,Sb,20700,5,627.820518,88.0151
