UG,species,Presc,period,Vremovido(ton),Rait
1019,Sb,19700,1,0.0,39.4714
1019,Sb,19700,2,0.0,49.3393
1019,Sb,19700,3,0.0,49.3393
1019,Sb,19700,4,226.48204800000002,49.3393
1019,Sb,19700,5,351.941928,49.3393
102,Pb,503,1,0.0,11.0563
102,Pb,503,2,116.09100000000001,15.8934
102,Pb,503,3,167.08818,20.0395
102,Pb,503,4,0.0,22.1126
102,Pb,503,5,1311.414,16.5844
1020,Ec,36,1,230.7876975,26.6015
1020,Ec,36,2,0.0,31.2959
1020,Ec,36,3,381.8296125,26.6015
1020,Ec,36,4,340.63632000000007,28.1663
1020,Ec,36,5,288.8807625,28.1663
1021,Ec,19700,1,182.134845,4.9069
1021,Sb,19700,1,0.0,44.1622
1021,Sb,19700,2,0.0,49.0691
1021,Sb,19700,3,0.0,49.0691
1021,Sb,19700,4,225.242004,49.0691
1021,Sb,19700,5,753.422046,49.0691
1022,Ec,19700,1,172.59223500000002,7.3671
1022,Sb,19700,1,0.0,66.3041
1022,Sb,19700,2,0.0,73.6713
1022,Sb,19700,3,0.0,73.6713
1022,Sb,19700,4,270.538554,73.6713
1022,Sb,19700,5,904.936656,73.6713
1023,Ec,21,1,334.3507875,55.4139
1023,Ec,21,2,457.3980225,55.4139
1023,Ec,21,3,752.2434225000001,53.8746
1023,Ec,21,4,670.1616,49.2568
1023,Ec,21,5,0.0,50.7961
1024,Ec,20503,1,123.50961000000001,4.7364
1024,Pb,20503,1,0.0,8.7961
1024,Pb,20503,2,0.0,11.5026
1024,Pb,20503,3,0.0,14.2091
1024,Pb,20503,4,0.0,15.5623
1024,Pb,20503,5,0.0,18.2688
1025,Ec,35503,1,319.974435,9.7405
1025,Pb,35503,1,0.0,17.8575
1025,Pb,35503,2,0.0,27.598
1025,Pb,35503,3,0.0,34.0916
1025,Pb,35503,4,239.61558,38.9619
1025,Pb,35503,5,0.0,43.8321
1026,Ec,20503,1,130.31617500000002,4.9974
1026,Pb,20503,1,0.0,9.2808
1026,Pb,20503,2,0.0,12.1365
1026,Pb,20503,3,0.0,14.9921
1026,Pb,20503,4,0.0,17.1339
1026,Pb,20503,5,0.0,19.2756
1027,Ec,19503,1,104.50890000000001,2.1304
1027,Pb,19503,1,0.0,7.8115
1027,Pb,19503,2,0.0,9.9419
1027,Pb,19503,3,0.0,10.6521
1027,Pb,19503,4,0.0,12.7825
1027,Pb,19503,5,0.0,14.9129
1028,Ec,21,1,533.97927,27.4099
1028,Ec,21,2,736.9838325000001,28.1713
1028,Ec,21,3,930.2237100000001,27.4099
1028,Ec,21,4,862.384185,25.8871
1028,Ec,21,5,0.0,25.8871
1029,Ec,21,1,813.6254925000001,42.9247
1029,Ec,21,2,1129.2087825,42.9247
1029,Ec,21,3,1424.4319125,42.9247
1029,Ec,21,4,1321.06464,40.6044
1029,Ec,21,5,0.0,40.6044
103,Pb,503,1,0.0,10.8049
103,Pb,503,2,0.0,16.9792
103,Pb,503,3,158.36934,22.3816
103,Pb,503,4,252.37218,23.1534
103,Pb,503,5,1673.99148,27.7841
1030,Ec,35503,1,568.0366650000001,3.9094
1030,Pb,35503,1,0.0,14.6601
1030,Pb,35503,2,51.01734,22.4789
1030,Pb,35503,3,253.32738,29.3203
1030,Pb,35503,4,297.30786,29.3203
1030,Pb,35503,5,0.0,29.3203
1031,Ec,34700,1,463.55442750000003,13.3999
1031,Sb,34700,1,0.0,16.7499
1031,Sb,34700,2,0.0,26.1299
1031,Sb,34700,3,0.0,33.4999
1031,Sb,34700,4,123.019572,33.4999
1031,Sb,34700,5,191.1663,33.4999
1032,Ec,34700,1,1705.0222575000003,33.1673
1032,Sb,34700,1,0.0,49.751
1032,Sb,34700,2,0.0,82.9183
1032,Sb,34700,3,0.0,82.9183
1032,Sb,34700,4,380.62003200000004,82.9183
1032,Sb,34700,5,591.464796,82.9183
1033,Ec,19700,1,356.6677725,5.6817
1033,Sb,19700,1,0.0,15.9087
1033,Sb,19700,2,0.0,20.4541
1033,Sb,19700,3,0.0,28.4084
1033,Sb,19700,4,104.32258200000001,28.4084
1033,Sb,19700,5,162.11208000000002,28.4084
1034,Ec,34700,1,724.7787525000001,27.7096
1034,Sb,34700,1,0.0,11.5457
1034,Sb,34700,2,0.0,56.5737
1034,Sb,34700,3,0.0,57.7283
