764.72 * C_node4node6_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
5396.0 * C_node4node6_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
4543.29 * C_node4node6_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3220.82 * C_node4node6_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2283.3 * C_node4node6_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1618.68 * C_node4node6_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1147.51 * C_node4node6_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2563.0 * C_node4node10_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2157.98 * C_node4node10_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1529.83 * C_node4node10_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1084.53 * C_node4node10_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
768.84 * C_node4node10_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
545.05 * C_node4node10_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3845.0 * C_node4node10_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3237.39 * C_node4node10_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2295.04 * C_node4node10_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1627.0 * C_node4node10_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1153.41 * C_node4node10_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
817.67 * C_node4node10_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node19_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node19_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node19_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node19_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node19_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node19_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node19_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node19_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node19_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node19_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node19_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node19_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node20_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node20_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node20_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node20_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node20_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node20_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node20_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node20_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node20_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node20_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node20_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node20_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4659.0 * C_node5node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3922.75 * C_node5node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2780.91 * C_node5node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1971.44 * C_node5node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1397.59 * C_node5node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
990.78 * C_node5node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6991.0 * C_node5node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5886.23 * C_node5node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
4172.86 * C_node5node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2958.22 * C_node5node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2097.14 * C_node5node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1486.7 * C_node5node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
124.0 * C_node6node17_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
104.4 * C_node6node17_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
74.01 * C_node6node17_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
52.47 * C_node6node17_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
37.2 * C_node6node17_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
26.37 * C_node6node17_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
185.0 * C_node6node17_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
