"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-13341.35718, 154580.12051)","(-13349.06888, 154577.38021)",0.008184104164783372,20.7029,False,False
"(-13601.84708, 154741.28221)","(-13609.01018, 154762.55711)",0.0224484157930921,20.7029,False,False
"(-13601.84708, 154741.28221)","(-13608.79088, 154692.34891)",0.04942351876718641,20.7029,False,False
"(-13457.25668, 155077.73141)","(-13539.26088, 155064.90661)",0.08300098982951924,24.2434,False,False
"(-13457.25668, 155077.73141)","(-13411.41808, 155094.09851)",0.04867298236568404,24.2434,False,False
"(-13076.50878, 155178.61171)","(-13069.75228, 155148.53501)",0.030826257884152896,1.7366,False,False
"(-13076.50878, 155178.61171)","(-13004.12978, 155174.88541)",0.07247485738302759,1.7366,False,False
"(-13447.09438, 154575.47001)","(-13446.47828, 154575.03791)",0.0007525221724181347,20.7029,False,False
"(-13729.15598, 154514.08451)","(-13671.23938, 154518.98021)",0.058123148865577366,24.2434,False,False
"(-12855.96848, 155010.47511)","(-12812.31218, 155005.18341)",0.043975841306107,1.7366,False,False
"(-12855.96848, 155010.47511)","(-12891.75518, 155014.94849)",0.036065205191632185,1.7366,True,False
"(-14653.41278, 154639.10661)","(-14668.44998, 154560.25021)",0.08027732684138364,24.4707,False,False
"(-14653.41278, 154639.10661)","(-14569.65148, 154664.81311)",0.08761723300778239,24.4707,False,False
"(-13273.79598, 154642.84021)","(-13262.15638, 154707.28211)",0.06548464525192671,20.7029,False,False
"(-13273.79598, 154642.84021)","(-13293.58038, 154582.96911)",0.06305530190688706,20.7029,False,False
"(-13671.23938, 154518.98021)","(-13625.03908, 154533.17721)",0.048332416958906874,24.2434,False,False
"(-13200.72128, 155118.26661)","(-13225.85678, 155110.32911)",0.026359007312492178,19.0639,True,False
"(-13200.72128, 155118.26661)","(-13190.56279, 155116.75897)",0.010269756445490049,19.0639,True,False
"(-13225.85678, 155110.32911)","(-13249.66928, 155120.91241)",0.026058422729320484,19.0639,False,False
"(-13442.60198, 154984.65431)","(-13413.79288, 155035.93091)",0.05881542272540563,20.7029,False,False
"(-13442.60198, 154984.65431)","(-13478.83188, 154939.21091)",0.05811805448887362,20.7029,False,False
"(-13696.06808, 154839.81211)","(-13696.08418, 154839.76521)",4.958649008318725e-05,24.2434,False,False
"(-13696.06808, 154839.81211)","(-13722.49728, 154931.25341)",0.09518410559715892,24.2434,False,False
"(-12767.51808, 154908.20551)","(-12783.20798, 154901.99571)",0.016874080065299064,1.7366,False,False
"(-14138.00958, 154775.68341)","(-14136.02528, 154734.67291)",0.041058477282290014,24.4707,False,False
"(-14080.32848, 154536.12581)","(-14099.64498, 154586.50591)",0.053956293870696025,34.0912,False,False
"(-14080.32848, 154536.12581)","(-14044.21468, 154489.40361)",0.05905226941684008,34.0912,False,False
"(-13488.02798, 154603.76801)","(-13478.62908, 154597.17581)",0.011480262281419495,20.7029,False,False
"(-13488.02798, 154603.76801)","(-13497.20048, 154610.20161)",0.011203837075298833,20.7029,False,False
"(-14494.85478, 154383.33611)","(-14443.64088, 154311.47061)",0.08824689027643952,24.4707,False,False
"(-14494.85478, 154383.33611)","(-14497.30358, 154383.36041)",0.0024489205642486854,24.4707,False,False
