"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12639.35458, 146509.71671)","(-12641.10768, 146527.34251)",0.017712768988763086,False,False,86,33,128,33,64,10.4611,
"(-12639.35458, 146509.71671)","(-12648.55233, 146500.1631)",0.013261601302055216,True,False,64,25,96,25,48,21.8102,
"(-12639.35458, 146509.71671)","(-12693.48505, 146544.85772)",0.0,False,True,0,0,0,0,0,False,
"(-12639.35458, 146509.71671)","(-12419.48714, 146353.17934)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12581.62248, 146404.94151)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12580.68998, 146607.75611)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12610.10888, 146362.91541)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12460.81378, 146096.66401)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12470.54088, 146156.54001)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12451.77348, 146591.56311)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12150.32018, 146106.93491)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12639.35458, 146509.71671)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12641.10768, 146527.34251)",0.0,False,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12188.21993, 146109.72315)",0.0,True,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12164.98961, 146108.01412)",0.0,True,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12306.4491, 146483.83352)",0.0,True,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12265.70579, 146469.35783)",0.0,True,True,0,0,0,0,0,False,
"(-12419.48714, 146353.17934)","(-12157.26545, 146117.35794)",0.0,True,True,0,0,0,0,0,False,
"(-13898.76948, 146139.04071)","(-13740.26288, 146249.11651)",0.2065666441438506,False,False,999,387,1497,387,748,False,"[(-13821.59888, 146152.73651), (-13787.93468, 146210.42621)]"
"(-13898.76948, 146139.04071)","(-13962.53738, 146402.88011)",0.31634877214868073,False,False,1528,595,2293,595,1145,False,"[(-13919.82548, 146209.59571), (-13966.98268, 146264.17631), (-14012.03258, 146310.64711), (-13993.94328, 146361.10021)]"
"(-13898.76948, 146139.04071)","(-14265.31618, 146091.30941)",0.4379931079358459,False,False,2116,823,3173,823,1586,False,"[(-13954.38198, 146103.51351), (-14002.99008, 146103.56071), (-14067.86038, 146117.27101), (-14116.84418, 146171.23641), (-14187.03068, 146173.68971), (-14229.98888, 146134.81611)]"
"(-13898.76948, 146139.04071)","(-13963.64637, 145976.30874)",0.0,False,True,0,0,0,0,0,False,
"(-13898.76948, 146139.04071)","(-14050.24728, 146287.72287)",0.0,False,True,0,0,0,0,0,False,
"(-13898.76948, 146139.04071)","(-13774.52216, 146320.91618)",0.0,False,True,0,0,0,0,0,False,
"(-13740.26288, 146249.11651)","(-13898.76948, 146139.04071)",0.2065666441438506,False,False,999,387,1497,387,748,False,"[(-13821.59888, 146152.73651), (-13787.93468, 146210.42621)]"
"(-13740.26288, 146249.11651)","(-13382.92928, 146531.36851)",0.46514620116001704,False,False,2247,874,3370,874,1685,False,"[(-13402.03388, 146488.46501), (-13522.77938, 146413.26511), (-13578.88948, 146384.23861)]"
"(-13740.26288, 146249.11651)","(-13567.18558, 146177.82421)",0.2790829619726558,False,False,2096,749,3147,749,1573,False,"[(-13610.64748, 146168.23271), (-13669.64438, 146129.46821)]"
"(-13740.26288, 146249.11651)","(-13963.64637, 145976.30874)",0.0,False,True,0,0,0,0,0,False,
"(-13740.26288, 146249.11651)","(-13471.14667, 146350.18528)",0.0,False,True,0,0,0,0,0,False,
"(-13740.26288, 146249.11651)","(-13774.52216, 146320.91618)",0.0,False,True,0,0,0,0,0,False,
