Node,Stand
"(-9840.54118, 148335.33571)","[812, 1053]"
"(-9813.83278, 148283.01121)","[812, 1053]"
"(-9742.64808, 148259.18161)","[812, 1053]"
"(-9698.48458, 148208.66421)","[812, 1053]"
"(-9664.33148, 148148.01781)","[812, 1053]"
"(-9604.86948, 148106.85161)","[812, 1053]"
"(-9545.35008, 148064.26281)","[812, 1053]"
"(-9620.52358, 148037.26381)","[1056, 812, 1053]"
"(-9696.81908, 148084.87921)","[1056, 812]"
"(-9756.12258, 148088.70261)","[1056, 812]"
"(-9785.79618, 148041.82221)","[1056, 812]"
"(-9760.09188, 147982.86911)","[1056, 812]"
"(-9781.95678, 147935.59761)","[1056, 812]"
"(-9821.21548, 147894.98591)","[1056, 812]"
"(-9831.79858, 147853.41221)","[1056, 812]"
"(-9793.91908, 147830.46741)","[1056, 812]"
"(-9753.05408, 147816.74621)","[1056, 812]"
"(-10445.20518, 147994.28781)","[812, 1038]"
"(-10394.26358, 148043.47361)","[865, 812, 1038]"
"(-10347.01988, 148073.73581)","[865, 812]"
"(-10288.98068, 148054.17361)","[865, 812]"
"(-10258.57288, 148108.05071)","[865, 812]"
"(-10196.80598, 148137.92401)","[865, 812]"
"(-10136.62288, 148162.97531)","[865, 812]"
"(-10082.84098, 148214.75731)","[865, 812]"
"(-10071.82848, 148261.22821)","[865, 812]"
"(-10052.42778, 148364.57841)","[865, 1210, 812]"
"(-9998.27248, 148386.68521)","[1210, 812]"
"(-9962.85548, 148424.73181)","[1210, 812]"
"(-9925.79578, 148453.39921)","[1210, 812]"
"(-9884.95668, 148493.19861)","[1210, 812]"
"(-9813.69658, 148528.02001)","[1210, 812]"
"(-10057.25076, 148338.88572)",[812]
"(-10224.00658, 148124.76855)",[812]
"(-9824.62005, 148522.68223)",[812]
"(-10617.98707, 147659.17052)",[812]
"(-10663.97295, 147675.91237)",[812]
"(-9335.35718, 147563.82841)",[1431]
"(-9335.32348, 147564.66431)",[1431]
"(-9355.63308, 147508.87741)",[1431]
"(-9418.61418, 147441.62491)",[1431]
"(-9475.45958, 147397.06231)",[1431]
"(-9518.68288, 147374.14331)",[1431]
"(-9583.60948, 147352.35681)",[1431]
"(-9467.89578, 147676.07301)","[1056, 1431]"
"(-9438.91428, 147707.84151)","[1056, 1431]"
"(-9395.80908, 147752.06881)","[1056, 1431]"
"(-9355.78328, 147794.61811)","[1056, 1431]"
"(-9315.75698, 147838.91831)","[1056, 1431]"
"(-9265.53118, 147888.80471)","[1056, 1431]"
"(-9257.90638, 147845.34321)",[1431]
"(-9276.34318, 147802.91451)",[1431]
"(-9322.05058, 147705.81571)",[1431]
"(-9333.49178, 147648.83551)",[1431]
"(-9335.17818, 147564.32031)",[1431]
"(-9562.66178, 147997.99761)","[1056, 1053]"
"(-9505.78088, 147989.49161)","[1056, 1053]"
"(-9457.31188, 147992.18161)","[1056, 1053]"
"(-9415.85198, 148006.37741)","[1056, 1053]"
"(-9404.45688, 148053.66941)","[1056, 1053, 1054]"
"(-9348.19528, 148034.49121)","[1056, 1054]"
"(-9325.80358, 147966.33381)","[1056, 1054]"
"(-9263.08578, 147940.48821)","[1056, 1054]"
"(-9215.07328, 147944.18051)","[1056, 1054]"
"(-9098.23618, 147899.80681)",[1054]
"(-9442.14598, 148100.01401)","[1051, 1053, 1054]"
"(-9383.53878, 148117.69471)","[1051, 1054]"
"(-9359.49678, 148171.24561)","[1051, 1054]"
"(-9285.42308, 148164.82781)","[1051, 1054]"
"(-9258.61288, 148123.60721)","[1051, 1054]"
"(-9211.64368, 148150.26781)","[1051, 1054]"
"(-9161.00848, 148181.51851)","[1050, 1051, 1054]"
"(-9095.93818, 148163.72171)","[1050, 1052, 1054]"
"(-9028.34538, 148112.61171)","[1052, 1054]"
"(-8989.58958, 148179.68151)","[1052, 1054]"
"(-8947.47258, 148172.98421)","[1052, 1054, 1055]"
"(-8911.97978, 148129.79331)","[1054, 1055]"
"(-8835.49058, 148062.50641)","[1054, 1055]"
