"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-10628.45128, 147229.18581)","(-10593.2623, 147235.79528)",0.035804321067731106,23.9191,True,False,173,67,259,67,130,
"(-10628.45128, 147229.18581)","(-10678.3357, 147336.55274)",0.1194913329146602,False,True,False,578,225,866,225,433,"[(-10665.40868, 147322.65781)]"
"(-10628.45128, 147229.18581)","(-10584.22661, 147096.76554)",0.21334797785226786,False,True,False,1603,572,2405,572,1202,"[(-10668.78398, 147166.45351), (-10657.91708, 147110.51611), (-10602.61798, 147086.01641)]"
"(-10628.45128, 147229.18581)","(-10315.43037, 147079.77801)",0.0,False,False,True,0,0,0,0,0,
"(-10628.45128, 147229.18581)","(-10271.11205, 147549.61274)",0.0,False,False,True,0,0,0,0,0,
"(-9584.58478, 150211.06351)","(-9616.84428, 150346.57021)",0.14849001022278807,False,False,False,717,279,1076,279,538,"[(-9623.74458, 150265.13181)]"
"(-9584.58478, 150211.06351)","(-9555.91718, 150021.23041)",0.2700556371383754,False,False,False,2029,725,3044,725,1522,"[(-9634.65108, 150170.45271), (-9662.31098, 150110.95251), (-9617.01088, 150082.24761)]"
"(-9584.58478, 150211.06351)","(-9415.2196, 150279.71656)",0.18905907550321252,False,False,False,1419,507,2132,507,1065,"[(-9583.02208, 150212.19521), (-9580.33158, 150208.48061), (-9537.62988, 150239.40691), (-9483.19658, 150264.52581), (-9430.55468, 150273.91201)]"
"(-9584.58478, 150211.06351)","(-9659.64489, 149999.23651)",0.0,False,False,True,0,0,0,0,0,
"(-9584.58478, 150211.06351)","(-9205.61003, 150261.34757)",0.0,False,False,True,0,0,0,0,0,
"(-8256.79598, 151579.39731)","(-8236.95228, 151582.57231)",0.020096095508580172,29.0654,False,False,151,54,227,54,113,
"(-8256.79598, 151579.39731)","(-8257.25178, 151633.83521)",0.054439808137509996,29.0654,False,False,409,146,614,146,307,
"(-8256.79598, 151579.39731)","(-8541.53788, 151163.40521)",0.5470517588813296,False,False,False,4113,1470,6166,1470,3083,"[(-8271.08358, 151532.56591), (-8280.60858, 151490.49711), (-8310.77118, 151460.33451), (-8372.74718, 151412.64391), (-8411.76938, 151382.94301), (-8451.26518, 151353.17811), (-8459.47408, 151347.75711), (-8493.33398, 151325.39681), (-8502.83278, 151311.33851), (-8513.17778, 151296.02791), (-8516.41898, 151285.06091), (-8537.58568, 151265.21721), (-8550.15338, 151238.75871), (-8553.18208, 151205.82601), (-8555.30548, 151184.59201), (-8555.42138, 151183.43371), (-8555.44508, 151183.19621), (-8553.55748, 151180.50991), (-8547.46108, 151171.83431)]"
"(-8256.79598, 151579.39731)","(-8398.94245, 151094.20055)",0.0,False,False,True,0,0,0,0,0,
"(-8256.79598, 151579.39731)","(-8493.83889, 151417.96431)",0.0,False,False,True,0,0,0,0,0,
"(-8256.79598, 151579.39731)","(-8245.87627, 151692.79859)",0.0,False,False,True,0,0,0,0,0,
"(-10479.26608, 148736.35071)","(-10539.29848, 148693.46491)",0.07377723830151865,25.9151,False,False,554,198,832,198,416,
"(-10479.26608, 148736.35071)","(-10554.96288, 148809.15251)",0.10502431915267166,13.6833,False,False,507,197,761,197,381,
"(-10479.26608, 148736.35071)","(-10067.64118, 148962.60741)",0.6947685554355886,False,False,False,3355,1305,5034,1305,2517,"[(-10436.20218, 148778.86421), (-10386.66868, 148757.53801), (-10321.97068, 148763.70271), (-10272.41818, 148764.79821), (-10214.53418, 148734.10541), (-10145.74948, 148724.75011), (-10088.70998, 148703.90701), (-10072.31348, 148813.26881), (-10095.64428, 148850.23951)]"
"(-10479.26608, 148736.35071)","(-10082.58048, 148642.27232)",0.0,False,False,True,0,0,0,0,0,
"(-10479.26608, 148736.35071)","(-10787.56976, 148770.65187)",0.0,False,False,True,0,0,0,0,0,
"(-10479.26608, 148736.35071)","(-10343.70484, 148954.31332)",0.0,False,False,True,0,0,0,0,0,
"(-10289.87348, 150228.08091)","(-10262.31898, 150158.54881)",0.07479280313410862,17.4729,False,False,361,141,542,141,271,
"(-10289.87348, 150228.08091)","(-10299.96506, 150230.19274)",0.010310180058822576,15.9324,True,False,50,19,75,19,37,
"(-10289.87348, 150228.08091)","(-10212.42188, 150389.66871)",0.18756793267530414,False,False,False,906,352,1359,352,680,"[(-10284.58178, 150235.48921), (-10247.54008, 150264.06421), (-10222.13998, 150321.21441)]"
"(-10289.87348, 150228.08091)","(-10624.90433, 150233.62028)",0.0,False,False,True,0,0,0,0,0,
"(-10289.87348, 150228.08091)","(-10027.86364, 150363.3928)",0.0,False,False,True,0,0,0,0,0,
"(-8215.52098, 151800.37771)","(-8232.98348, 151801.17151)",0.01748053273473171,31.8689,False,False,131,47,197,47,99,
"(-8215.52098, 151800.37771)","(-8236.95228, 151582.57231)",0.2299973087257349,False,False,False,1729,617,2593,617,1295,"[(-8220.28348, 151778.15271), (-8241.60918, 151762.43311), (-8242.03668, 151757.58781), (-8243.47208, 151741.31771), (-8244.21308, 151732.91921), (-8248.14948, 151688.30271), (-8240.92108, 151632.89611)]"
"(-8215.52098, 151800.37771)","(-8225.83968, 152085.49331)",0.36292094210171927,False,False,False,2727,972,4090,972,2045,"[(-8217.96638, 151807.53891), (-8202.78238, 151847.25231), (-8193.42918, 151875.33631), (-8175.03958, 151906.10541), (-8190.12088, 151923.56801), (-8202.02718, 151950.55551), (-8201.23348, 151986.27431), (-8211.55228, 152005.32441), (-8223.45848, 152030.72441), (-8221.07728, 152054.53701), (-8212.34598, 152052.94951), (-8190.12088, 152062.47451), (-8209.17098, 152066.44321), (-8205.99598, 152077.55571)]"
"(-8215.52098, 151800.37771)","(-8245.87627, 151692.79859)",0.0,False,False,True,0,0,0,0,0,
"(-8215.52098, 151800.37771)","(-8214.04646, 151962.82384)",0.0,False,False,True,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-9783.36978, 150083.96631)",0.28341774211351567,False,False,False,1370,531,2053,531,1027,"[(-9874.10408, 150229.04401), (-9881.12688, 150169.67941), (-9883.46388, 150121.57061), (-9838.77728, 150087.70511)]"
"(-9930.49008, 150259.04581)","(-10262.31898, 150158.54881)",0.3656145607919845,False,False,False,1766,686,2650,686,1324,"[(-9993.04548, 150269.79891), (-10055.39618, 150267.34101), (-10128.59858, 150200.15801), (-10194.26958, 150174.61531)]"
