"Node1(x,y)","Node2(x,y)"
"(-9477.72508, 149399.16551)","(-9560.85348, 149342.68431)"
"(-9477.72508, 149399.16551)","(-9632.41642, 149417.97497)"
"(-11028.98928, 150143.19561)","(-11021.07831, 150157.48684)"
"(-11028.98928, 150143.19561)","(-11038.4333, 150153.40613)"
"(-11028.98928, 150143.19561)","(-10881.84282, 149894.82891)"
"(-9497.48688, 150056.93541)","(-9555.91718, 150021.23041)"
"(-9497.48688, 150056.93541)","(-9087.16518, 149863.16341)"
"(-9497.48688, 150056.93541)","(-9250.26218, 150098.02081)"
"(-10262.31898, 150158.54881)","(-10308.00978, 150027.72871)"
"(-10109.42898, 147891.14591)","(-9737.58338, 147773.25181)"
"(-10109.42898, 147891.14591)","(-10303.39178, 147781.97041)"
"(-8630.82078, 149817.67201)","(-8516.36608, 149632.99931)"
"(-8630.82078, 149817.67201)","(-8913.6107, 149316.84025)"
"(-10490.83158, 150562.31421)","(-10484.79926, 150553.26573)"
"(-10490.83158, 150562.31421)","(-10238.9722, 150837.16012)"
"(-9076.81488, 150631.01111)","(-9069.39828, 150629.90041)"
"(-9076.81488, 150631.01111)","(-8537.58818, 151017.94901)"
"(-9076.81488, 150631.01111)","(-9472.98618, 150472.18171)"
"(-8906.01368, 153249.79021)","(-8956.91756, 153296.52738)"
"(-9648.04658, 149350.06601)","(-9635.37638, 149400.32761)"
"(-9648.04658, 149350.06601)","(-9560.85348, 149342.68431)"
"(-10068.12958, 150545.78041)","(-10055.79168, 150750.85151)"
"(-10068.12958, 150545.78041)","(-9897.69168, 150484.64831)"
"(-10068.12958, 150545.78041)","(-10212.42188, 150389.66871)"
"(-9145.30088, 153164.47331)","(-9200.95308, 153220.64971)"
"(-9145.30088, 153164.47331)","(-8896.59689, 153205.36205)"
"(-10083.73558, 146884.29501)","(-10083.90638, 146841.22061)"
"(-10083.73558, 146884.29501)","(-10108.32618, 147159.38581)"
"(-10083.73558, 146884.29501)","(-10213.81388, 146851.49201)"
"(-8506.29148, 149634.21001)","(-8516.36608, 149632.99931)"
"(-8506.29148, 149634.21001)","(-9063.63128, 150672.60231)"
"(-8506.29148, 149634.21001)","(-8420.26968, 148839.38131)"
"(-10228.14938, 150821.44261)","(-10229.52848, 150818.27261)"
