"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9055.75438, 148780.37381)","(-8953.48438, 148779.78151)",0.10227171514788475,51.2721,False,False,769,274,1153,274,576,
"(-9055.75438, 148780.37381)","(-9355.83098, 148869.48711)",0.32163446429008336,False,False,False,2418,864,3625,864,1813,"[(-9123.36518, 148784.45001), (-9180.04448, 148781.22591), (-9226.74618, 148800.65231), (-9297.84398, 148843.44541)]"
"(-9783.36978, 150083.96631)","(-9616.84428, 150346.57021)",0.351797266858594,False,False,False,1699,660,2550,660,1274,"[(-9779.68138, 150133.19651), (-9732.30098, 150137.73441), (-9712.25028, 150244.92511), (-9677.62858, 150305.85661)]"
"(-8519.65118, 152562.65291)","(-8562.05388, 152884.52621)",0.4187629226756041,False,False,False,3146,1124,4720,1124,2361,"[(-8523.68298, 152595.80501)]"
"(-8519.65118, 152562.65291)","(-8483.41108, 152191.69191)",0.43106737211415885,False,False,False,3240,1156,4859,1156,2431,"[(-8519.22258, 152559.12931), (-8516.57678, 152499.59791)]"
"(-8519.65118, 152562.65291)","(-8273.27881, 152718.32373)",0.3261206418513028,False,False,False,2451,875,3677,875,1837,"[(-8469.43098, 152575.00411), (-8424.55788, 152607.81741), (-8378.51758, 152587.11041), (-8334.57328, 152638.46891), (-8294.85698, 152687.20071)]"
"(-10703.25028, 147363.33281)","(-10614.80738, 147658.01291)",0.46370544513479683,False,True,False,2240,871,3360,871,1680,"[(-10790.12018, 147367.31061), (-10792.05398, 147418.15951), (-10706.11228, 147493.76641), (-10622.06508, 147575.15841), (-10596.32348, 147613.33341)]"
"(-10703.25028, 147363.33281)","(-10593.26231, 147235.79528)",0.19187307497956205,False,True,False,928,360,1390,360,696,"[(-10691.46674, 147350.66697), (-10678.3357, 147336.55274)]"
"(-8829.41218, 148652.51591)","(-8527.00488, 148818.23501)",0.38816518934405914,False,False,False,2915,1039,4375,1039,2191,"[(-8694.83118, 148793.23291), (-8705.63388, 148793.23271), (-8710.14818, 148792.83781), (-8714.52578, 148791.66481), (-8718.63328, 148789.74951), (-8720.04698, 148788.75961), (-8722.34588, 148787.15001), (-8724.01828, 148785.61721), (-8732.03528, 148777.60021), (-8748.20638, 148761.42861), (-8683.08368, 148793.23321), (-8597.24478, 148818.29181), (-8584.46758, 148818.20651), (-8557.99168, 148818.23441)]"
"(-8829.41218, 148652.51591)","(-8953.48438, 148779.78151)",0.2609919260796667,False,False,False,1962,701,2942,701,1471,"[(-8834.58278, 148646.69931), (-8859.14278, 148619.07141), (-8899.63818, 148651.97841), (-8947.83788, 148682.21221)]"
"(-9442.14598, 148100.01401)","(-9404.45688, 148053.66941)",0.059735167263271424,48.3398,False,False,449,160,673,160,337,
"(-9442.14598, 148100.01401)","(-9801.10198, 148388.50241)",0.5697956013123697,False,False,False,2750,1071,4130,1071,2064,"[(-9713.87588, 148440.52801), (-9751.58148, 148399.60361), (-9693.45468, 148388.84251)]"
"(-9442.14598, 148100.01401)","(-9161.00848, 148181.51851)",0.356950549180701,False,False,False,2683,959,4024,959,2011,"[(-9383.53878, 148117.69471), (-9285.42308, 148164.82781), (-9258.61288, 148123.60721), (-9211.64368, 148150.26781)]"
"(-8649.81268, 149314.52691)","(-8913.6107, 149316.84025)",0.32652321838827314,False,False,False,2454,877,3681,877,1841,"[(-8663.45488, 149314.07281)]"
"(-8649.81268, 149314.52691)","(-8428.40288, 148832.63961)",0.5609752454956349,False,False,False,4216,1506,6327,1506,3162,"[(-8649.81258, 149306.54281), (-8649.81248, 149287.50861)]"
"(-8649.81268, 149314.52691)","(-8516.36608, 149632.99931)",0.35507592526134907,False,False,False,2669,954,4003,954,2001,"[(-8649.82888, 149343.90591), (-8649.40778, 149351.49851), (-8631.17058, 149400.08781), (-8591.51868, 149467.39511), (-8571.18918, 149492.89811), (-8554.55098, 149513.77051), (-8556.83388, 149526.04891), (-8543.27398, 149554.49161), (-8530.34858, 149576.67691), (-8521.11508, 149592.52561)]"
"(-8273.27881, 152718.32373)","(-8227.42728, 152874.87931)",0.16687207600667503,False,True,False,1256,448,1881,448,942,"[(-8260.46068, 152736.81181), (-8256.77468, 152755.96511), (-8256.54398, 152756.72491)]"
"(-8492.29368, 151657.84631)","(-8475.80968, 151789.95321)",0.13313134598438325,29.5896,False,False,1000,357,1501,357,750,
"(-8492.29368, 151657.84631)","(-8616.08548, 151635.50621)",0.23848839400347993,False,False,False,1793,640,2687,640,1344,"[(-8502.62488, 151685.33161), (-8535.43338, 151696.97331), (-8553.42508, 151728.72341), (-8594.70008, 151726.60671), (-8614.80848, 151691.68161)]"
"(-8492.29368, 151657.84631)","(-8425.37128, 151634.02671)",0.11114163398204083,False,False,False,834,299,1253,299,627,"[(-8480.92898, 151648.81901), (-8459.76228, 151657.41801), (-8449.84048, 151671.30861), (-8434.62688, 151671.30871), (-8423.38208, 151658.07941)]"
"(-9616.60468, 149684.09891)","(-9555.91718, 150021.23041)",0.39985292997008476,False,False,False,3003,1072,4507,1072,2254,"[(-9619.02058, 149728.52411), (-9589.49168, 149771.23681), (-9576.49118, 149823.73621), (-9547.23248, 149874.21721), (-9492.38128, 149919.81271)]"
"(-10614.80738, 147658.01291)","(-10663.97295, 147675.91237)",0.05232249938331466,23.9191,True,False,253,98,379,98,190,
"(-10614.80738, 147658.01291)","(-10548.32915, 147694.4533)",0.07594432957289993,False,True,False,367,142,550,142,275,"[(-10563.33548, 147688.33001)]"
"(-9477.72508, 149399.16551)","(-9560.85348, 149342.68431)",0.10771376485290216,False,False,False,809,289,1214,289,608,"[(-9528.60978, 149374.38911), (-9520.14308, 149391.32241)]"
"(-9477.72508, 149399.16551)","(-9430.59708, 149471.41691)",0.108612100024123,False,False,False,524,205,786,205,393,"[(-9463.20488, 149391.74591), (-9445.36418, 149409.89841)]"
"(-9477.72508, 149399.16551)","(-9648.04658, 149350.06601)",0.2932835930502466,False,False,False,1415,551,2126,551,1062,"[(-9498.27648, 149409.66671), (-9529.21658, 149447.53521), (-9570.09568, 149475.21941)]"
"(-9497.48688, 150056.93541)","(-9555.91718, 150021.23041)",0.06847588614316111,43.7293,False,False,515,184,772,184,386,
"(-9497.48688, 150056.93541)","(-9087.16518, 149863.16341)",0.8987418193054226,False,False,False,4341,1687,6512,1687,3255,"[(-9132.72388, 149692.28551), (-9178.86208, 149670.96491), (-9065.36998, 149738.38761)]"
