ID_UG;nodes
807;(-9444.16318, 149547.89841),(-8870.39095, 150026.99275),(-9088.08928, 149237.55581),(-9616.60468, 149684.09891),(-9477.72508, 149399.16551),(-9497.48688, 150056.93541),(-8630.82078, 149817.67201),(-8876.46568, 150032.73221),(-9277.75008, 149252.42351),(-9401.60948, 149475.98931),(-8913.6107, 149316.84025),(-9555.91718, 150021.23041),(-8961.63542, 149290.1978),(-9544.14028, 149227.88431),(-9087.16518, 149863.16341),(-9323.19848, 149279.06761),(-9497.16298, 149226.43401),(-9176.27018, 149207.79901),(-9463.20488, 149391.74591),(-9560.85348, 149342.68431),(-9430.59708, 149471.41691),(-9195.31222, 149600.1961)
1574;(-8815.64888, 148572.11251),(-8829.41218, 148652.51591),(-8420.26968, 148839.38131),(-8428.40288, 148832.63961),(-8695.40188, 148292.43521),(-8545.28478, 148132.46591),(-8527.00488, 148818.23501),(-8673.18783, 148556.63592)
1272;(-9916.47948, 149638.33261),(-10484.22468, 149388.86291),(-10221.08298, 149763.32911),(-10647.58738, 149585.06161),(-9976.24618, 149694.22161),(-10000.61717, 149694.17443),(-10311.60363, 149567.71383)
1111;(-10005.56618, 146772.18441),(-10083.73558, 146884.29501),(-10083.90638, 146841.22061),(-10213.81388, 146851.49201),(-9976.58998, 146666.29741),(-9932.81588, 146541.95831),(-10058.28294, 146752.22657),(-9984.20277, 146563.07825),(-10345.99736, 146611.79932),(-10175.40622, 146646.3433),(-10425.74452, 146665.6367),(-10253.47608, 146660.54684)
1376;(-9655.49558, 148893.24831),(-9851.55108, 148828.14211),(-9724.23318, 148977.57961),(-9934.28428, 148797.83501),(-9829.14738, 148672.75791),(-9744.03568, 148959.42181),(-9834.20877, 148845.28085),(-9788.53268, 148838.6824)
1044;(-9655.49558, 148893.24831),(-9332.35058, 149156.13771),(-9724.23318, 148977.57961),(-9355.83098, 148869.48711),(-9492.41177, 148989.25343)
1046;(-9655.49558, 148893.24831),(-9267.94948, 148614.27461),(-9055.75438, 148780.37381),(-9624.70188, 148688.48941),(-9355.83098, 148869.48711),(-9829.14738, 148672.75791),(-9465.16664, 148761.07613)
1567;(-8870.39095, 150026.99275),(-8630.82078, 149817.67201),(-8506.29148, 149634.21001),(-8516.36608, 149632.99931),(-9069.39828, 150629.90041),(-8660.09166, 150546.68364),(-9063.63128, 150672.60231),(-8715.35286, 150252.92494)
1047;(-9088.08928, 149237.55581),(-9055.75438, 148780.37381),(-9332.35058, 149156.13771),(-8663.09928, 148954.39341),(-9355.83098, 148869.48711),(-8961.63542, 149290.1978),(-9176.27018, 149207.79901),(-8953.48438, 148779.78151),(-9297.20097, 149159.6261),(-9056.37368, 148999.23316)
1211;(-9956.90198, 149155.55691),(-9851.55108, 148828.14211),(-10067.64118, 148962.60741),(-9744.03568, 148959.42181),(-9768.74118, 149033.78711),(-9938.65227, 149154.81321),(-9899.26926, 148998.0663)
1545;(-8603.45698, 151442.41251),(-8642.06068, 151484.51241),(-8873.89098, 151490.92671),(-8915.90488, 151689.56501),(-8630.41478, 151385.47171),(-8838.46208, 151498.64451),(-8970.28067, 151628.77282),(-8812.15756, 151552.72901)
1386;(-8603.45698, 151442.41251),(-8642.06068, 151484.51241),(-8492.29368, 151657.84631),(-8425.37128, 151634.02671),(-8616.08548, 151635.50621),(-8557.98636, 151595.09825)
1543;(-8519.65118, 152562.65291),(-8273.27881, 152718.32373),(-8227.42728, 152874.87931),(-8266.07438, 152972.15161),(-8562.05388, 152884.52621),(-8387.40598, 152825.98393)
1045;(-8829.41218, 148652.51591),(-8663.09928, 148954.39341),(-8527.00488, 148818.23501),(-8953.48438, 148779.78151),(-8746.60526, 148807.62948)
899;(-8878.71948, 153202.01151),(-8906.01368, 153249.79021),(-9145.30088, 153164.47331),(-9200.95308, 153220.64971),(-8946.76948, 153297.98931),(-8976.0667, 153318.15325),(-9193.05021, 153400.23427),(-9234.10021, 153272.4792)
1051;(-9442.14598, 148100.01401),(-9801.10198, 148388.50241),(-9161.00848, 148181.51851),(-9593.88298, 148433.50071),(-9738.80558, 148537.42421),(-9789.53378, 148484.73641),(-9516.84491, 148293.55623)
1042;(-8649.81268, 149314.52691),(-8428.40288, 148832.63961),(-8663.09928, 148954.39341),(-8913.6107, 149316.84025),(-8961.63542, 149290.1978),(-8527.00488, 148818.23501),(-8687.59806, 149113.73979)
1263;(-8649.81268, 149314.52691),(-8630.82078, 149817.67201),(-8516.36608, 149632.99931),(-8913.6107, 149316.84025),(-8759.96303, 149558.37753)
1575;(-8649.81268, 149314.52691),(-8506.29148, 149634.21001),(-8516.36608, 149632.99931),(-8420.26968, 148839.38131),(-8428.40288, 148832.63961),(-8548.98944, 149209.30648)
904;(-8492.29368, 151657.84631),(-8257.25178, 151633.83521),(-8368.20178, 151792.32101),(-8475.80968, 151789.95321),(-8256.85768, 151748.90831),(-8425.37128, 151634.02671),(-8371.31259, 151709.22038)
1377;(-10037.13358, 149254.05121),(-10012.02228, 149237.86841),(-10285.51438, 149182.43681),(-10133.71549, 149147.44965)
1278;(-11028.98928, 150143.19561),(-10766.09178, 150093.78201),(-10786.55928, 149879.45501),(-11021.07831, 150157.48684),(-11001.19171, 150193.41214),(-10881.84282, 149894.82891),(-10863.48728, 150048.96257)
982;(-9497.48688, 150056.93541),(-9250.26218, 150098.02081),(-9087.16518, 149863.16341),(-9288.66848, 149878.09677)
978;(-9076.81488, 150631.01111),(-9370.84798, 151072.67401),(-9893.66848, 150764.86241),(-9628.96578, 150591.86421),(-8537.58818, 151017.94901),(-9529.28888, 150479.30799),(-9577.11018, 150975.61841),(-9472.98618, 150472.18171),(-9540.77418, 150634.58821),(-9617.14888, 150954.27921),(-9473.53342, 150764.74667),(-9561.625, 150968.1339),(-9074.43949, 150925.34608),(-9306.14467, 150776.63906)
1573;(-9076.81488, 150631.01111),(-8505.83568, 150917.68631),(-9069.39828, 150629.90041),(-8476.73138, 150932.23841),(-8537.58818, 151017.94901),(-9063.63128, 150672.60231),(-8849.463, 150892.34077)
979;(-10068.12958, 150545.78041),(-9893.66848, 150764.86241),(-9628.96578, 150591.86421),(-9897.69168, 150484.64831),(-9844.34562, 150536.15574),(-10055.79168, 150750.85151),(-9540.77418, 150634.58821),(-9789.25961, 150658.64612)
981;(-8928.27318, 150192.01831),(-9250.26218, 150098.02081),(-8876.46568, 150032.73221),(-9087.16518, 149863.16341),(-9090.17281, 150041.98109)
1385;(-8485.98448, 151832.05861),(-8368.20178, 151792.32101),(-8475.80968, 151789.95321),(-8379.33824, 151854.72353)
1043;(-9332.35058, 149156.13771),(-9724.23318, 148977.57961),(-9277.75008, 149252.42351),(-9544.14028, 149227.88431),(-9323.19848, 149279.06761),(-9497.16298, 149226.43401),(-9176.27018, 149207.79901),(-9744.03568, 148959.42181),(-9768.74118, 149033.78711),(-9550.60081, 149219.79584),(-9486.2341, 149237.7909),(-9474.63395, 149158.3651)
977;(-9916.53748, 150802.78521),(-9893.66848, 150764.86241),(-10055.79168, 150750.85151),(-9617.14888, 150954.27921),(-9766.48724, 150852.66331)
865;(-10052.42778, 148364.57841),(-10394.26358, 148043.47361),(-10539.29848, 148693.46491),(-10502.55748, 148422.87531),(-10319.77073, 148410.47877)
974;(-11125.67678, 150196.59571),(-10896.52638, 150314.09401),(-10910.83998, 150318.47791),(-11227.96093, 150329.57773)
1049;(-9624.70188, 148688.48941),(-9934.28428, 148797.83501),(-9829.14738, 148672.75791),(-9593.88298, 148433.50071),(-9738.80558, 148537.42421),(-9426.05538, 148523.91821),(-9837.32306, 148579.28166),(-9886.92727, 148759.42132),(-9724.1433, 148608.97065)
976;(-10319.05108, 149890.84211),(-10766.09178, 150093.78201),(-10786.55928, 149879.45501),(-10308.00978, 150027.72871),(-10793.02358, 149833.15541),(-10757.88838, 149685.10541),(-10269.17415, 149957.4208),(-10788.47436, 149851.70646),(-10647.74568, 149848.54741)
975;(-10319.05108, 149890.84211),(-10221.08298, 149763.32911),(-10647.58738, 149585.06161),(-10757.88838, 149685.10541),(-10465.0175, 149748.70067)
1626;(-9628.96578, 150591.86421),(-9529.28888, 150479.30799),(-9844.34562, 150536.15574),(-9591.79762, 150409.96462),(-9671.8222, 150529.20713)
1541;(-8562.05388, 152884.52621),(-8870.40298, 152853.96231),(-8694.67168, 152879.38811),(-8703.39839, 152860.25856)
1431;(-9641.59908, 147317.14741),(-9688.82758, 147359.73901),(-9265.53118, 147888.80471),(-9514.41648, 147613.78181),(-9454.02002, 147560.1691)
