"Source(x,y)","Target(x,y)"
"(-9028.69179, 148622.97994)","(-8829.41218, 148652.51591)"
"(-8746.60526, 148807.62949)","(-8829.41218, 148652.51591)"
"(-8673.18784, 148556.63592)","(-8829.41218, 148652.51591)"
"(-9404.45688, 148053.66941)","(-9442.14598, 148100.01401)"
"(-9801.10198, 148388.50241)","(-9442.14598, 148100.01401)"
"(-9161.00848, 148181.51851)","(-9442.14598, 148100.01401)"
"(-9516.84491, 148293.55623)","(-9442.14598, 148100.01401)"
"(-9623.52531, 148188.20977)","(-9442.14598, 148100.01401)"
"(-9061.65446, 148023.46264)","(-9442.14598, 148100.01401)"
"(-8913.6107, 149316.84025)","(-8649.81268, 149314.52691)"
"(-8428.40288, 148832.63961)","(-8649.81268, 149314.52691)"
"(-8516.36608, 149632.99931)","(-8649.81268, 149314.52691)"
"(-8687.59806, 149113.73979)","(-8649.81268, 149314.52691)"
"(-8759.96303, 149558.37753)","(-8649.81268, 149314.52691)"
"(-8548.98944, 149209.30648)","(-8649.81268, 149314.52691)"
"(-8227.42728, 152874.87931)","(-8273.27881, 152718.32373)"
"(-8368.12405, 152387.73976)","(-8273.27881, 152718.32373)"
"(-8475.80968, 151789.95321)","(-8492.29368, 151657.84631)"
"(-8616.08548, 151635.50621)","(-8492.29368, 151657.84631)"
"(-8425.37128, 151634.02671)","(-8492.29368, 151657.84631)"
"(-8525.44954, 151951.95126)","(-8492.29368, 151657.84631)"
"(-9555.91718, 150021.23041)","(-9616.60468, 149684.09891)"
"(-9659.64489, 149999.23651)","(-9616.60468, 149684.09891)"
"(-9195.31222, 149600.1961)","(-9616.60468, 149684.09891)"
"(-10663.97295, 147675.91237)","(-10614.80738, 147658.01291)"
"(-10548.32915, 147694.4533)","(-10614.80738, 147658.01291)"
"(-9560.85348, 149342.68431)","(-9477.72508, 149399.16551)"
"(-9430.59708, 149471.41691)","(-9477.72508, 149399.16551)"
"(-9648.04658, 149350.06601)","(-9477.72508, 149399.16551)"
"(-9195.31222, 149600.1961)","(-9477.72508, 149399.16551)"
"(-9555.91718, 150021.23041)","(-9497.48688, 150056.93541)"
"(-9087.16518, 149863.16341)","(-9497.48688, 150056.93541)"
"(-9250.26218, 150098.02081)","(-9497.48688, 150056.93541)"
"(-9195.31222, 149600.1961)","(-9497.48688, 150056.93541)"
"(-9205.61003, 150261.34757)","(-9497.48688, 150056.93541)"
"(-9288.66848, 149878.09677)","(-9497.48688, 150056.93541)"
"(-10308.00978, 150027.72871)","(-10262.31898, 150158.54881)"
"(-10027.86364, 150363.3928)","(-10262.31898, 150158.54881)"
"(-9737.58338, 147773.25181)","(-10109.42898, 147891.14591)"
"(-10303.39178, 147781.97041)","(-10109.42898, 147891.14591)"
"(-8516.36608, 149632.99931)","(-8630.82078, 149817.67201)"
"(-8913.6107, 149316.84025)","(-8630.82078, 149817.67201)"
"(-9195.31222, 149600.1961)","(-8630.82078, 149817.67201)"
"(-8759.96303, 149558.37753)","(-8630.82078, 149817.67201)"
"(-8715.35286, 150252.92494)","(-8630.82078, 149817.67201)"
"(-9069.39828, 150629.90041)","(-9076.81488, 150631.01111)"
"(-8537.58818, 151017.94901)","(-9076.81488, 150631.01111)"
"(-9472.98618, 150472.18171)","(-9076.81488, 150631.01111)"
"(-8849.463, 150892.34077)","(-9076.81488, 150631.01111)"
"(-9120.4257, 150476.53661)","(-9076.81488, 150631.01111)"
"(-9560.85348, 149342.68431)","(-9648.04658, 149350.06601)"
"(-10055.79168, 150750.85151)","(-10068.12958, 150545.78041)"
"(-9897.69168, 150484.64831)","(-10068.12958, 150545.78041)"
"(-10212.42188, 150389.66871)","(-10068.12958, 150545.78041)"
"(-10027.86364, 150363.3928)","(-10068.12958, 150545.78041)"
"(-8516.36608, 149632.99931)","(-8506.29148, 149634.21001)"
"(-9063.63128, 150672.60231)","(-8506.29148, 149634.21001)"
"(-8420.26968, 148839.38131)","(-8506.29148, 149634.21001)"
"(-8715.35286, 150252.92494)","(-8506.29148, 149634.21001)"
"(-8548.98944, 149209.30648)","(-8506.29148, 149634.21001)"
"(-8876.46568, 150032.73221)","(-8928.27318, 150192.01831)"
"(-9250.26218, 150098.02081)","(-8928.27318, 150192.01831)"
"(-9205.61003, 150261.34757)","(-8928.27318, 150192.01831)"
"(-9090.17281, 150041.98109)","(-8928.27318, 150192.01831)"
"(-8759.96303, 149558.37753)","(-8516.36608, 149632.99931)"
"(-8715.35286, 150252.92494)","(-8516.36608, 149632.99931)"
"(-8548.98944, 149209.30648)","(-8516.36608, 149632.99931)"
"(-9161.00848, 148181.51851)","(-9095.93818, 148163.72171)"
"(-9296.07777, 148364.1537)","(-9095.93818, 148163.72171)"
"(-8959.02451, 148361.81525)","(-9095.93818, 148163.72171)"
"(-9061.65446, 148023.46264)","(-9095.93818, 148163.72171)"
"(-8266.07438, 152972.15161)","(-8227.42728, 152874.87931)"
"(-9834.20877, 148845.28085)","(-9851.55108, 148828.14211)"
"(-9934.28428, 148797.83501)","(-9851.55108, 148828.14211)"
"(-10067.64118, 148962.60741)","(-9851.55108, 148828.14211)"
"(-8428.40288, 148832.63961)","(-8420.26968, 148839.38131)"
"(-8545.28478, 148132.46591)","(-8420.26968, 148839.38131)"
"(-8673.18784, 148556.63592)","(-8420.26968, 148839.38131)"
"(-8548.98944, 149209.30648)","(-8420.26968, 148839.38131)"
"(-8475.80968, 151789.95321)","(-8485.98448, 151832.05861)"
