C_timber_node5node52_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node52_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node98_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node98_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node98_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node98_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node98_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node98_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node98_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node98_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node98_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node98_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node98_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node98_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node99_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node99_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node99_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node99_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node99_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node99_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node99_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node99_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node99_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node99_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node99_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node99_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node70_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node70_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node70_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node70_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node70_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node70_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node70_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node70_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node70_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node70_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node70_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node70_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node8_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node8_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node8_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node8_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node8_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node8_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node8_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node6node8_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node8_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node8_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node8_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node6node8_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node6node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node6node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
