0.0 * C_node3node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
350.0 * C_node4node7_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
294.69 * C_node4node7_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
208.91 * C_node4node7_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
148.1 * C_node4node7_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
104.99 * C_node4node7_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
74.43 * C_node4node7_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
526.0 * C_node4node7_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
442.88 * C_node4node7_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
313.96 * C_node4node7_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
222.58 * C_node4node7_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
157.79 * C_node4node7_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
111.86 * C_node4node7_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
8874.0 * C_node6node7_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
7471.67 * C_node6node7_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
5296.81 * C_node6node7_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
3755.01 * C_node6node7_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
2661.99 * C_node6node7_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1887.14 * C_node6node7_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
13310.0 * C_node6node7_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
11206.66 * C_node6node7_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
7944.61 * C_node6node7_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
5632.09 * C_node6node7_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
3992.69 * C_node6node7_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
2830.49 * C_node6node7_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
