variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node4node7_wide_t3,0.0,1.0,B,C,wide,node4node7,3,222.58
C_node4node7_wide_t4,0.0,1.0,B,C,wide,node4node7,4,157.79
C_node4node7_wide_t5,0.0,1.0,B,C,wide,node4node7,5,111.86
C_node4node8_timber_t0,0.0,0.0,B,C,timber,node4node8,0,0.0
C_node4node8_timber_t1,0.0,1.0,B,C,timber,node4node8,1,0.0
C_node4node8_timber_t2,0.0,1.0,B,C,timber,node4node8,2,0.0
C_node4node8_timber_t3,0.0,1.0,B,C,timber,node4node8,3,0.0
C_node4node8_timber_t4,0.0,1.0,B,C,timber,node4node8,4,0.0
C_node4node8_timber_t5,0.0,1.0,B,C,timber,node4node8,5,0.0
C_node4node8_wide_t0,0.0,0.0,B,C,wide,node4node8,0,0.0
C_node4node8_wide_t1,0.0,1.0,B,C,wide,node4node8,1,0.0
C_node4node8_wide_t2,0.0,1.0,B,C,wide,node4node8,2,0.0
C_node4node8_wide_t3,0.0,1.0,B,C,wide,node4node8,3,0.0
C_node4node8_wide_t4,0.0,1.0,B,C,wide,node4node8,4,0.0
C_node4node8_wide_t5,0.0,1.0,B,C,wide,node4node8,5,0.0
C_node5node8_timber_t0,0.0,0.0,B,C,timber,node5node8,0,0.0
C_node5node8_timber_t1,0.0,1.0,B,C,timber,node5node8,1,0.0
C_node5node8_timber_t2,0.0,1.0,B,C,timber,node5node8,2,0.0
C_node5node8_timber_t3,0.0,1.0,B,C,timber,node5node8,3,0.0
C_node5node8_timber_t4,0.0,1.0,B,C,timber,node5node8,4,0.0
C_node5node8_timber_t5,0.0,1.0,B,C,timber,node5node8,5,0.0
C_node5node8_wide_t0,0.0,0.0,B,C,wide,node5node8,0,0.0
C_node5node8_wide_t1,0.0,1.0,B,C,wide,node5node8,1,0.0
C_node5node8_wide_t2,0.0,1.0,B,C,wide,node5node8,2,0.0
C_node5node8_wide_t3,0.0,1.0,B,C,wide,node5node8,3,0.0
C_node5node8_wide_t4,0.0,1.0,B,C,wide,node5node8,4,0.0
C_node5node8_wide_t5,0.0,1.0,B,C,wide,node5node8,5,0.0
C_node6node7_timber_t0,0.0,0.0,B,C,timber,node6node7,0,8874.0
C_node6node7_timber_t1,0.0,1.0,B,C,timber,node6node7,1,7471.67
C_node6node7_timber_t2,0.0,1.0,B,C,timber,node6node7,2,5296.81
C_node6node7_timber_t3,0.0,1.0,B,C,timber,node6node7,3,3755.01
C_node6node7_timber_t4,0.0,1.0,B,C,timber,node6node7,4,2661.99
C_node6node7_timber_t5,0.0,1.0,B,C,timber,node6node7,5,1887.14
C_node6node7_wide_t0,0.0,0.0,B,C,wide,node6node7,0,13310.0
C_node6node7_wide_t1,0.0,1.0,B,C,wide,node6node7,1,11206.66
C_node6node7_wide_t2,0.0,1.0,B,C,wide,node6node7,2,7944.61
C_node6node7_wide_t3,0.0,1.0,B,C,wide,node6node7,3,5632.09
C_node6node7_wide_t4,0.0,1.0,B,C,wide,node6node7,4,3992.69
C_node6node7_wide_t5,0.0,1.0,B,C,wide,node6node7,5,2830.49
M_node1node4_timber_t0,0.0,0.0,B,M,timber,node1node4,0,596.0
M_node1node4_timber_t1,0.0,1.0,B,M,timber,node1node4,1,501.82
M_node1node4_timber_t2,0.0,1.0,B,M,timber,node1node4,2,355.75
M_node1node4_timber_t3,0.0,1.0,B,M,timber,node1node4,3,252.2
M_node1node4_timber_t4,0.0,1.0,B,M,timber,node1node4,4,178.79
M_node1node4_timber_t5,0.0,1.0,B,M,timber,node1node4,5,126.74
M_node1node4_wide_t0,0.0,0.0,B,M,wide,node1node4,0,596.0
M_node1node4_wide_t1,0.0,1.0,B,M,wide,node1node4,1,501.82
M_node1node4_wide_t2,0.0,1.0,B,M,wide,node1node4,2,355.75
M_node1node4_wide_t3,0.0,1.0,B,M,wide,node1node4,3,252.2
M_node1node4_wide_t4,0.0,1.0,B,M,wide,node1node4,4,178.79
M_node1node4_wide_t5,0.0,1.0,B,M,wide,node1node4,5,126.74
M_node1node5_timber_t0,0.0,0.0,B,M,timber,node1node5,0,835.0
M_node1node5_timber_t1,0.0,1.0,B,M,timber,node1node5,1,703.05
M_node1node5_timber_t2,0.0,1.0,B,M,timber,node1node5,2,498.4
M_node1node5_timber_t3,0.0,1.0,B,M,timber,node1node5,3,353.33
M_node1node5_timber_t4,0.0,1.0,B,M,timber,node1node5,4,250.48
M_node1node5_timber_t5,0.0,1.0,B,M,timber,node1node5,5,177.57
M_node1node5_wide_t0,0.0,0.0,B,M,wide,node1node5,0,835.0
M_node1node5_wide_t1,0.0,1.0,B,M,wide,node1node5,1,703.05
M_node1node5_wide_t2,0.0,1.0,B,M,wide,node1node5,2,498.4
M_node1node5_wide_t3,0.0,1.0,B,M,wide,node1node5,3,353.33
M_node1node5_wide_t4,0.0,1.0,B,M,wide,node1node5,4,250.48
M_node1node5_wide_t5,0.0,1.0,B,M,wide,node1node5,5,177.57
M_node1node6_timber_t0,0.0,0.0,B,M,timber,node1node6,0,193.0
M_node1node6_timber_t1,0.0,1.0,B,M,timber,node1node6,1,162.5
M_node1node6_timber_t2,0.0,1.0,B,M,timber,node1node6,2,115.2
M_node1node6_timber_t3,0.0,1.0,B,M,timber,node1node6,3,81.67
M_node1node6_timber_t4,0.0,1.0,B,M,timber,node1node6,4,57.9
M_node1node6_timber_t5,0.0,1.0,B,M,timber,node1node6,5,41.04
M_node1node6_wide_t0,0.0,0.0,B,M,wide,node1node6,0,193.0
M_node1node6_wide_t1,0.0,1.0,B,M,wide,node1node6,1,162.5
M_node1node6_wide_t2,0.0,1.0,B,M,wide,node1node6,2,115.2
M_node1node6_wide_t3,0.0,1.0,B,M,wide,node1node6,3,81.67
M_node1node6_wide_t4,0.0,1.0,B,M,wide,node1node6,4,57.9
M_node1node6_wide_t5,0.0,1.0,B,M,wide,node1node6,5,41.04
M_node1node8_timber_t0,0.0,0.0,B,M,timber,node1node8,0,0.0
M_node1node8_timber_t1,0.0,1.0,B,M,timber,node1node8,1,0.0
M_node1node8_timber_t2,0.0,1.0,B,M,timber,node1node8,2,0.0
M_node1node8_timber_t3,0.0,1.0,B,M,timber,node1node8,3,0.0
M_node1node8_timber_t4,0.0,1.0,B,M,timber,node1node8,4,0.0
M_node1node8_timber_t5,0.0,1.0,B,M,timber,node1node8,5,0.0
M_node1node8_wide_t0,0.0,0.0,B,M,wide,node1node8,0,0.0
M_node1node8_wide_t1,0.0,1.0,B,M,wide,node1node8,1,0.0
