flow_timber_node21node1_t3: lb=0.0, ub=9.0, type=I
flow_timber_node21node1_t4: lb=0.0, ub=9.0, type=I
flow_timber_node21node1_t5: lb=0.0, ub=9.0, type=I
flow_wide_node21node1_t1: lb=0.0, ub=9.0, type=I
flow_wide_node21node1_t2: lb=0.0, ub=9.0, type=I
flow_wide_node21node1_t3: lb=0.0, ub=9.0, type=I
flow_wide_node21node1_t4: lb=0.0, ub=9.0, type=I
flow_wide_node21node1_t5: lb=0.0, ub=9.0, type=I
flow_timber_node21node22_t1: lb=0.0, ub=9.0, type=I
flow_timber_node21node22_t2: lb=0.0, ub=9.0, type=I
flow_timber_node21node22_t3: lb=0.0, ub=9.0, type=I
flow_timber_node21node22_t4: lb=0.0, ub=9.0, type=I
flow_timber_node21node22_t5: lb=0.0, ub=9.0, type=I
flow_wide_node21node22_t1: lb=0.0, ub=9.0, type=I
flow_wide_node21node22_t2: lb=0.0, ub=9.0, type=I
flow_wide_node21node22_t3: lb=0.0, ub=9.0, type=I
flow_wide_node21node22_t4: lb=0.0, ub=9.0, type=I
flow_wide_node21node22_t5: lb=0.0, ub=9.0, type=I
flow_timber_node21node37_t1: lb=0.0, ub=9.0, type=I
flow_timber_node21node37_t2: lb=0.0, ub=9.0, type=I
flow_timber_node21node37_t3: lb=0.0, ub=9.0, type=I
flow_timber_node21node37_t4: lb=0.0, ub=9.0, type=I
flow_timber_node21node37_t5: lb=0.0, ub=9.0, type=I
flow_wide_node21node37_t1: lb=0.0, ub=9.0, type=I
flow_wide_node21node37_t2: lb=0.0, ub=9.0, type=I
flow_wide_node21node37_t3: lb=0.0, ub=9.0, type=I
flow_wide_node21node37_t4: lb=0.0, ub=9.0, type=I
flow_wide_node21node37_t5: lb=0.0, ub=9.0, type=I
flow_timber_node37node1_t1: lb=0.0, ub=9.0, type=I
flow_timber_node37node1_t2: lb=0.0, ub=9.0, type=I
flow_timber_node37node1_t3: lb=0.0, ub=9.0, type=I
