"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-10171.53348, 146040.09591)","(-10328.465, 146251.40691)",0.0,False,False,True,0,0,0,0,0,
"(-9688.82758, 147359.73901)","(-9766.59483, 147443.89262)",0.16810773826777428,False,True,False,812,316,1218,316,610,"[(-9756.27978, 147463.44701), (-9705.21758, 147451.92511)]"
"(-9688.82758, 147359.73901)","(-9514.41648, 147613.78181)",0.31836693306617747,False,False,False,1537,598,2307,598,1154,"[(-9533.14758, 147524.62411), (-9609.34778, 147454.77411)]"
"(-9688.82758, 147359.73901)","(-9641.59908, 147317.14741)",0.07773167879154533,False,False,False,376,146,563,146,282,"[(-9683.84668, 147325.41601)]"
"(-9688.82758, 147359.73901)","(-9867.65706, 147057.93473)",0.0,False,False,True,0,0,0,0,0,
"(-9688.82758, 147359.73901)","(-9903.06983, 147327.8529)",0.0,False,False,True,0,0,0,0,0,
"(-9688.82758, 147359.73901)","(-9454.02002, 147560.1691)",0.0,False,False,True,0,0,0,0,0,
"(-10265.82398, 146873.00741)","(-10213.81388, 146851.49201)",0.05628465989210662,32.0702,False,False,423,151,634,151,317,
"(-10265.82398, 146873.00741)","(-10441.32331, 146917.83164)",0.2086963304244966,False,True,False,1008,392,1512,392,756,"[(-10308.72828, 146906.89691), (-10425.90678, 146943.56891)]"
"(-10265.82398, 146873.00741)","(-10584.22661, 147096.76554)",0.5515686942296587,False,True,False,4145,1480,6217,1480,3108,"[(-10223.49138, 146927.32691), (-10260.53408, 146974.22461), (-10325.69518, 147037.35421), (-10390.12098, 147020.54661), (-10447.42558, 147029.47951), (-10479.83648, 147070.84031), (-10526.68588, 147075.07691), (-10535.07118, 147125.49521)]"
"(-10265.82398, 146873.00741)","(-10404.30931, 146798.24747)",0.0,False,False,True,0,0,0,0,0,
"(-10265.82398, 146873.00741)","(-10315.43037, 147079.77801)",0.0,False,False,True,0,0,0,0,0,
"(-9353.65188, 146911.23621)","(-9335.95218, 147002.52321)",0.09298707302142602,11.1055,False,False,449,175,674,175,337,
"(-9353.65188, 146911.23621)","(-9655.31908, 146790.11071)",0.37591413130391255,False,False,False,1816,706,2724,706,1362,"[(-9393.66478, 146814.46901), (-9435.53878, 146794.13971), (-9655.01298, 146789.85891)]"
"(-9353.65188, 146911.23621)","(-9353.85428, 146563.86791)",0.3493968267657975,False,False,False,2625,937,3938,937,1969,"[(-9337.10878, 146793.83401), (-9338.58478, 146699.44281)]"
"(-9353.65188, 146911.23621)","(-9516.66801, 146705.70277)",0.0,False,False,True,0,0,0,0,0,
"(-9353.65188, 146911.23621)","(-9497.94241, 146904.64966)",0.0,False,False,True,0,0,0,0,0,
"(-9927.71538, 146363.58361)","(-9932.81588, 146541.95831)",0.18178015600003938,False,False,False,879,342,1317,342,659,"[(-9919.09938, 146502.99771)]"
"(-9927.71538, 146363.58361)","(-9988.06853, 146375.41721)",0.06398014932191007,False,True,False,309,121,464,121,232,"[(-9945.20628, 146375.41721)]"
"(-9927.71538, 146363.58361)","(-10328.465, 146251.40691)",0.0,False,False,True,0,0,0,0,0,
"(-9927.71538, 146363.58361)","(-9661.65701, 146389.74345)",0.0,False,False,True,0,0,0,0,0,
"(-9927.71538, 146363.58361)","(-10585.40251, 146441.79314)",0.0,False,False,True,0,0,0,0,0,
"(-11614.43768, 146306.63241)","(-11530.46478, 146304.00601)",0.08401396259771168,23.5624,True,False,406,158,609,158,304,
"(-11614.43768, 146306.63241)","(-11657.10278, 146836.53971)",1.398386461984042,False,True,False,6755,2629,10133,2629,5065,"[(-11631.86178, 146341.26561), (-11662.28898, 146337.29681), (-11799.95158, 146371.10671), (-11848.46738, 146406.31591), (-11867.67638, 146420.25631)]"
"(-11614.43768, 146306.63241)","(-11535.17588, 146511.60567)",0.0,False,False,True,0,0,0,0,0,
