C_timber_node3node101_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node101_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node101_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node3node101_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node101_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node101_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node101_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node101_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node46_t0: lb=0.0, ub=0.0, type=B, cost=1133
C_timber_node4node46_t1: lb=0.0, ub=1.0, type=B, cost=1133
C_timber_node4node46_t2: lb=0.0, ub=1.0, type=B, cost=1133
C_timber_node4node46_t3: lb=0.0, ub=1.0, type=B, cost=1133
C_timber_node4node46_t4: lb=0.0, ub=1.0, type=B, cost=1133
C_timber_node4node46_t5: lb=0.0, ub=1.0, type=B, cost=1133
C_wide_node4node46_t0: lb=0.0, ub=0.0, type=B, cost=1699
C_wide_node4node46_t1: lb=0.0, ub=1.0, type=B, cost=1699
C_wide_node4node46_t2: lb=0.0, ub=1.0, type=B, cost=1699
C_wide_node4node46_t3: lb=0.0, ub=1.0, type=B, cost=1699
C_wide_node4node46_t4: lb=0.0, ub=1.0, type=B, cost=1699
C_wide_node4node46_t5: lb=0.0, ub=1.0, type=B, cost=1699
C_timber_node4node24_t0: lb=0.0, ub=0.0, type=B, cost=3389
C_timber_node4node24_t1: lb=0.0, ub=1.0, type=B, cost=3389
C_timber_node4node24_t2: lb=0.0, ub=1.0, type=B, cost=3389
C_timber_node4node24_t3: lb=0.0, ub=1.0, type=B, cost=3389
C_timber_node4node24_t4: lb=0.0, ub=1.0, type=B, cost=3389
C_timber_node4node24_t5: lb=0.0, ub=1.0, type=B, cost=3389
C_wide_node4node24_t0: lb=0.0, ub=0.0, type=B, cost=5084
C_wide_node4node24_t1: lb=0.0, ub=1.0, type=B, cost=5084
C_wide_node4node24_t2: lb=0.0, ub=1.0, type=B, cost=5084
C_wide_node4node24_t3: lb=0.0, ub=1.0, type=B, cost=5084
C_wide_node4node24_t4: lb=0.0, ub=1.0, type=B, cost=5084
C_wide_node4node24_t5: lb=0.0, ub=1.0, type=B, cost=5084
C_timber_node4node93_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node4node93_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node93_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node93_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node93_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node93_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node93_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node4node93_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node93_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node93_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node93_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node93_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node94_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node4node94_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node94_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node94_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node94_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node94_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node94_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node4node94_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node94_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node94_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node94_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node94_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node95_t0: lb=0.0, ub=0.0, type=B, cost=0
