harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
stake,comp_38,88.15,88.15,0.0,1050,35,0.07,4,1,15,4,1,10,0,4,0,0,0,0,1,0,0,0,0,4,8,12,16,20,1,2,3,4,6,2,2,2,2,2,0,0,0,0,0,0,4,4,4,3,0,1,1,1,1,0,0,0,0,1
stake,comp_3_43_merged,11637.77,11637.77,0.0,2850,159,3.85,28,4,50,22,14,41,0,24,0,0,4,0,1,0,2,1,0,24,46,63,80,92,1,2,9,22,40,9,7,7,9,9,0,0,0,0,0,0,22,13,8,7,0,1,1,7,13,0,0,4,5,5
stake,comp_42,461.85,461.85,0.0,950,35,0.08,5,0,15,2,3,10,0,5,0,0,0,0,0,0,0,0,0,5,10,15,19,23,0,0,1,2,5,2,2,2,2,2,0,0,0,0,0,0,5,4,4,2,0,0,0,1,1,0,0,1,0,2
stake,comp_45,688.29,688.29,0.0,1200,45,0.17,9,0,21,1,2,12,0,7,0,2,0,0,0,0,0,0,0,7,12,19,26,32,0,0,0,1,3,3,0,3,3,3,0,0,0,0,0,0,5,5,6,5,0,0,0,0,1,0,0,0,1,1
stake,comp_46,321.02,321.02,0.0,650,27,0.07,4,0,9,3,3,8,0,3,1,0,0,0,0,0,0,0,0,3,7,11,14,16,0,0,1,3,6,0,2,2,2,2,0,0,0,0,0,0,3,3,2,1,0,0,0,1,2,0,0,1,1,1
stake,comp_47,2472.65,2472.65,0.0,450,26,0.05,4,0,11,0,1,10,0,4,0,0,0,0,0,0,0,0,0,4,8,12,14,16,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,1
stake,comp_49,2046.33,2046.33,0.0,2800,25,0.07,1,4,1,12,1,0,6,1,0,0,0,0,0,2,2,0,0,1,2,3,3,3,0,2,7,12,17,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,2,5,5,0,0,1,0,0
stake,comp_4_11_12_13_51_merged,61371.31,39603.6,0.3547,15050,1188,600.07,170,21,485,107,75,326,4,161,0,6,3,0,15,0,4,2,0,161,315,466,610,730,15,30,59,114,203,66,61,67,66,66,4,0,0,0,0,0,147,135,117,86,0,8,15,29,55,0,7,10,24,34
stake,comp_5_39_merged,143907.45,66817.79,0.5357,34100,2848,600.13,453,53,978,398,235,696,35,364,26,50,12,1,40,2,6,5,0,364,719,1075,1410,1666,40,114,222,409,686,131,122,143,152,148,22,13,0,0,0,0,296,274,245,163,0,39,70,104,185,0,33,32,78,92
stake,comp_6,8622.54,8622.54,0.0,2800,194,0.39,14,17,15,55,8,50,35,11,0,0,2,1,15,0,2,0,0,11,22,28,34,37,15,30,46,63,80,10,10,10,10,10,8,9,6,6,6,0,9,4,1,1,0,13,12,14,16,0,2,2,3,1
stake,comp_7,184.49,184.49,0.0,1550,35,0.05,8,2,8,4,5,8,0,2,0,4,0,2,0,0,0,1,1,2,4,10,16,21,0,0,0,4,11,0,0,2,2,4,0,0,0,0,0,0,2,2,3,1,0,0,0,0,4,0,0,0,3,2
stake,comp_8,1387.99,1387.99,0.0,1300,63,0.08,12,0,28,1,2,20,0,11,0,0,1,0,0,0,0,0,0,11,22,32,39,42,0,0,0,1,3,4,4,4,4,4,0,0,0,0,0,0,11,10,5,2,0,0,0,0,1,0,0,0,1,1
stake,comp_9,7529.26,7529.26,0.0,5900,294,29.2,57,6,100,36,18,77,0,46,0,3,8,0,1,0,3,2,0,46,84,116,148,175,1,3,16,36,60,17,13,13,17,17,0,0,0,0,0,0,37,21,19,23,0,1,2,13,20,0,1,8,5,4
