variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node3node276_timber_t0,0.0,0.0,B,C,timber,node3node276,0,0.0
C_node3node276_timber_t1,0.0,1.0,B,C,timber,node3node276,1,0.0
C_node3node276_timber_t2,0.0,1.0,B,C,timber,node3node276,2,0.0
C_node3node276_timber_t3,0.0,1.0,B,C,timber,node3node276,3,0.0
C_node3node276_timber_t4,0.0,1.0,B,C,timber,node3node276,4,0.0
C_node3node276_timber_t5,0.0,1.0,B,C,timber,node3node276,5,0.0
C_node3node276_wide_t0,0.0,0.0,B,C,wide,node3node276,0,0.0
C_node3node276_wide_t1,0.0,1.0,B,C,wide,node3node276,1,0.0
C_node3node276_wide_t2,0.0,1.0,B,C,wide,node3node276,2,0.0
C_node3node276_wide_t3,0.0,1.0,B,C,wide,node3node276,3,0.0
C_node3node276_wide_t4,0.0,1.0,B,C,wide,node3node276,4,0.0
C_node3node276_wide_t5,0.0,1.0,B,C,wide,node3node276,5,0.0
C_node4node218_timber_t0,0.0,0.0,B,C,timber,node4node218,0,197.0
C_node4node218_timber_t1,0.0,1.0,B,C,timber,node4node218,1,165.87
C_node4node218_timber_t2,0.0,1.0,B,C,timber,node4node218,2,117.59
C_node4node218_timber_t3,0.0,1.0,B,C,timber,node4node218,3,83.36
C_node4node218_timber_t4,0.0,1.0,B,C,timber,node4node218,4,59.1
C_node4node218_timber_t5,0.0,1.0,B,C,timber,node4node218,5,41.89
C_node4node218_wide_t0,0.0,0.0,B,C,wide,node4node218,0,296.0
C_node4node218_wide_t1,0.0,1.0,B,C,wide,node4node218,1,249.22
C_node4node218_wide_t2,0.0,1.0,B,C,wide,node4node218,2,176.68
C_node4node218_wide_t3,0.0,1.0,B,C,wide,node4node218,3,125.25
C_node4node218_wide_t4,0.0,1.0,B,C,wide,node4node218,4,88.79
C_node4node218_wide_t5,0.0,1.0,B,C,wide,node4node218,5,62.95
C_node4node217_timber_t0,0.0,0.0,B,C,timber,node4node217,0,1285.0
C_node4node217_timber_t1,0.0,1.0,B,C,timber,node4node217,1,1081.94
C_node4node217_timber_t2,0.0,1.0,B,C,timber,node4node217,2,767.0
C_node4node217_timber_t3,0.0,1.0,B,C,timber,node4node217,3,543.74
C_node4node217_timber_t4,0.0,1.0,B,C,timber,node4node217,4,385.47
C_node4node217_timber_t5,0.0,1.0,B,C,timber,node4node217,5,273.27
C_node4node217_wide_t0,0.0,0.0,B,C,wide,node4node217,0,1928.0
C_node4node217_wide_t1,0.0,1.0,B,C,wide,node4node217,1,1623.32
C_node4node217_wide_t2,0.0,1.0,B,C,wide,node4node217,2,1150.81
C_node4node217_wide_t3,0.0,1.0,B,C,wide,node4node217,3,815.83
C_node4node217_wide_t4,0.0,1.0,B,C,wide,node4node217,4,578.36
C_node4node217_wide_t5,0.0,1.0,B,C,wide,node4node217,5,410.01
C_node4node300_timber_t0,0.0,0.0,B,C,timber,node4node300,0,0.0
C_node4node300_timber_t1,0.0,1.0,B,C,timber,node4node300,1,0.0
C_node4node300_timber_t2,0.0,1.0,B,C,timber,node4node300,2,0.0
C_node4node300_timber_t3,0.0,1.0,B,C,timber,node4node300,3,0.0
C_node4node300_timber_t4,0.0,1.0,B,C,timber,node4node300,4,0.0
C_node4node300_timber_t5,0.0,1.0,B,C,timber,node4node300,5,0.0
C_node4node300_wide_t0,0.0,0.0,B,C,wide,node4node300,0,0.0
C_node4node300_wide_t1,0.0,1.0,B,C,wide,node4node300,1,0.0
C_node4node300_wide_t2,0.0,1.0,B,C,wide,node4node300,2,0.0
C_node4node300_wide_t3,0.0,1.0,B,C,wide,node4node300,3,0.0
C_node4node300_wide_t4,0.0,1.0,B,C,wide,node4node300,4,0.0
C_node4node300_wide_t5,0.0,1.0,B,C,wide,node4node300,5,0.0
